"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","z","p","Q","tau2.studylevel","tau2.outcomelevel","I2","Q.pval"
"Main Analysis","All","Intrusion frequency",NA,"no","10765","120","139","370","0.159315888928244"," [0.09, 0.23]","4.59082010087516","0.00000441507767147616","922.058899078268","0.128195247067405","0.00000000162309288109761","64.3356519289893","0.000000000000000000000000000000000000000000000000376510023733075"
"Main Analysis","All","Intrusion frequency",NA,"yes","10658","118","136","356","0.172358700458926"," [0.11, 0.23]","5.61202298287748","0.0000000199974870096194","772.832607974133","0.0899959478703076","0.000000000408253054990582","56.2846334865908","0.00000000000000000000000000000000436502824044961"
"Main Analysis","Decrease","Intrusion frequency",NA,"no","8069","89","104","194","0.309476058955721"," [0.23, 0.39]","7.77749430678908","0.00000000000000739750978627144","482.773166581158","0.114883814822184","0.0000000000320205745895081","62.8341792846306","0.00000000000000000000000000847946809169209"
"Main Analysis","Decrease","Intrusion frequency",NA,"yes","7932","87","101","187","0.318807112309457"," [0.25, 0.39]","8.48976152589138","0.0000000000000000207061549363083","410.720903489218","0.0936295226624984","0.0000000000340863659061431","57.9927446211802","0.000000000000000000530787593449069"
"Main Analysis","Increase","Intrusion frequency",NA,"no","4097","46","52","105","-0.132403840446228"," [-0.25, -0.02]","-2.24446025697502","0.0248028032716957","250.127385011698","0.115155145429655","0.0177128934384671","63.8046643083125","0.0000000000000470166934066614"
"Main Analysis","Increase","Intrusion frequency",NA,"yes","3838","43","49","100","-0.134040798070482"," [-0.23, -0.04]","-2.79963567901433","0.00511603113369947","185.562610669875","0.0523562906539629","0.0159746037393557","47.6466849821509","0.000000316954392664463"
"Main Analysis","All","Intrusion frequency","Intrusion diary","no","8985","104","121","248","0.140895453984237"," [0.07, 0.21]","3.76727407867296","0.000165039779672509","630.243418438888","0.114340343661011","0.0109834738529253","63.1366121615934","0.0000000000000000000000000000000000240596908473333"
"Main Analysis","All","Intrusion frequency","Intrusion diary","yes","8790","102","116","236","0.14408906040364"," [0.08, 0.21]","4.40188613089248","0.0000107313876851554","502.908065127609","0.0761584067752212","0.00408543351383458","52.8857987214527","0.00000000000000000000141800541839315"
"Main Analysis","Decrease","Intrusion frequency","Intrusion diary","no","6619","76","89","134","0.2901594041291"," [0.21, 0.37]","6.71363170259983","0.0000000000189839111089206","308.422784535794","0.106095213865016","0.0000000000608949633001539","60.0815687029008","0.000000000000000575254340579831"
"Main Analysis","Decrease","Intrusion frequency","Intrusion diary","yes","6260","72","83","127","0.293618721657427"," [0.22, 0.37]","7.50286290824252","0.0000000000000624388457506938","246.833348718528","0.0700189614583619","0.0000000000434510846700163","50.0951808450672","0.000000000732010083966277"
"Main Analysis","Increase","Intrusion frequency","Intrusion diary","no","3611","41","47","63","-0.167202552950876"," [-0.30, -0.03]","-2.42305950608876","0.0153904054410969","166.746327918034","0.153365559243714","0.000000000105179932755187","66.6160750696967","0.0000000000154176065090166"
"Main Analysis","Increase","Intrusion frequency","Intrusion diary","yes","3352","38","44","59","-0.171256230685457"," [-0.28, -0.06]","-2.97199914599934","0.00295867507032782","111.619018745742","0.0782213109918488","0.0000000000783172760631034","50.5617088259368","0.0000298355903167984"
"Main Analysis","Unspecified","Intrusion frequency","Intrusion diary","no","2356","27","28","49","0.0900088631021054"," [-0.02, 0.20]","1.63250407135157","0.102573341502208","72.5097997621119","0.0300018705254215","0.000000000350513540726905","27.7568604690564","0.0126897512151585"
"Main Analysis","Unspecified","Intrusion frequency","Intrusion diary","yes","2356","27","28","47","0.115723963079806"," [0.01, 0.22]","2.1999558103827","0.027810030396763","58.7801855645117","0.0219034733658342","0.0000000000506660527361562","22.2170155028079","0.0978446704362485"
"Main Analysis","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2859","34","39","79","0.299106902362763"," [0.17, 0.43]","4.47730556745605","0.00000755910181705431","178.377163587586","0.12745940034583","0.00000000052930203741339","62.9765076271575","0.0000000007841181189603"
"Main Analysis","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2805","33","38","76","0.336740472276539"," [0.22, 0.45]","5.65597932277754","0.0000000154960123588666","142.643814284878","0.0881131348698434","0.000000000046889604593193","54.0410042467376","0.00000411600767532291"
"Main Analysis","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","2052","24","28","34","0.470725636253366"," [0.32, 0.62]","5.98433734108739","0.00000000217272592818987","75.6570960757158","0.10586506161423","0.0000000000369241322688806","59.1358342342293","0.0000338490446140823"
"Main Analysis","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","2052","24","28","34","0.470725636253366"," [0.32, 0.62]","5.98433734108739","0.00000000217272592818987","75.6570960757158","0.10586506161423","0.0000000000369241322688806","59.1358342342293","0.0000338490446140823"
"Main Analysis","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1357","13","16","32","0.0525159159937283"," [-0.16, 0.26]","0.495701792059288","0.620104822546892","63.6548687518738","0.124736517493997","0.00224535617838081","62.3238782370613","0.000489788992031118"
"Main Analysis","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1214","11","14","29","0.0844896640849855"," [-0.03, 0.20]","1.3924508113906","0.163785926985643","38.9722523269206","0.0000000000369834601620976","0.0300921497953579","28.363199649776","0.0813702546460662"
"Main Analysis","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","596","7","7","12","0.168854082788512"," [-0.01, 0.35]","1.87354756935334","0.0609928103757208","9.32650463045179","0.00946414180746277","0.00000000000451769735025663","10.5946069182193","0.591782188711098"
"Main Analysis","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","596","7","7","12","0.168854082788512"," [-0.01, 0.35]","1.87354756935334","0.0609928103757208","9.32650463045179","0.00946414180746277","0.00000000000451769735025663","10.5946069182193","0.591782188711098"
"Main Analysis","All","Intrusion frequency","Self-report questionnaire","no","1715","16","17","43","0.13180686637029"," [-0.04, 0.31]","1.48758431242015","0.13686055310642","94.555709960451","0.0996986594165571","0.00000000000775396753295318","63.7064621286752","0.00000635372774308156"
"Main Analysis","All","Intrusion frequency","Self-report questionnaire","yes","1715","16","17","42","0.11156026964988"," [-0.05, 0.27]","1.36041170336965","0.173699677006233","80.9692093546562","0.0799301579941524","0.00000000000528601581839478","58.5523359613186","0.000197765851234751"
"Main Analysis","Decrease","Intrusion frequency","Self-report questionnaire","no","1291","12","13","26","0.273894759873037"," [0.06, 0.49]","2.52455810782782","0.0115843851723542","72.427615184431","0.104766986648508","0.0000000000055137341535246","66.0131972364296","0.00000166724588679143"
