Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,7.495,NA,0.024
Behavioural,All,Intrusion frequency,NA,no,9641,108,127,348,0.19,"[0.12, 0.26]",NA,5.226014,0
Neuromodulation,All,Intrusion frequency,NA,no,118,1,1,2,0.23,"[-0.53, 0.98]",NA,0.587452,0.5569
Pharmacological,All,Intrusion frequency,NA,no,1006,11,11,20,-0.16,"[-0.40, 0.08]",NA,-1.313194,0.189118
Moderation Analysis: Procedure-based Superordinate Category,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,7.388,NA,0.025
Behavioural,All,Intrusion frequency,NA,yes,9534,106,124,336,0.2,"[0.13, 0.26]",NA,6.192879,0
Neuromodulation,All,Intrusion frequency,NA,yes,118,1,1,2,0.23,"[-0.43, 0.88]",NA,0.675413,0.499414
Pharmacological,All,Intrusion frequency,NA,yes,1006,11,11,18,-0.11,"[-0.32, 0.10]",NA,-1.022211,0.306681
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,22.54,NA,0.001
Emotion,All,Intrusion frequency,NA,no,1635,19,19,38,0.08,"[-0.11, 0.26]",NA,0.810129,0.417866
Imagery,All,Intrusion frequency,NA,no,4640,50,58,143,0.31,"[0.21, 0.41]",NA,6.021333,0
Imagery + verbal,All,Intrusion frequency,NA,no,575,4,7,9,0.18,"[-0.09, 0.44]",NA,1.312313,0.189414
Imagery vs. Verbal,All,Intrusion frequency,NA,no,50,1,1,1,0.58,"[-0.32, 1.48]",NA,1.254723,0.209579
Verbal,All,Intrusion frequency,NA,no,2427,31,34,85,0,"[-0.12, 0.13]",NA,0.036317,0.971029
Verbal + imagery,All,Intrusion frequency,NA,no,200,2,2,6,0.32,"[0.01, 0.64]",NA,1.99231,0.046337
Verbal vs. Imagery,All,Intrusion frequency,NA,no,107,2,2,2,0.36,"[-0.28, 1.00]",NA,1.113862,0.265338
Moderation Analysis: Mechanism-based Superordinate Category,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,18.726,NA,0.005
Emotion,All,Intrusion frequency,NA,yes,1596,18,18,37,0.12,"[-0.04, 0.29]",NA,1.483693,0.13789
Imagery,All,Intrusion frequency,NA,yes,4610,49,57,138,0.3,"[0.21, 0.39]",NA,6.322241,0
Imagery + verbal,All,Intrusion frequency,NA,yes,575,4,7,9,0.19,"[-0.06, 0.44]",NA,1.453563,0.146067
Imagery vs. Verbal,All,Intrusion frequency,NA,yes,50,1,1,1,0.58,"[-0.24, 1.39]",NA,1.380812,0.167337
Verbal,All,Intrusion frequency,NA,yes,2324,30,32,80,0.04,"[-0.07, 0.16]",NA,0.732599,0.463803
Verbal + imagery,All,Intrusion frequency,NA,yes,200,2,2,5,0.47,"[0.15, 0.79]",NA,2.868589,0.004123
Verbal vs. Imagery,All,Intrusion frequency,NA,yes,107,2,2,2,0.36,"[-0.22, 0.94]",NA,1.207828,0.227113
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,14.368,NA,0.006
Direct,All,Intrusion frequency,NA,no,4786,53,56,141,0.12,"[0.02, 0.21]",NA,2.386348,0.017017
Direct + indirect,All,Intrusion frequency,NA,no,1671,16,23,56,0.4,"[0.26, 0.54]",NA,5.631823,0
Direct vs. Indirect,All,Intrusion frequency,NA,no,76,1,1,2,-0.27,"[-0.86, 0.33]",NA,-0.881424,0.378088
Indirect,All,Intrusion frequency,NA,no,4241,53,61,135,0.18,"[0.08, 0.27]",NA,3.72949,0.000192
Indirect + direct,All,Intrusion frequency,NA,no,349,3,3,14,0.18,"[-0.05, 0.42]",NA,1.540561,0.123424
Moderation Analysis: Direct vs. Indirect Involvement of Trauma Content,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,10.466,NA,0.033
Direct,All,Intrusion frequency,NA,yes,4747,52,55,139,0.14,"[0.05, 0.23]",NA,3.119476,0.001812
Direct + indirect,All,Intrusion frequency,NA,yes,1641,15,22,51,0.37,"[0.23, 0.50]",NA,5.441336,0
Direct vs. Indirect,All,Intrusion frequency,NA,yes,76,1,1,2,-0.2,"[-0.77, 0.36]",NA,-0.69769,0.485371
Indirect,All,Intrusion frequency,NA,yes,4143,53,59,131,0.19,"[0.11, 0.28]",NA,4.351782,0.000014
Indirect + direct,All,Intrusion frequency,NA,yes,349,3,3,13,0.26,"[0.02, 0.49]",NA,2.164683,0.030412
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,4.393,NA,0.222
Instruction,All,Intrusion frequency,NA,no,1572,19,20,39,0.06,"[-0.11, 0.23]",NA,0.712127,0.476386
Task,All,Intrusion frequency,NA,no,8694,97,114,299,0.2,"[0.13, 0.28]",NA,5.366989,0
Task vs. Instruction,All,Intrusion frequency,NA,no,149,1,1,1,0.55,"[-0.06, 1.17]",NA,1.756778,0.078956
Task+instruction,All,Intrusion frequency,NA,no,120,1,1,9,0.04,"[-0.34, 0.42]",NA,0.222071,0.824258
Moderation Analysis: Task vs. Instruction of Techniques,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,6.2,NA,0.102
Instruction,All,Intrusion frequency,NA,yes,1572,19,20,39,0.04,"[-0.11, 0.20]",NA,0.568709,0.569554
Task,All,Intrusion frequency,NA,yes,8587,95,111,287,0.22,"[0.15, 0.28]",NA,6.410617,0
Task vs. Instruction,All,Intrusion frequency,NA,yes,149,1,1,1,0.56,"[-0.05, 1.17]",NA,1.805571,0.070985
Task+instruction,All,Intrusion frequency,NA,yes,120,1,1,9,0.04,"[-0.32, 0.40]",NA,0.214044,0.830513
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,13.732,NA,0.017
Audio,All,Intrusion frequency,NA,no,380,5,5,20,0.02,"[-0.32, 0.36]",NA,0.138874,0.88955
Computer crash,All,Intrusion frequency,NA,no,39,1,1,1,-1.43,"[-2.41, -0.45]",NA,-2.850012,0.004372
Film,All,Intrusion frequency,NA,no,9519,104,122,330,0.18,"[0.11, 0.25]",NA,5.064751,0
Picture,All,Intrusion frequency,NA,no,630,7,8,15,0,"[-0.27, 0.28]",NA,0.035375,0.97178
Picture + audio,All,Intrusion frequency,NA,no,116,2,2,2,0.39,"[-0.23, 1.00]",NA,1.237145,0.216033
Picture + shock,All,Intrusion frequency,NA,no,81,1,1,2,-0.21,"[-1.00, 0.57]",NA,-0.533528,0.593668
Moderation Analysis: TraumaStimuliType,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,4.662,NA,0.324
Audio,All,Intrusion frequency,NA,yes,380,5,5,20,0.03,"[-0.27, 0.33]",NA,0.191841,0.847867
Film,All,Intrusion frequency,NA,yes,9451,103,120,317,0.19,"[0.13, 0.26]",NA,5.822895,0
Picture,All,Intrusion frequency,NA,yes,630,7,8,15,0.01,"[-0.24, 0.25]",NA,0.05747,0.954171
Picture + audio,All,Intrusion frequency,NA,yes,116,2,2,2,0.39,"[-0.18, 0.95]",NA,1.344139,0.178904
Picture + shock,All,Intrusion frequency,NA,yes,81,1,1,2,-0.21,"[-0.92, 0.49]",NA,-0.595327,0.551625
Moderation Analysis: ComparisonType,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.102,NA,0.294
Experimental task,All,Intrusion frequency,NA,no,6351,72,80,192,0.19,"[0.10, 0.28]",NA,4.15703,0.000032
No-task,All,Intrusion frequency,NA,no,4414,48,59,178,0.12,"[0.01, 0.22]",NA,2.185253,0.02887
Moderation Analysis: ComparisonType,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.125,NA,0.723
Experimental task,All,Intrusion frequency,NA,yes,6321,71,79,187,0.18,"[0.10, 0.26]",NA,4.489992,0.000007
No-task,All,Intrusion frequency,NA,yes,4337,47,57,169,0.16,"[0.07, 0.25]",NA,3.344658,0.000824
Moderation Analysis: StudyDesign,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.104,NA,0.293
Between-subject,All,Intrusion frequency,NA,no,10394,115,131,356,0.15,"[0.08, 0.22]",NA,4.201344,0.000027
Within-subject,All,Intrusion frequency,NA,no,427,7,9,14,0.29,"[0.04, 0.54]",NA,2.253319,0.024239
Moderation Analysis: StudyDesign,All,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,0.726,NA,0.394
Between-subject,All,Intrusion frequency,NA,yes,10287,113,128,342,0.17,"[0.10, 0.23]",NA,5.218676,0
Within-subject,All,Intrusion frequency,NA,yes,427,7,9,14,0.27,"[0.04, 0.49]",NA,2.325597,0.02004
Moderation Analysis: ModeOfMeasurement,All,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,2.305,NA,0.316
Intrusion diary,All,Intrusion frequency,NA,no,8985,104,121,248,0.14,"[0.07, 0.21]",NA,3.88933,0.000101
