"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"5.977",NA,"0.014"
"Behavioural","Decrease","Intrusion frequency","Intrusion diary","no","5916","68","81","124","0.32"," [0.23, 0.41]",NA,"7.225409","0.000000"
"Pharmacological","Decrease","Intrusion frequency","Intrusion diary","no","703","8","8","10","-0.04"," [-0.31, 0.24]",NA,"-0.273400","0.784546"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.062",NA,"0.044"
"Behavioural","Decrease","Intrusion frequency","Intrusion diary","yes","5655","65","76","118","0.32"," [0.24, 0.40]",NA,"7.791094","0.000000"
"Pharmacological","Decrease","Intrusion frequency","Intrusion diary","yes","605","7","7","9","0.04"," [-0.22, 0.30]",NA,"0.280714","0.778929"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"7.072",NA,"0.215"
"Emotion","Decrease","Intrusion frequency","Intrusion diary","no","962","11","11","13","0.14"," [-0.10, 0.39]",NA,"1.152583","0.249081"
"Imagery","Decrease","Intrusion frequency","Intrusion diary","no","2950","35","42","69","0.41"," [0.29, 0.54]",NA,"6.351016","0.000000"
"Imagery + verbal","Decrease","Intrusion frequency","Intrusion diary","no","365","2","4","4","0.55"," [0.12, 0.97]",NA,"2.512898","0.011974"
"Imagery vs. Verbal","Decrease","Intrusion frequency","Intrusion diary","no","50","1","1","1","0.58"," [-0.29, 1.44]",NA,"1.303201","0.192506"
"Verbal","Decrease","Intrusion frequency","Intrusion diary","no","751","11","12","19","0.17"," [-0.06, 0.41]",NA,"1.471573","0.141136"
"Verbal vs. Imagery","Decrease","Intrusion frequency","Intrusion diary","no","73","1","1","1","0.21"," [-0.60, 1.01]",NA,"0.502324","0.615440"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.616",NA,"0.465"
"Emotion","Decrease","Intrusion frequency","Intrusion diary","yes","895","10","10","12","0.21"," [-0.02, 0.44]",NA,"1.780607","0.074977"
"Imagery","Decrease","Intrusion frequency","Intrusion diary","yes","2726","32","38","65","0.38"," [0.26, 0.49]",NA,"6.228654","0.000000"
"Imagery + verbal","Decrease","Intrusion frequency","Intrusion diary","yes","365","2","4","4","0.54"," [0.16, 0.93]",NA,"2.757681","0.005821"
"Imagery vs. Verbal","Decrease","Intrusion frequency","Intrusion diary","yes","50","1","1","1","0.58"," [-0.21, 1.37]",NA,"1.427871","0.153329"
"Verbal","Decrease","Intrusion frequency","Intrusion diary","yes","711","11","11","18","0.20"," [-0.02, 0.42]",NA,"1.810671","0.070192"
"Verbal vs. Imagery","Decrease","Intrusion frequency","Intrusion diary","yes","73","1","1","1","0.21"," [-0.52, 0.93]",NA,"0.559591","0.575758"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.919",NA,"0.178"
"Direct","Decrease","Intrusion frequency","Intrusion diary","no","1998","25","26","34","0.25"," [0.10, 0.40]",NA,"3.275201","0.001056"
"Direct + indirect","Decrease","Intrusion frequency","Intrusion diary","no","1500","15","21","31","0.48"," [0.32, 0.65]",NA,"5.627216","0.000000"
"Direct vs. Indirect","Decrease","Intrusion frequency","Intrusion diary","no","76","1","1","1","0.28"," [-0.43, 0.99]",NA,"0.780083","0.435342"
"Indirect","Decrease","Intrusion frequency","Intrusion diary","no","2668","33","37","58","0.29"," [0.16, 0.41]",NA,"4.478378","0.000008"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"1.477",NA,"0.688"
"Direct","Decrease","Intrusion frequency","Intrusion diary","yes","1888","24","24","32","0.30"," [0.16, 0.45]",NA,"4.210992","0.000025"
"Direct + indirect","Decrease","Intrusion frequency","Intrusion diary","yes","1346","13","18","28","0.40"," [0.24, 0.57]",NA,"4.854433","0.000001"
"Direct vs. Indirect","Decrease","Intrusion frequency","Intrusion diary","yes","76","1","1","1","0.36"," [-0.33, 1.05]",NA,"1.025665","0.305050"
"Indirect","Decrease","Intrusion frequency","Intrusion diary","yes","2601","32","36","57","0.29"," [0.17, 0.40]",NA,"4.823782","0.000001"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.941",NA,"0.086"
"Instruction","Decrease","Intrusion frequency","Intrusion diary","no","434","6","7","7","0.06"," [-0.25, 0.37]",NA,"0.378753","0.704872"
"Task","Decrease","Intrusion frequency","Intrusion diary","no","5552","63","75","117","0.34"," [0.25, 0.43]",NA,"7.426899","0.000000"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.052",NA,"0.819"
"Instruction","Decrease","Intrusion frequency","Intrusion diary","yes","324","5","5","5","0.28"," [-0.06, 0.62]",NA,"1.629119","0.103288"
"Task","Decrease","Intrusion frequency","Intrusion diary","yes","5331","60","71","113","0.32"," [0.24, 0.40]",NA,"7.538374","0.000000"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"8.635",NA,"0.035"
"Audio","Decrease","Intrusion frequency","Intrusion diary","no","127","2","2","7","0.61"," [0.07, 1.14]",NA,"2.226694","0.025968"
"Film","Decrease","Intrusion frequency","Intrusion diary","no","6211","70","82","122","0.31"," [0.22, 0.40]",NA,"7.084360","0.000000"
"Picture","Decrease","Intrusion frequency","Intrusion diary","no","200","3","4","4","-0.17"," [-0.54, 0.21]",NA,"-0.879095","0.379350"
"Picture + shock","Decrease","Intrusion frequency","Intrusion diary","no","81","1","1","1","-0.19"," [-1.01, 0.63]",NA,"-0.460214","0.645363"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"6.501",NA,"0.090"
"Audio","Decrease","Intrusion frequency","Intrusion diary","yes","127","2","2","7","0.61"," [0.13, 1.08]",NA,"2.497393","0.012511"
"Film","Decrease","Intrusion frequency","Intrusion diary","yes","5892","66","77","116","0.30"," [0.23, 0.38]",NA,"7.615412","0.000000"
"Picture","Decrease","Intrusion frequency","Intrusion diary","yes","160","3","3","3","-0.05"," [-0.43, 0.33]",NA,"-0.268381","0.788406"
"Picture + shock","Decrease","Intrusion frequency","Intrusion diary","yes","81","1","1","1","-0.19"," [-0.94, 0.55]",NA,"-0.506495","0.612509"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.064",NA,"0.801"
"Experimental task","Decrease","Intrusion frequency","Intrusion diary","no","3485","43","47","63","0.30"," [0.18, 0.42]",NA,"4.991862","0.000001"
"No-task","Decrease","Intrusion frequency","Intrusion diary","no","3134","33","42","71","0.28"," [0.16, 0.40]",NA,"4.448364","0.000009"
"Moderation Analysis: ComparisonType","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.050",NA,"0.823"
"Experimental task","Decrease","Intrusion frequency","Intrusion diary","yes","3357","41","45","61","0.30"," [0.20, 0.41]",NA,"5.601079","0.000000"
"No-task","Decrease","Intrusion frequency","Intrusion diary","yes","2903","31","38","66","0.28"," [0.17, 0.40]",NA,"4.940939","0.000001"
"Moderation Analysis: StudyDesign","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"1.782",NA,"0.182"
"Between-subject","Decrease","Intrusion frequency","Intrusion diary","no","6254","70","82","125","0.31"," [0.22, 0.40]",NA,"6.836481","0.000000"
"Within-subject","Decrease","Intrusion frequency","Intrusion diary","no","365","6","7","9","0.11"," [-0.18, 0.39]",NA,"0.730085","0.465338"
"Moderation Analysis: StudyDesign","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.618",NA,"0.432"
"Between-subject","Decrease","Intrusion frequency","Intrusion diary","yes","5935","66","77","119","0.30"," [0.22, 0.38]",NA,"7.400604","0.000000"
"Within-subject","Decrease","Intrusion frequency","Intrusion diary","yes","325","6","6","8","0.19"," [-0.07, 0.46]",NA,"1.423170","0.154687"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"12.253",NA,"0.031"
"Delayed post","Decrease","Intrusion frequency","Intrusion diary","no","566","6","7","10","0.40"," [0.11, 0.70]",NA,"2.665815","0.007680"
"Immediate + delayed post","Decrease","Intrusion frequency","Intrusion diary","no","112","1","1","2","0.18"," [-0.51, 0.87]",NA,"0.500068","0.617027"
"Immediate post","Decrease","Intrusion frequency","Intrusion diary","no","4344","46","54","89","0.32"," [0.22, 0.42]",NA,"6.065177","0.000000"
"Peri","Decrease","Intrusion frequency","Intrusion diary","no","822","12","14","19","0.42"," [0.20, 0.64]",NA,"3.706069","0.000211"
"Peri + immediate post","Decrease","Intrusion frequency","Intrusion diary","no","67","1","1","1","-0.51"," [-1.29, 0.27]",NA,"-1.284713","0.198893"
"Pre","Decrease","Intrusion frequency","Intrusion diary","no","708","11","12","13","0.00"," [-0.23, 0.23]",NA,"0.011447","0.990867"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.511",NA,"0.341"
"Delayed post","Decrease","Intrusion frequency","Intrusion diary","yes","442","5","5","8","0.16"," [-0.14, 0.46]",NA,"1.031357","0.302374"
"Immediate + delayed post","Decrease","Intrusion frequency","Intrusion diary","yes","112","1","1","2","0.18"," [-0.44, 0.79]",NA,"0.561424","0.574509"
"Immediate post","Decrease","Intrusion frequency","Intrusion diary","yes","4314","45","53","87","0.31"," [0.22, 0.41]",NA,"6.475465","0.000000"
"Peri","Decrease","Intrusion frequency","Intrusion diary","yes","822","12","14","19","0.42"," [0.21, 0.62]",NA,"3.995082","0.000065"
"Pre","Decrease","Intrusion frequency","Intrusion diary","yes","570","10","10","11","0.12"," [-0.12, 0.35]",NA,"0.980365","0.326906"
"Moderation Analysis: Physio_binary","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"1.154",NA,"0.283"
"No","Decrease","Intrusion frequency","Intrusion diary","no","5086","59","70","110","0.31"," [0.22, 0.41]",NA,"6.421235","0.000000"
"Yes","Decrease","Intrusion frequency","Intrusion diary","no","1533","17","19","24","0.20"," [0.02, 0.39]",NA,"2.120969","0.033924"
"Moderation Analysis: Physio_binary","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.420",NA,"0.517"
"No","Decrease","Intrusion frequency","Intrusion diary","yes","4825","56","65","104","0.31"," [0.22, 0.39]",NA,"6.906386","0.000000"
"Yes","Decrease","Intrusion frequency","Intrusion diary","yes","1435","16","18","23","0.24"," [0.08, 0.41]",NA,"2.851725","0.004348"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.277",NA,"0.599"
"Published","Decrease","Intrusion frequency","Intrusion diary","no","6235","69","82","122","0.30"," [0.21, 0.39]",NA,"6.573337","0.000000"
"Unpublished","Decrease","Intrusion frequency","Intrusion diary","no","384","7","7","12","0.21"," [-0.10, 0.52]",NA,"1.323676","0.185611"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.063",NA,"0.801"
"Published","Decrease","Intrusion frequency","Intrusion diary","yes","5974","66","77","116","0.29"," [0.21, 0.37]",NA,"7.151972","0.000000"
"Unpublished","Decrease","Intrusion frequency","Intrusion diary","yes","286","6","6","11","0.33"," [0.03, 0.63]",NA,"2.166709","0.030257"
"Moderation Analysis: Country_RegionofOrigin","Decrease","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"10.486",NA,"0.654"
"Australia","Decrease","Intrusion frequency","Intrusion diary","no","280","3","3","4","-0.04"," [-0.50, 0.42]",NA,"-0.179643","0.857433"
