"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.109",NA,"0.043"
"Behavioural","Unspecified","Intrusion frequency","Intrusion diary","no","2308","26","27","46","0.11"," [0.01, 0.22]",NA,"2.082867","0.037263"
"Pharmacological","Unspecified","Intrusion frequency","Intrusion diary","no","48","1","1","3","-0.42"," [-0.93, 0.08]",NA,"-1.639903","0.101025"
"Moderation Analysis: Step3_Technique_procedure","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.411",NA,"0.522"
"Behavioural","Unspecified","Intrusion frequency","Intrusion diary","yes","2308","26","27","46","0.11"," [0.01, 0.22]",NA,"2.082867","0.037263"
"Pharmacological","Unspecified","Intrusion frequency","Intrusion diary","yes","48","1","1","1","0.36"," [-0.40, 1.12]",NA,"0.934312","0.350143"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.457",NA,"0.293"
"Emotion","Unspecified","Intrusion frequency","Intrusion diary","no","60","1","1","2","-0.26"," [-0.73, 0.21]",NA,"-1.094730","0.273635"
"Imagery","Unspecified","Intrusion frequency","Intrusion diary","no","1384","14","14","22","0.01"," [-0.12, 0.14]",NA,"0.180823","0.856507"
"Verbal","Unspecified","Intrusion frequency","Intrusion diary","no","631","8","8","9","0.12"," [-0.07, 0.31]",NA,"1.258389","0.208251"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.457",NA,"0.293"
"Emotion","Unspecified","Intrusion frequency","Intrusion diary","yes","60","1","1","2","-0.26"," [-0.73, 0.21]",NA,"-1.094730","0.273635"
"Imagery","Unspecified","Intrusion frequency","Intrusion diary","yes","1384","14","14","22","0.01"," [-0.12, 0.14]",NA,"0.180823","0.856507"
"Verbal","Unspecified","Intrusion frequency","Intrusion diary","yes","631","8","8","9","0.12"," [-0.07, 0.31]",NA,"1.258389","0.208251"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.869",NA,"0.182"
"Direct","Unspecified","Intrusion frequency","Intrusion diary","no","1601","16","16","25","0.10"," [-0.04, 0.24]",NA,"1.440623","0.149691"
"Direct + indirect","Unspecified","Intrusion frequency","Intrusion diary","no","86","1","1","1","0.68"," [0.08, 1.28]",NA,"2.233625","0.025508"
"Direct vs. Indirect","Unspecified","Intrusion frequency","Intrusion diary","no","76","1","1","1","-0.25"," [-0.87, 0.36]",NA,"-0.807943","0.419124"
"Indirect","Unspecified","Intrusion frequency","Intrusion diary","no","753","11","12","19","0.11"," [-0.05, 0.26]",NA,"1.331469","0.183035"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.869",NA,"0.182"
"Direct","Unspecified","Intrusion frequency","Intrusion diary","yes","1601","16","16","25","0.10"," [-0.04, 0.24]",NA,"1.440623","0.149691"
"Direct + indirect","Unspecified","Intrusion frequency","Intrusion diary","yes","86","1","1","1","0.68"," [0.08, 1.28]",NA,"2.233625","0.025508"
