"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.182",NA,"0.140"
"Behavioural","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","1987","23","27","33","0.49"," [0.34, 0.65]",NA,"6.249229","0.000000"
"Pharmacological","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","65","1","1","1","-0.11"," [-0.90, 0.67]",NA,"-0.281244","0.778523"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.182",NA,"0.140"
"Behavioural","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","1987","23","27","33","0.49"," [0.34, 0.65]",NA,"6.249229","0.000000"
"Pharmacological","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","65","1","1","1","-0.11"," [-0.90, 0.67]",NA,"-0.281244","0.778523"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.486",NA,"0.784"
"Emotion","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","137","2","2","3","0.53"," [0.01, 1.06]",NA,"1.983158","0.047350"
"Imagery","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","928","10","13","17","0.68"," [0.46, 0.89]",NA,"6.168858","0.000000"
"Verbal","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","150","2","2","2","0.52"," [0.01, 1.03]",NA,"2.012647","0.044152"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.486",NA,"0.784"
"Emotion","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","137","2","2","3","0.53"," [0.01, 1.06]",NA,"1.983158","0.047350"
"Imagery","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","928","10","13","17","0.68"," [0.46, 0.89]",NA,"6.168858","0.000000"
"Verbal","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","150","2","2","2","0.52"," [0.01, 1.03]",NA,"2.012647","0.044152"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"12.165",NA,"0.002"
"Direct","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","433","5","5","5","0.59"," [0.28, 0.90]",NA,"3.730669","0.000191"
"Direct + indirect","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","637","7","10","14","0.75"," [0.53, 0.98]",NA,"6.561952","0.000000"
"Indirect","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","917","11","12","14","0.24"," [0.04, 0.43]",NA,"2.374227","0.017586"
