"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.178",NA,"0.140"
"Behavioural","Increase","Intrusion frequency","Self-report questionnaire","no","369","5","5","9","-0.08"," [-0.25, 0.09]",NA,"-0.920031","0.357557"
"Neuromodulation","Increase","Intrusion frequency","Self-report questionnaire","no","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.228971","0.219083"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.178",NA,"0.140"
"Behavioural","Increase","Intrusion frequency","Self-report questionnaire","yes","369","5","5","9","-0.08"," [-0.25, 0.09]",NA,"-0.920031","0.357557"
"Neuromodulation","Increase","Intrusion frequency","Self-report questionnaire","yes","118","1","1","1","0.28"," [-0.17, 0.73]",NA,"1.228971","0.219083"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.931",NA,"0.628"
"Emotion","Increase","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","0.21"," [-0.46, 0.88]",NA,"0.610371","0.541616"
"Imagery","Increase","Intrusion frequency","Self-report questionnaire","no","73","1","1","1","-0.21"," [-0.80, 0.39]",NA,"-0.674637","0.499907"
"Verbal","Increase","Intrusion frequency","Self-report questionnaire","no","240","3","3","7","-0.11"," [-0.33, 0.11]",NA,"-0.972048","0.331026"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.931",NA,"0.628"
"Emotion","Increase","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.21"," [-0.46, 0.88]",NA,"0.610371","0.541616"
"Imagery","Increase","Intrusion frequency","Self-report questionnaire","yes","73","1","1","1","-0.21"," [-0.80, 0.39]",NA,"-0.674637","0.499907"
"Verbal","Increase","Intrusion frequency","Self-report questionnaire","yes","240","3","3","7","-0.11"," [-0.33, 0.11]",NA,"-0.972048","0.331026"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.838",NA,"0.360"
