"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.160",NA,"0.923"
"Emotion","Unspecified","Intrusion symptoms",NA,"no","69","1","1","1","0.19"," [-0.50, 0.88]",NA,"0.546867","0.584470"
"Imagery","Unspecified","Intrusion symptoms",NA,"no","734","8","8","9","0.05"," [-0.22, 0.31]",NA,"0.339067","0.734559"
"Verbal","Unspecified","Intrusion symptoms",NA,"no","484","6","6","7","0.05"," [-0.24, 0.34]",NA,"0.310972","0.755822"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.230",NA,"0.891"
"Emotion","Unspecified","Intrusion symptoms",NA,"yes","69","1","1","1","0.19"," [-0.28, 0.67]",NA,"0.797844","0.424961"
"Imagery","Unspecified","Intrusion symptoms",NA,"yes","734","8","8","9","0.07"," [-0.13, 0.26]",NA,"0.684957","0.493371"
"Verbal","Unspecified","Intrusion symptoms",NA,"yes","354","4","4","4","0.08"," [-0.17, 0.34]",NA,"0.639451","0.522530"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.146",NA,"0.986"
"Direct","Unspecified","Intrusion symptoms",NA,"no","1005","11","11","14","0.08"," [-0.13, 0.29]",NA,"0.738403","0.460270"
"Direct + indirect","Unspecified","Intrusion symptoms",NA,"no","86","1","1","1","-0.03"," [-0.72, 0.66]",NA,"-0.084529","0.932636"
"Direct vs. Indirect","Unspecified","Intrusion symptoms",NA,"no","54","1","1","1","0.03"," [-0.73, 0.79]",NA,"0.067412","0.946253"
"Indirect","Unspecified","Intrusion symptoms",NA,"no","442","6","6","6","0.11"," [-0.19, 0.40]",NA,"0.705270","0.480642"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.783",NA,"0.853"
"Direct","Unspecified","Intrusion symptoms",NA,"yes","875","9","9","11","0.15"," [-0.01, 0.32]",NA,"1.813540","0.069749"
"Direct + indirect","Unspecified","Intrusion symptoms",NA,"yes","86","1","1","1","-0.03"," [-0.55, 0.49]",NA,"-0.114006","0.909233"
"Direct vs. Indirect","Unspecified","Intrusion symptoms",NA,"yes","54","1","1","1","-0.07"," [-0.72, 0.59]",NA,"-0.203899","0.838432"
"Indirect","Unspecified","Intrusion symptoms",NA,"yes","442","6","6","6","0.12"," [-0.10, 0.34]",NA,"1.077929","0.281065"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.042",NA,"0.837"
"Instruction","Unspecified","Intrusion symptoms",NA,"no","561","6","6","7","0.05"," [-0.22, 0.33]",NA,"0.389851","0.696647"
"Task","Unspecified","Intrusion symptoms",NA,"no","900","11","11","15","0.09"," [-0.11, 0.29]",NA,"0.890596","0.373146"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.003",NA,"0.954"
"Instruction","Unspecified","Intrusion symptoms",NA,"yes","431","4","4","4","0.13"," [-0.13, 0.39]",NA,"0.967244","0.333422"
"Task","Unspecified","Intrusion symptoms",NA,"yes","900","11","11","15","0.12"," [-0.02, 0.26]",NA,"1.670318","0.094856"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.094",NA,"0.954"
"Audio","Unspecified","Intrusion symptoms",NA,"no","212","3","3","3","0.14"," [-0.31, 0.58]",NA,"0.599885","0.548583"
"Film","Unspecified","Intrusion symptoms",NA,"no","1070","12","12","17","0.06"," [-0.13, 0.26]",NA,"0.652197","0.514274"
"Picture","Unspecified","Intrusion symptoms",NA,"no","179","2","2","2","0.10"," [-0.36, 0.56]",NA,"0.430224","0.667033"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.112",NA,"0.945"
"Audio","Unspecified","Intrusion symptoms",NA,"yes","212","3","3","3","0.18"," [-0.17, 0.52]",NA,"1.001010","0.316822"
"Film","Unspecified","Intrusion symptoms",NA,"yes","940","10","10","14","0.12"," [-0.03, 0.26]",NA,"1.573862","0.115519"
