"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.659",NA,"0.436"
"Behavioural","All","Intrusion-related distress",NA,"no","4810","53","58","122","0.04"," [-0.03, 0.12]",NA,"1.094160","0.273885"
"Neuromodulation","All","Intrusion-related distress",NA,"no","118","1","1","2","-0.32"," [-0.87, 0.23]",NA,"-1.132504","0.257423"
"Pharmacological","All","Intrusion-related distress",NA,"no","861","8","8","12","0.06"," [-0.14, 0.26]",NA,"0.583336","0.559667"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.213",NA,"0.331"
"Behavioural","All","Intrusion-related distress",NA,"yes","4705","51","56","119","0.05"," [-0.02, 0.12]",NA,"1.442771","0.149085"
"Neuromodulation","All","Intrusion-related distress",NA,"yes","118","1","1","2","-0.32"," [-0.80, 0.16]",NA,"-1.297454","0.194475"
"Pharmacological","All","Intrusion-related distress",NA,"yes","861","8","8","11","0.03"," [-0.15, 0.21]",NA,"0.349446","0.726754"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.051",NA,"0.902"
"Emotion","All","Intrusion-related distress",NA,"no","975","13","13","26","0.07"," [-0.12, 0.25]",NA,"0.714652","0.474824"
"Imagery","All","Intrusion-related distress",NA,"no","1947","19","20","31","0.06"," [-0.09, 0.21]",NA,"0.740269","0.459137"
"Imagery + verbal","All","Intrusion-related distress",NA,"no","289","2","3","3","-0.05"," [-0.44, 0.34]",NA,"-0.250833","0.801943"
"Verbal","All","Intrusion-related distress",NA,"no","1031","12","13","31","-0.03"," [-0.21, 0.14]",NA,"-0.355307","0.722360"
"Verbal + imagery","All","Intrusion-related distress",NA,"no","200","2","2","2","0.09"," [-0.40, 0.58]",NA,"0.358545","0.719936"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.516",NA,"0.642"
"Emotion","All","Intrusion-related distress",NA,"yes","936","12","12","25","0.14"," [-0.02, 0.30]",NA,"1.733499","0.083007"
"Imagery","All","Intrusion-related distress",NA,"yes","1881","18","19","30","0.04"," [-0.09, 0.17]",NA,"0.553199","0.580127"
"Imagery + verbal","All","Intrusion-related distress",NA,"yes","289","2","3","3","-0.06"," [-0.42, 0.31]",NA,"-0.295970","0.767253"
"Verbal","All","Intrusion-related distress",NA,"yes","1031","12","13","30","-0.02"," [-0.17, 0.13]",NA,"-0.318765","0.749904"
"Verbal + imagery","All","Intrusion-related distress",NA,"yes","200","2","2","2","0.07"," [-0.40, 0.54]",NA,"0.277548","0.781359"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.807",NA,"0.848"
"Direct","All","Intrusion-related distress",NA,"no","2212","23","24","54","0.02"," [-0.10, 0.15]",NA,"0.399789","0.689312"
"Direct + indirect","All","Intrusion-related distress",NA,"no","455","4","5","8","-0.06"," [-0.32, 0.21]",NA,"-0.418676","0.675453"
"Indirect","All","Intrusion-related distress",NA,"no","2494","30","33","56","0.06"," [-0.05, 0.17]",NA,"1.135268","0.256263"
"Indirect + direct","All","Intrusion-related distress",NA,"no","200","2","2","4","-0.01"," [-0.41, 0.40]",NA,"-0.026772","0.978641"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.727",NA,"0.867"
"Direct","All","Intrusion-related distress",NA,"yes","2107","21","22","51","0.05"," [-0.06, 0.16]",NA,"0.896679","0.369890"
"Direct + indirect","All","Intrusion-related distress",NA,"yes","455","4","5","8","-0.05"," [-0.29, 0.20]",NA,"-0.368827","0.712256"
"Indirect","All","Intrusion-related distress",NA,"yes","2494","30","33","56","0.06"," [-0.04, 0.16]",NA,"1.236799","0.216162"
"Indirect + direct","All","Intrusion-related distress",NA,"yes","200","2","2","4","0.00"," [-0.38, 0.38]",NA,"0.002441","0.998052"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.537",NA,"0.764"
"Instruction","All","Intrusion-related distress",NA,"no","883","9","9","15","-0.03"," [-0.24, 0.18]",NA,"-0.273869","0.784186"
"Task","All","Intrusion-related distress",NA,"no","4277","48","53","104","0.04"," [-0.04, 0.13]",NA,"1.071331","0.284021"
"Task+instruction","All","Intrusion-related distress",NA,"no","120","1","1","3","0.09"," [-0.40, 0.58]",NA,"0.364820","0.715246"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.029",NA,"0.598"
"Instruction","All","Intrusion-related distress",NA,"yes","883","9","9","15","-0.04"," [-0.24, 0.15]",NA,"-0.427315","0.669150"
"Task","All","Intrusion-related distress",NA,"yes","4172","46","51","101","0.06"," [-0.02, 0.13]",NA,"1.541326","0.123237"
"Task+instruction","All","Intrusion-related distress",NA,"yes","120","1","1","3","0.10"," [-0.35, 0.54]",NA,"0.428633","0.668190"
"Moderation Analysis: TraumaStimuliType","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"23.024",NA,"0.000"
"Audio","All","Intrusion-related distress",NA,"no","101","2","2","5","-0.21"," [-0.63, 0.22]",NA,"-0.955178","0.339488"
"Computer crash","All","Intrusion-related distress",NA,"no","39","1","1","1","-1.86"," [-2.70, -1.02]",NA,"-4.348120","0.000014"
"Film","All","Intrusion-related distress",NA,"no","5334","56","61","127","0.05"," [-0.02, 0.11]",NA,"1.363782","0.172636"
"Picture","All","Intrusion-related distress",NA,"no","216","2","2","3","0.30"," [-0.06, 0.66]",NA,"1.616681","0.105947"
"Moderation Analysis: TraumaStimuliType","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.762",NA,"0.152"
"Audio","All","Intrusion-related distress",NA,"yes","101","2","2","5","-0.21"," [-0.62, 0.19]",NA,"-1.017904","0.308723"
"Film","All","Intrusion-related distress",NA,"yes","5268","55","60","124","0.04"," [-0.03, 0.10]",NA,"1.168186","0.242732"
"Picture","All","Intrusion-related distress",NA,"yes","216","2","2","3","0.30"," [-0.04, 0.64]",NA,"1.745240","0.080943"
"Moderation Analysis: ComparisonType","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.268",NA,"0.604"
"Experimental task","All","Intrusion-related distress",NA,"no","3643","39","42","83","0.05"," [-0.04, 0.14]",NA,"1.148112","0.250922"
"No-task","All","Intrusion-related distress",NA,"no","2047","22","24","53","0.01"," [-0.11, 0.13]",NA,"0.210148","0.833552"
"Moderation Analysis: ComparisonType","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.072",NA,"0.788"
"Experimental task","All","Intrusion-related distress",NA,"yes","3577","38","41","80","0.03"," [-0.04, 0.11]",NA,"0.866673","0.386121"
"No-task","All","Intrusion-related distress",NA,"yes","2008","21","23","52","0.05"," [-0.05, 0.16]",NA,"0.981345","0.326422"
"Moderation Analysis: StudyDesign","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.088",NA,"0.766"
"Between-subject","All","Intrusion-related distress",NA,"no","5542","59","64","133","0.04"," [-0.04, 0.11]",NA,"0.972262","0.330920"
"Within-subject","All","Intrusion-related distress",NA,"no","148","2","2","3","0.09"," [-0.28, 0.46]",NA,"0.494473","0.620972"
"Moderation Analysis: StudyDesign","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.106",NA,"0.744"
"Between-subject","All","Intrusion-related distress",NA,"yes","5437","57","62","129","0.04"," [-0.03, 0.10]",NA,"1.187535","0.235017"
"Within-subject","All","Intrusion-related distress",NA,"yes","148","2","2","3","0.09"," [-0.22, 0.41]",NA,"0.575858","0.564711"
"Moderation Analysis: ModeOfMeasurement","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"5.039",NA,"0.081"
"Intrusion diary","All","Intrusion-related distress",NA,"no","4941","54","59","100","0.05"," [-0.02, 0.13]",NA,"1.445993","0.148179"
"Lab-based intrusion monitoring task","All","Intrusion-related distress",NA,"no","616","7","8","19","0.08"," [-0.09, 0.24]",NA,"0.887272","0.374932"
"Self-report questionnaire","All","Intrusion-related distress",NA,"no","750","7","7","17","-0.14"," [-0.32, 0.04]",NA,"-1.572698","0.115789"
"Moderation Analysis: ModeOfMeasurement","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"4.107",NA,"0.128"
"Intrusion diary","All","Intrusion-related distress",NA,"yes","4836","52","57","97","0.05"," [-0.01, 0.12]",NA,"1.528462","0.126398"
"Lab-based intrusion monitoring task","All","Intrusion-related distress",NA,"yes","616","7","8","19","0.09"," [-0.07, 0.24]",NA,"1.125621","0.260326"
"Self-report questionnaire","All","Intrusion-related distress",NA,"yes","668","6","6","16","-0.11"," [-0.28, 0.06]",NA,"-1.303621","0.192363"
"Moderation Analysis: TimeOfManipulation","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"3.298",NA,"0.509"
"Delayed post","All","Intrusion-related distress",NA,"no","419","3","3","7","-0.11"," [-0.41, 0.18]",NA,"-0.745608","0.455904"
"Immediate + delayed post","All","Intrusion-related distress",NA,"no","251","3","3","6","-0.13"," [-0.45, 0.20]",NA,"-0.750483","0.452964"
"Immediate post","All","Intrusion-related distress",NA,"no","3387","36","40","84","0.06"," [-0.03, 0.15]",NA,"1.227663","0.219574"
"Peri","All","Intrusion-related distress",NA,"no","680","8","8","17","-0.03"," [-0.24, 0.18]",NA,"-0.282682","0.777421"
"Pre","All","Intrusion-related distress",NA,"no","1034","13","13","22","0.11"," [-0.05, 0.28]",NA,"1.344400","0.178819"
"Moderation Analysis: TimeOfManipulation","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.924",NA,"0.571"
"Delayed post","All","Intrusion-related distress",NA,"yes","419","3","3","7","-0.11"," [-0.36, 0.14]",NA,"-0.867602","0.385612"
"Immediate + delayed post","All","Intrusion-related distress",NA,"yes","251","3","3","5","-0.02"," [-0.33, 0.28]",NA,"-0.145502","0.884314"
"Immediate post","All","Intrusion-related distress",NA,"yes","3282","34","38","81","0.06"," [-0.02, 0.14]",NA,"1.384549","0.166190"
"Peri","All","Intrusion-related distress",NA,"yes","680","8","8","17","-0.03"," [-0.22, 0.16]",NA,"-0.294580","0.768315"
"Pre","All","Intrusion-related distress",NA,"yes","1034","13","13","22","0.10"," [-0.05, 0.25]",NA,"1.365095","0.172223"
"Moderation Analysis: Physio_binary","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.039",NA,"0.843"
"No","All","Intrusion-related distress",NA,"no","3726","39","43","88","0.03"," [-0.06, 0.12]",NA,"0.726277","0.467669"
"Yes","All","Intrusion-related distress",NA,"no","1964","23","23","48","0.05"," [-0.07, 0.17]",NA,"0.781494","0.434512"
"Moderation Analysis: Physio_binary","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.252",NA,"0.616"
"No","All","Intrusion-related distress",NA,"yes","3687","38","42","87","0.05"," [-0.02, 0.13]",NA,"1.333697","0.182303"
"Yes","All","Intrusion-related distress",NA,"yes","1898","22","22","45","0.02"," [-0.09, 0.13]",NA,"0.345531","0.729695"
"Moderation Analysis: PublicationStatus","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.026",NA,"0.311"
"Published","All","Intrusion-related distress",NA,"no","5282","56","61","124","0.05"," [-0.02, 0.12]",NA,"1.303890","0.192271"
"Unpublished","All","Intrusion-related distress",NA,"no","408","5","5","12","-0.09"," [-0.34, 0.17]",NA,"-0.679070","0.497094"
"Moderation Analysis: PublicationStatus","All","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.507",NA,"0.477"
"Published","All","Intrusion-related distress",NA,"yes","5177","54","59","121","0.05"," [-0.02, 0.11]",NA,"1.429607","0.152830"
"Unpublished","All","Intrusion-related distress",NA,"yes","408","5","5","11","-0.04"," [-0.27, 0.19]",NA,"-0.336636","0.736391"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"13.899",NA,"0.381"
"Australia","All","Intrusion-related distress",NA,"no","958","10","11","33","0.05"," [-0.11, 0.21]",NA,"0.585322","0.558332"
"Austria","All","Intrusion-related distress",NA,"no","84","1","1","1","0.18"," [-0.45, 0.81]",NA,"0.554416","0.579294"
"Belgium/Australia","All","Intrusion-related distress",NA,"no","74","1","1","2","0.04"," [-0.55, 0.63]",NA,"0.135278","0.892392"
"China","All","Intrusion-related distress",NA,"no","66","1","1","1","0.70"," [0.05, 1.36]",NA,"2.098894","0.035826"
