"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
10,NA,NA,39,"MMV & SZ",7,1,"Behavioural",NA,39,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",2,52,31,0.596153846,"24.47","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS3, SOM General","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Reactivation + tetris condition had lower IES-R intrusion subscale score than no-task.",NA,NA,"Yes","Null",0.68,NA,0.53,1.01,NA,0.41,"-0.33","t(50)=2.50",NA,"0.016","0.69","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 1","James et al., 2015","James et al., 2015, Exp. 1","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-2.5,-0.69,0.68597,0.08145,0.285394463856607,0.126596850841051,1.24534314915895,2.40358551714815,0.0162351692347639,1.54858970109244,0,0.0276569822289643,0,0.167746928549634,0
11,NA,NA,45,"MMV & SZ",7,2,"Behavioural",NA,45,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,47,0.652777778,"25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS5, SOM General","Tetris","Trauma reminder + tetris","Unspecified","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Indirect","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale scores",NA,NA,"Yes","Null",0.72,NA,0.42,0.81,NA,0.58,"0",NA,NA,"0.54","Not provided","Not provided","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Trauma reminder + tetris",NA,NA,NA,"24 hours",-0.666666666666667,"F(3, 68) = 0.73",NA,NA,NA,0.170425142745411,0.0820610147430528,0.286462937817535,-0.391042215376957,0.73189250086778,0.594929117336516,0.551890853018163,0.228920393335198,0,0.0011293201081957,0,0.0130170752877247,0
12,NA,NA,51,"SZ",8,1,"Behavioural",NA,51,2015,"Published","Journal Article","Sleep","Psychological effect of an analogue traumatic event reduced by sleep deprivation","Porcheret, Kate; Holmes, Emily A.; Goodwin, Guy M.; Foster, Russell G.; Wulff, Katharina","emily.holmes@mrc-cbu.cam.ac.uk","10.5665/sleep.4802","Web of Science","England","Europe",2,42,29,0.69047619,"21.52","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"page 1021","Sleep","Sleep","Increase","Sleep deprivation","Experimental task","No sleep","Sleep","Behavioural","Other","Indirect","Task",21,19,40,"Immediate post","Trauma film","Trauma film","6","15min1s","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","12 hours post trauma film",NA,"Retrospective",NA,"Not provided","Not provided","Actigraphy",NA,"No",NA,6.11,NA,4.976,3.8,NA,3.318,"2.31",NA,NA,NA,"Not provided","Not provided","Contact author for intrusion subscale score; stats provided by the author via email",NA,NA,NA,"Film","Yes","Porcheret et al., 2015","Porcheret et al., 2015","Porcheret et al., 2015","Sleep",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.53002,0.10376,0.322117990804612,-1.16137126197704,0.101331261977039,-1.64542191100868,0.099882834094598,-1.4312784043336,0,0.0225113705432952,0,-0.150915098540752,0
13,NA,NA,58.5,"MMV & SZ",9,1,"Behavioural",NA,58.5,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Contextual representations of negative images modulate intrusion frequency in an intrusion provocation paradigm ","Krans, J., Pearson, D., G., Maier, B., & Moulds, M., L.","david.pearson@anglia.ac.uk ","10.1016/j.jbtep.2015.09.004","Others","Australia","Australia",3,110,64,0.581818182,"24.43","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 1, page 5","Severe Outcome Contextual Information","Severe outcome contextual information","Unspecified","Context-Free","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Task",37.5,35,72.5,"Peri","Negative Pictures","Picture Viewing","18",NA,"IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES intrusion scale",NA,NA,"Yes","Null",6.1,NA,5.825,5.8,NA,4.87,"0.67",NA,NA,"0.814","Not provided","Not provided",NA,NA,NA,NA,"Picture","No","Krans et al., 2016","Krans et al., 2016","Krans et al., 2016","Contextual information",NA,NA,NA,NA,0,"F(2, 107) = 0.21",NA,NA,NA,-0.0566236058303906,0.0442336447698201,0.210317961120348,-0.468846809626272,0.355599597965491,-0.269228579094058,0.78775378899209,-0.354259413845689,0,0.000847590246481654,0,-0.0176206065455988,0
19,NA,NA,74,"MMV & SZ",14,1,"Behavioural",NA,74,2009,"Published","Journal Article","Plos One","Can playing the computer game ""tetris'' reduce the build-up of flashbacks for trauma? a proposal from cognitive science","Holmes, Emily A.; James, Ella L.; Coode-Bate, Thomas; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0004153","Web of Science","England","Europe",2,40,18,0.45,"23.4","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Figure 3, page 4","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","11","12min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Tetris condition had lower IES-R scores than control condition",NA,NA,"Yes","Null",7.25,NA,5.01,11.65,NA,6.8,"-4.4","t(38)=2.47",NA,"< .02","Not Reported","Not Reported","image-based intrusions; Got stat info from the author via email",NA,NA,NA,"Film","No","Holmes et al., 2009","Holmes et al., 2009","Holmes et al., 2009","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,-2.47,NA,0.72206,0.10652,0.326374018573783,0.0823669235953854,1.36175307640461,2.21236973198822,0.0269411285026744,1.52032037317732,0,0.0231788049221642,0,0.153309891631525,0
33,1,1,133,"MMV & SZ",26,1,"Behavioural",NA,133,2013,"Published","Journal Article","Plos One","The roles of noradrenergic and glucocorticoid activation in the development of intrusive memories","Bryant, Richard A.; McGrath, Chloe; Felmingham, Kim L.","r.bryant@unsw.edu.au","10.1371/journal.pone.0062675","Web of Science","Australia","Australia",2,78,41,0.525641026,"19.78","Between-subject",1,0,1,1,1,1,0,NA,1,1,1,8,"Table 2, page 4","High stress (cold water) condition","Cold water stress induction","Increase","Low stress (warm water) condition","Experimental task","Control (Warm water)","Cold vs. Warm water stress","Behavioural","Emotion","Indirect","Task",39,39,NA,"Immediate post","Negative + Neutral pictures","Viewing pictures","20 negative + 20 neutral","~3.3min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","2nd day post trauma film",NA,"Retrospective",NA,"Negative","High stress had more intrusion score than low stress for negative images.","saliva sample","DASS-21","Yes","Positive (ONLY FOR WOMEN)",2.53,NA,2.4,2.16,NA,2.5,"0.37",NA,NA,"< .005","Not Reported","Not Reported","Intrusion content info Not Reported",NA,NA,NA,"Picture","Yes","Bryant et al., 2013","Bryant et al., 2013","Bryant et al., 2013","Cold vs. Warm water stress",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.14949,0.05143,0.226781833487605,-0.593982393635707,0.295002393635707,-0.659179783940543,0.509780327068115,-0.623571927717344,0,0.00567243071058378,0,-0.0749518221719343,0
35,NA,NA,150.5,"MMV & SZ",28,1,"Behavioural",NA,150.5,2014,"Published","Journal Article","Memory","Emotional impact feedback affects how people remember an analogue trauma event","Takarangi, M. K.; Segovia, D. A.; Dawson, E.; Strange, D.","melanie.takarangi@flinders.edu.au","10.1080/09658211.2013.865238","PubMed","USA","North america",3,72,37,0.513888889,"Not Collected","Between-subject",0.5,0,0,0,1,1,0,0,0,1,1,4.5,"Figure 1, page 1046","More negative feedback","More negative feedback of the film","Unspecified","No feedback","No-task","No-Task","Negative feedback","Behavioural","Verbal","Direct","Task",24,24,48,"Immediate post","Trauma film","Trauma film","Multiple","5min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly on intrusion subscale of IES.",NA,NA,"Yes","Null",9.94,NA,7.11,11.67,NA,6.97,"-3.17",NA,NA,NA,"0.04","partial eta squared","got info from author via email about sample size, raw stats and mean age",NA,NA,NA,"Film","No","Takarangi et al., 2014","Takarangi et al., 2014","Takarangi et al., 2014","Negative feedback",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.249417332275341,0.0675971353456641,0.25999449099099,-0.260171870067,0.759006534617682,0.959317758328904,0.337398691886801,0.450530382109426,0,0.00424721327328788,0,0.0292196283467031,0
45,NA,NA,192,"SZ",38,1,"Behavioural",NA,192,2015,"Published","Journal Article","Neurobiology Of Learning And Memory","The role of stress during memory reactivation on intrusive memories","Cheung, Jessica; Garber, Benjamin; Bryant, Richard A.","r.bryant@unsw.edu.au","10.1016/j.nlm.2015.04.004","Web of Science","Australia","Australia",3,63,34,0.53968254,"19.89","Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"page 31, Table 1","Socially evaluated cold pressor test (SECPT) + reactivation","Cold water stress induction + trauma reminder","Increase","Socially evaluated cold pressor test (SECPT) ","Experimental task","Cold water stress induction","Cold water stress induction + trauma reminder vs. Cold water stress induction","Behavioural","Imagery","Direct","Task",21,21,42,"Delayed post","Trauma film","Trauma film","1","10min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","5th day post trauma film",NA,"Retrospective",NA,"Negative","Stress/Reactivation condition had significantly more intrusive memories than the Stress condition","Saliva (sAA, cortisol)",NA,"Yes","Null",7,NA,2.9,5.24,NA,2.28,"1.76","t(1,40)=2.19",NA,"< .05","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Cheung et al., 2015","Cheung et al., 2015","Cheung et al., 2015","Cold water stress induction + trauma reminder vs. Cold water stress induction",NA,NA,NA,"2 days ",1,NA,NA,2.19,NA,-0.66198,0.10045,0.31693847983481,-1.28317942047623,-0.0407805795237732,-2.08867033231505,0.0367374092315757,-1.75514995298384,0,0.0104463902394589,0,-0.104493744179452,0
46,NA,NA,196.5,"MMV",39,1,"Behavioural",NA,196.5,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Encoding disorganized memories for an analogue trauma does not increase memory distortion or analogue symptoms of ptsd","Segovia, D. A.; Strange, D.; Takarangi, M. K.","dstrange@jjay.cuny.edu","10.1016/j.jbtep.2015.07.003","PubMed","USA","North america",6,211,114,0.539906103,"Not provided","Between-subject",0.5,1,1,1,1,1,0,0,1,1,1,8.5,"Table 4, page 133","Data-driven processing","Data-driven processing","Unspecified","No-Task","No-task","No-Task","Data-driven processing","Behavioural","Verbal","Direct","Instruction",35.16666667,35.16666667,NA,"Peri","Trauma film","Trauma film","1","3.82 minutes","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES intrusion subscale.",NA,NA,"Yes","Null",7.16,NA,6.32,7.37,NA,8.18,"-0.28",NA,NA,NA,"Not provided","Not provided","Study in total had 6 groups but we only code for 3 groups, so should we report 3 or 6 in the sample size column, the study doesn't provide info on number of participants within each condition.",NA,NA,NA,"Film","No","Segovia et al., 2016","Segovia et al., 2016","Segovia et al., 2016","Data-driven processing",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.0285428296703422,0.0454999993846154,0.213307288634532,-0.38953945605334,0.446625115394024,0.133810850313914,0.89355214705188,-0.123991510218223,0,1.61641222092497e-05,0,-0.00235822242828674,0
47,NA,NA,202,"MMV & SZ",40,1,"Behavioural",NA,202,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reducing involuntary memory by interfering consolidation of stressful auditory information: a pilot study","Tabrizi, Fara; Jansson, Billy","billy.jansson@miun.se ","10.1016/j.jbtep.2015.09.003","Web of Science","Sweden","Europe",4,41,26,0.634146341,"24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 242","Visuospatial task (model clay)","Number counting","Decrease","No-Task","No-task","No-Task","Number counting","Behavioural","Verbal","Indirect","Task",10.3333333333333,10,20.3333333333333,"Immediate post","Aversive audio clips","Aversive audio clips","6","10 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale.",NA,NA,"Yes","Null",9.21666666666667,NA,6.69666666666667,8.1,NA,3.9,"3.5",NA,NA,"0.282","Not provided","Not provided",NA,"Contact author for their distress level. They didn’t report distress level but did record this data",NA,NA,"Audio","No","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Number counting (phonological task)","Phonological task",NA,NA,NA,0.333333333333333,"F(3, 37) = 1.32",NA,NA,NA,-0.131456171456366,0.147041864372128,0.383460381750355,-0.883038519687061,0.62012617677433,-0.342815523356851,0.731737246913193,-0.448585637815831,0,0.00281670522532526,0,-0.0207256897837808,0
