"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
10,NA,NA,39,"MMV & SZ",7,1,"Behavioural",NA,39,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",2,52,31,0.596153846,"24.47","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS3, SOM General","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Reactivation + tetris condition had lower IES-R intrusion subscale score than no-task.",NA,NA,"Yes","Null",0.68,NA,0.53,1.01,NA,0.41,"-0.33","t(50)=2.50",NA,"0.016","0.69","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 1","James et al., 2015","James et al., 2015, Exp. 1","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-2.5,-0.69,0.68597,0.08145,0.285394463856607,0.126596850841051,1.24534314915895,2.40358551714815,0.0162351692347639,1.35525078163408,0,0.0399295380455828,0,0.201330148893846,0
11,NA,NA,42,"MMV & SZ",7,2,"Behavioural",NA,42,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,47,0.652777778,"25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS5, SOM General","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale scores",NA,NA,"Yes","Null",0.61,NA,0.38,0.81,NA,0.58,"-0.2",NA,NA,"0.54","Not provided","Not provided","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,"F(3, 68) = 0.73",NA,NA,NA,0.39883,0.11332,0.336630361078736,-0.260965507714322,1.05862550771432,1.18477132817713,0.236107871793566,0.460363516182137,0,0.00395237151395376,0,0.0623768676291487,0
19,NA,NA,74,"MMV & SZ",14,1,"Behavioural",NA,74,2009,"Published","Journal Article","Plos One","Can playing the computer game ""tetris'' reduce the build-up of flashbacks for trauma? a proposal from cognitive science","Holmes, Emily A.; James, Ella L.; Coode-Bate, Thomas; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0004153","Web of Science","England","Europe",2,40,18,0.45,"23.4","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Figure 3, page 4","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","11","12min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Tetris condition had lower IES-R scores than control condition",NA,NA,"Yes","Null",7.25,NA,5.01,11.65,NA,6.8,"-4.4","t(38)=2.47",NA,"< .02","Not Reported","Not Reported","image-based intrusions; Got stat info from the author via email",NA,NA,NA,"Film","No","Holmes et al., 2009","Holmes et al., 2009","Holmes et al., 2009","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,-2.47,NA,0.72206,0.10652,0.326374018573783,0.0823669235953854,1.36175307640461,2.21236973198822,0.0269411285026744,1.32495333560028,0,0.0317596397621535,0,0.179164070087602,0
35,NA,NA,151,"MMV & SZ",28,1,"Behavioural",NA,151,2014,"Published","Journal Article","Memory","Emotional impact feedback affects how people remember an analogue trauma event","Takarangi, M. K.; Segovia, D. A.; Dawson, E.; Strange, D.","melanie.takarangi@flinders.edu.au","10.1080/09658211.2013.865238","PubMed","USA","North america",3,72,37,0.513888889,"Not Collected","Between-subject",0.5,0,0,0,1,1,0,0,0,1,1,4.5,"Figure 1, page 1046","Less negative feedback","Less negative feedback of the film","Decrease","No feedback","No-task","No-Task","Negative feedback","Behavioural","Verbal","Direct","Task",24,24,48,"Immediate post","Trauma film","Trauma film","Multiple","5min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly on intrusion subscale of IES.",NA,NA,"Yes","Null",8.5,NA,6.09,11.67,NA,6.97,"-3.17",NA,NA,NA,"0.04","partial eta squared","got info from author via email about sample size, raw stats and mean age",NA,NA,NA,"Film","No","Takarangi et al., 2014","Takarangi et al., 2014","Takarangi et al., 2014","Negative feedback",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.47641,0.0857,0.292745623366089,-0.0973714217975343,1.05019142179753,1.62738555925132,0.103655236571028,0.727643652419227,0,0.0117739249639826,0,0.107835694045386,0
47,NA,NA,202,"MMV & SZ",40,1,"Behavioural",NA,202,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reducing involuntary memory by interfering consolidation of stressful auditory information: a pilot study","Tabrizi, Fara; Jansson, Billy","billy.jansson@miun.se ","10.1016/j.jbtep.2015.09.003","Web of Science","Sweden","Europe",4,41,26,0.634146341,"24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 242","Phonological task (count from 1-10 loudly repeatedly)","Number counting","Decrease","No-Task","No-task","No-Task","Number counting","Behavioural","Verbal","Indirect","Task",10.5,10,20.5,"Immediate post","Aversive audio clips","Aversive audio clips","6","10 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale.",NA,NA,"Yes","Null",8.025,NA,6.2,8.1,NA,3.9,"1.5",NA,NA,"0.282","Not provided","Not provided",NA,"Contact author for their distress level. They didn’t report distress level but did record this data",NA,NA,"Audio","No","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Number counting (phonological task)","Phonological task",NA,NA,NA,0,"F(3, 37) = 1.32",NA,NA,NA,0.0417386993920981,0.157901523541336,0.397368246770342,-0.737103064277773,0.820580463061969,0.105037832618319,0.91634578866104,-0.388520619665188,0,0.0048687478451089,0,-0.0284745071956059,0
50,1,1,226,"MMV",43,1,"Behavioural",NA,226,2016,"Published","Journal Article","Plos One","Activating attachments reduces memories of traumatic images","Bryant, Richard A.; Foord, Rachael","r.bryant@.unsw.edu.au","10.1371/journal.pone.0162550","Web of Science","Australia","Australia",2,63,23,0.343283582,"19.78","Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Supplementary data","View attachment-related images","Attachment priming","Decrease","View non-attachment images","Experimental task","Control (positive mood induction)","Attachment priming","Behavioural","Emotion","Indirect","Task",30,30,60,"Peri","Negative + Neutral Pictures","Picture Viewing","40","200 seconds","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","2nd day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale.",NA,NA,"Yes","Null",0.8,0.28,1.52,1.47,0.38,2.1,"-0.67",NA,NA,NA,"Not provided","Not provided","Is the manipulation peri or pre?","Stats calculated from raw datset",NA,NA,"Picture","No","Bryant & Foord, 2016","Bryant & Foord, 2016","Bryant & Foord, 2016","Attachment priming",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.36075,0.06775,0.260288301696407,-0.149415071324959,0.870915071324959,1.38596317102552,0.165758149586201,0.43193617531632,0,0.0050321791083457,0,0.0701480543533402,0
60,NA,NA,273,"SZ",52,1,"Behavioural",NA,273,2013,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Unconscious thought reduces intrusion development: a replication and extension","Krans, Julie; Janecko, Dorte; Bos, Maarten W.","j.krans@unsw.edu.au","10.1016/j.jbtep.2012.08.004","Web of Science","Australia","Australia",3,51,47,0.921568627,"19.76","Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"page 183, Table 1","Unconscious thought condition (2-back working memory task + memory test expectation)","Unconscious imagery re-experience","Decrease","Mere distraction condition (2-back working memory task)","Experimental task","Control (working memory task)","Unconscious imagery re-experience","Behavioural","Imagery","Indirect","Task",17,17,34,"Immediate post","Trauma film","Trauma film","1","8.42min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","Same day post trauma film",NA,"Retrospective",NA,"Positive","UT group showed lower intrusion score than MD group",NA,NA,"Yes","Null",5.87,NA,3.63,7.88,NA,5.73,"-2.01",NA,NA,"<0.05","Not provided","Not provided","Contact author for sample size and age information",NA,NA,NA,"Film","No","Krans et al., 2013a","Krans et al., 2013","Krans et al., 2013a","Unconscious imagery re-experience",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.40916,0.12011,0.346568896469374,-0.270115037079974,1.08843503707997,1.18060219531604,0.237760791123025,0.476411190848645,0,0.00403956735068352,0,0.0630882571184956,0
61,NA,NA,276,"MMV",53,1,"Behavioural",NA,276,2017,"Published","Journal Article","Psychological Trauma: Theory, Research, Practice, And Policy","Using the trauma film paradigm to explore interpersonal processes after trauma exposure","Woodward, Matthew J.; Beck, J. Gayle","mjwdward@memphis.edu","10.1037/tra0000169","Web of Science","USA","North america",2,67,67,1,"19","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 449","Presence of romantic partner","Social support","Decrease","Absence of romantic partner","No-task","No-Task","Social support","Behavioural","Emotion","Indirect","Task",32,35,67,"Peri + immediate post","Trauma film","Trauma film","1","11 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","3rd day post trauma film",NA,"Retrospective",NA,"Negative","Partner present condition had higher IES-R intrusion subscale score than partner absent condition",NA,"state anxiety","No",NA,0.9,NA,0.76,0.5,NA,0.48,"0.4",NA,NA,"0.04","Not provided","Not provided","Is manipulation peri or immediate post/check with dr. hu",NA,NA,NA,"Film","No","Woodward & Beck, 2017","Woodward & Beck, 2017","Woodward & Beck, 2017","Social support",NA,NA,NA,NA,1,"F(1,56) = 4.55 (group main effect)",NA,NA,NA,-0.62828,0.06277,0.250539418056321,-1.11933725939039,-0.137222740609611,-2.50770918554127,0.0121516631326738,-2.8573859906521,1,0.181774222176147,0,-0.465096762168588,0
74,NA,NA,310,"MMV & SZ",65,1,"Behavioural",NA,310,2018,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Can an experimental self-efficacy induction through autobiographical recall modulate analogue posttraumatic intrusions?","Krans, Julie; Brown, Adam D.; Moulds, Michelle L.","julie.krans@kuleuven.be ","10.1016/j.jbtep.2017.07.001","Web of Science","Australia","Australia",3,113,66,0.584070796,"23.84","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 1, page 5","High self efficacy","High self efficacy","Decrease","No self efficacy (recall important memory)","Experimental task","Control (recall important memory)","Self efficacy","Behavioural","Other","Indirect","Task",37,37,74,"Pre","Trauma film","Trauma film","1","10 minutes","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES INTRUSION SUBSCALE",NA,NA,"Yes","Null",7.73,NA,6.16,7.08,NA,6.08,"0.65",NA,NA,NA,"Not provided","Not provided","Is the control task a no-task control or experimental task",NA,NA,NA,"Film","No","Krans et al., 2018, Exp. 1","Krans et al., 2018","Krans et al., 2018, Exp. 1","Self efficacy",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.1051,0.05413,0.232658548091404,-0.561110754259151,0.350910754259151,-0.451734960362212,0.651459929445211,-1.06128138892636,0,0.0321749923495564,0,-0.179911701484538,0
75,NA,NA,318,"MMV & SZ",65,2,"Behavioural",NA,318,2018,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Can an experimental self-efficacy induction through autobiographical recall modulate analogue posttraumatic intrusions?","Krans, Julie; Brown, Adam D.; Moulds, Michelle L.","julie.krans@kuleuven.be ","10.1016/j.jbtep.2017.07.001","Web of Science","Belgium/Australia","Australia/europe",3,74,54,0.72972973,"20.66","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 2, page 8","High self efficacy","High self efficacy","Decrease","No self efficacy (recall important memory)","Experimental task","Control (recall important memory)","Self efficacy","Behavioural","Other","Indirect","Task",25,24,49,"Immediate post","Trauma film","Trauma film","1","10 minutes","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES INTRUSION SUBSCALE",NA,NA,"Yes","Null",9.16,NA,6.2,8.21,NA,5.36,"0.95",NA,NA,NA,"Not provided","Not provided","Is the control task a no-task control or experimental task",NA,NA,NA,"Film","No","Krans et al., 2018, Exp. 2","Krans et al., 2018","Krans et al., 2018, Exp. 2","Self efficacy",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.16105,0.08193,0.28623416986796,-0.722068972941201,0.399968972941201,-0.562651202944403,0.57367241836666,-1.09225446395727,0,0.0262571958751776,0,-0.162540959825326,0
