"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
1,NA,NA,5,"SZ",1,1,"Behavioural",NA,5,2009,"Published","Journal Article","Behaviour Research And Therapy","The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance","Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.","barney.dunn@mrc-cbu.cam.ac.uk","10.1016/J.BRAT.2009.05.007","Others","England","Europe",3,89,49,0.550561798,"35.36","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4","Emotional acceptance","Emotional acceptance","Increase","No-regulation","No-task","No-Task","Emotional acceptance","Behavioural","Emotion","Direct","Instruction",28,27,55,"Peri","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","No group difference","SCR, HR","Depression, Trait anxiety","Yes","Null",23.74,NA,20.61,24.33,NA,20.37,"-0.59",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Dunn et al., 2009","Dunn et al., 2009","Dunn et al., 2009","Emotional acceptance",NA,NA,NA,NA,-1,"F < 1",NA,NA,NA,0.02838,0.07276,0.26974061614818,-0.500311607650434,0.557071607650434,0.10521218645252,0.916207441003238,0.532248405746767,0,0.0140542260458075,0,0.116146819874249,0
2,NA,NA,10,"MMV & SZ",2,1,"Behavioural",NA,10,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",3,51,48,0.941176471,"20.2","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Page 10","Dissociation","Dissociation","Increase","No-task","No-task","No-Task","Dissociation","Behavioural","Other","Indirect","Instruction",17,17,34,"Peri","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","Dissociation and control condition did not significantly differ in terms of intrusion distress","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",3.536,NA,1.33,3.38,NA,2.55,"0.156",NA,NA,NA,"Not Reported","Not Reported","Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info? Got stat info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 1","Homes et al., 2004","Homes et al., 2004, Exp. 1","Dissociation",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.0749,0.11773,0.34311805548528,-0.74741138875115,0.59761138875115,-0.218292214013824,0.827201440508727,0.173423434826067,0,0.00203686995310396,0,0.0443764114340503,0
8,NA,NA,33,"MMV",5,1,"Behavioural",NA,33,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Contextual representations increase analogue traumatic intrusions: Evidence against a dual-representation account of peri-traumatic processing","Pearson, D. G.","d.g.pearson@abdn.ac.uk","10.1016/j.jbtep.2012.04.002","Others","Scotland","Europe",2,38,30,0.789473684,"22.55","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 2, page 1029","Contextual","Contextual information","Increase","Context-free","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Task",19,19,38,"Peri","Trauma film","Trauma film","5","13 min 40 s","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not reported","Null","Contextual information and context-free conditions did not signficiantly differ on emotionality of diary intrusions.",NA,NA,"Yes","Null",4.62,NA,1.81,4.34,NA,2.22,"0.28","t(32)=0.41",NA,"0.69","Not Reported","Not Reported","Did not use any trauma history questionnaire but inclusion criteria included no exposure to road accidents~ does that count as similar baseline trauma history? Different df for t test compared to intrusion freqeuncy~ why?",NA,NA,NA,"Film","No","Pearson, 2012","Pearson, 2012","Pearson, 2012","Contextual information",NA,NA,NA,NA,1,NA,NA,0.41,NA,-0.13534,0.1055,0.324807635378234,-0.771962965341339,0.501282965341339,-0.41667739689185,0.676914389399212,0.0162714313076494,0,0.000540338136901189,0,0.0228320866638505,0
12,NA,NA,50,"SZ",8,1,"Behavioural",NA,50,2015,"Published","Journal Article","Sleep","Psychological effect of an analogue traumatic event reduced by sleep deprivation","Porcheret, Kate; Holmes, Emily A.; Goodwin, Guy M.; Foster, Russell G.; Wulff, Katharina","emily.holmes@mrc-cbu.cam.ac.uk","10.5665/sleep.4802","Web of Science","England","Europe",2,42,29,0.69047619,"21.52","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"page 1022, Figure 4B","Sleep","Sleep","Increase","Sleep deprivation","Experimental task","No sleep","Sleep","Behavioural","Other","Indirect","Task",21,18,39,"Immediate post","Trauma film","Trauma film","6","15min1s","Mean Emotional Distress","Intrusion-related distress","Intrusion Diary","Intrusion diary","12 hours post trauma film","6 days","Real Time",NA,"Null","The intensity of the intrusions was similar between groups as measured in the level of distress reported when experiencing an intrusive memory ","Actigraphy",NA,"No",NA,1.09,NA,1.21,0.71,NA,1.12,"0.38",NA,"1.2","0.23","Not provided","Not provided","Stats extracted from figure 4b",NA,NA,NA,"Film","Yes","Porcheret et al., 2015","Porcheret et al., 2015","Porcheret et al., 2015","Sleep",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.31828,0.10447,0.323218192557288,-0.951787657412284,0.315227657412284,-0.984721798862195,0.324760742092701,-0.48789436379749,0,0.00388262537978045,0,-0.0616397677628571,0
13,NA,NA,55,"MMV & SZ",9,1,"Behavioural",NA,55,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Contextual representations of negative images modulate intrusion frequency in an intrusion provocation paradigm ","Krans, J., Pearson, D., G., Maier, B., & Moulds, M., L.","david.pearson@anglia.ac.uk ","10.1016/j.jbtep.2015.09.004","Others","Australia","Australia",3,110,64,0.581818182,"24.43","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 1, page 5","Severe Outcome Contextual Information","Severe outcome contextual information","Increase","Context-Free","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Task",38,35,73,"Peri","Negative Pictures","Picture Viewing","18",NA,"Mean Emotional Distress","Intrusion-related distress","Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion distress",NA,NA,"Yes","Null",3.61,NA,2.82,4.42,NA,2.81,"-0.81",NA,NA,"0.202","Not provided","Not provided",NA,NA,NA,NA,"Picture","No","Krans et al., 2016","Krans et al., 2016","Krans et al., 2016","Contextual information",NA,NA,NA,NA,-1,NA,NA,NA,NA,0.28467,0.05544,0.235457002444183,-0.176825724790599,0.746165724790599,1.20901054988791,0.226658792298148,1.50451341058103,0,0.065567542419893,0,0.261356095946993,0
20,NA,NA,81.5,"MMV & SZ",15,1,"Behavioural",NA,81.5,2009,"Published","Journal Article","Memory","Does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?","Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie","reg.nixon@flinders.edu.au","10.1080/09658210802592353","Web of Science","Australia","Australia",5,120,58,0.483333333,"24.47","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Table 2, page 250","Verbal cognitive load and thought suppression","Thought suppression","Increase","No-task","No-task","No-Task","Thought suppression","Behavioural","Imagery","Indirect + direct","Task+instruction",24,24,NA,"Immediate post","Trauma film","Trauma film","1","5min","Mean Emotional Distress","Intrusion-related distress","Daily thought diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not reported","Null","Both conditions did not significantly in terms of intrusion distress.",NA,NA,"Yes","Null",2.1175,NA,0.76,2.21,NA,0.97,"0.18",NA,NA,NA,"Not Reported","Not Reported","Intrusion content info Not Reported",NA,NA,NA,"Film","No","Nixon et al., 2009a","Nixon et al., 2009","Nixon et al., 2009a","Thought suppression",NA,NA,NA,NA,-0.5,NA,NA,NA,NA,0.108673879383663,0.0587624384666201,0.242409650110345,-0.366449034832615,0.58379679359994,0.448306737517231,0.653931838825591,0.758898231927821,0,0.00275401137146454,0,0.0303907860909964,0
25,NA,NA,112.5,"MMV & SZ",19,1,"Behavioural",NA,112.5,2012,"Published","Journal Article","Journal Of Experimental Psychopathology","The effect of rumination on intrusive images and mood: an experimental investigation using the trauma film paradigm","Ball, Sarah C.;Brewin, Chris R.","sarah.ball@eastlondon.nhs.uk","10.5127/jep.019511","PsycInfo & ProQuest","England","Europe",3,57,42,0.7,"22.61316","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 303","Non-film related rumination (NfR)","Non-film related rumination","Increase","No-task","No-task","No-Task","Non-film related rumination","Behavioural","Verbal","Indirect","Instruction",19,19,38,"Immediate + delayed post","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion distress",NA,"DASS-21","No",NA,41.23,NA,21.075,31.5,NA,24.61,"5.03",NA,NA,NA,"Not Reported","Not Reported","image-based intrusions",NA,NA,NA,"Film","No","Ball & Brewin, 2012","Ball & Brewin, 2012","Ball & Brewin, 2012","Non-film related rumination",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.393721413268246,0.08632234869777,0.293806651895035,-0.969582450982514,0.182139624446022,-1.34006977285493,0.180222662128739,-0.746446722586875,0,0.0150060155506858,0,-0.0728612898925905,0
36,NA,NA,157.5,"MMV & SZ",29,1,"Behavioural",NA,157.5,2015,"Published","Journal Article","Australian Journal Of Psychology","Trauma-related rumination mediates the effect of naturally occurring depressive symptoms but not momentary low mood on trauma intrusions","Kubota, Rie; Nixon, Reginald D. V.; Chen, Junwen","reg.nixon@flinders.edu.au","10.1111/ajpy.12074","Web of Science","Australia","Australia",3,81,53,0.654320988,"23.806","Between-subject",1,1,1,1,1,1,1,NA,0,1,1,9,"Table 4, page 81","Sad induction before film","Sad induction","Increase","Neutral induction after film","Experimental task","Control (neutral mood induction)","Sad induction","Behavioural","Emotion","Indirect","Task",26,29,55,"Pre","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusion distress.",NA,NA,"No",NA,2.645,NA,1.685,2.88,NA,2.16,"0.31",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Kubota et al., 2015","Kubota et al., 2015","Kubota et al., 2015, Immediate post","Sad induction (before film)","Before film","Immediate post",NA,NA,-0.5,NA,NA,NA,NA,0.135470704817412,0.0513286521352248,0.226558275362488,-0.308583514893064,0.579524924527888,0.597950812437383,0.549872753871263,0.868695799312842,0,0.00145129919513337,0,0.027210769885842,0
40,NA,NA,175,"MMV",33,1,"Behavioural",NA,175,2016,"Published","Journal Article","Journal Of Trauma & Dissociation","The impact of dissociation on perceptual priming and intrusions after listening to auditory narratives","Dorahy, Martin J.; Peck, Rowan K.; Huntjens, Rafaele J. C.","martin.dorahy@canterbury.ac.nz","10.1080/15299732.2015.1134746","Web of Science","New Zealand","Australia",3,60,47,0.783333333,"24.57","Between-subject",1,1,1,0,1,1,0,0,0,1,1,7,"Table 3, page 420","Spinning Dot (Dissociation)","Spinning dot (dissociation)","Increase","Neutral image","Experimental task","Control (view neutral image)","Dissociation","Behavioural","Other","Indirect","Task",20,20,40,"Peri","Audio Clips","Audio Clips (1 neutral + 1 threat)","2","14 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","3 days","Real Time",NA,"Negative","Spinning dot had more distress than neutral image condition",NA,"state anxiety, dissociation","No",NA,2.2,NA,1.915,1.25,NA,1.82,"1.15",NA,"-2.22","0.05","Not provided","Not provided","Kruskal–Wallis",NA,NA,NA,"Audio","No","Dorahy et al., 2016","Dorahy et al., 2016","Dorahy et al., 2016","Dissociation (spinning dots)","Spinning dots",NA,NA,NA,1,NA,NA,NA,NA,-0.488023367587271,0.0824921525050382,0.287214471266749,-1.0509637312701,0.0749169960955575,-1.69916009257772,0.0892890233773705,-0.993437458712467,0,0.016537233652668,0,-0.122478712431544,0
46,NA,NA,194,"MMV",39,1,"Behavioural",NA,194,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Encoding disorganized memories for an analogue trauma does not increase memory distortion or analogue symptoms of ptsd","Segovia, D. A.; Strange, D.; Takarangi, M. K.","dstrange@jjay.cuny.edu","10.1016/j.jbtep.2015.07.003","PubMed","USA","North america",6,211,114,0.539906103,"Not provided","Between-subject",0.5,1,1,1,1,1,0,0,1,1,1,8.5,"Table 4, page 133","Conceptual processing","Conceptual processing","Increase","No-Task","No-task","No-Task","Conceptual processing","Behavioural","Verbal","Direct","Instruction",35.16666667,35.16666667,NA,"Peri","Trauma film","Trauma film","1","3.82 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","Both conditions did not significantly in terms of diary intrusions distress.",NA,NA,"Yes","Null",4.65,NA,2.04,4.06,NA,2.1,"0.59",NA,NA,NA,"Not provided","Not provided","Study in total had 6 groups but we only code for 3 groups, so should we report 3 or 6 in the sample size column, the study doesn't provide info on number of participants within each condition.",NA,NA,NA,"Film","No","Segovia et al., 2016","Segovia et al., 2016","Segovia et al., 2016","Conceptual processing",NA,NA,NA,NA,1,NA,NA,NA,NA,-0.28185,0.05744,0.239666434863124,-0.751596212331723,0.187896212331723,-1.17600948234978,0.239591086886998,-0.479062725202322,0,0.0051952452012843,0,-0.0708265422077632,0
