"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","n_article","n_study","k","ImputedSide","ImputedStudies","Hedgesg","se","z","p","CI"
"Trim and Fill (Averaged Outcome)","All","Intrusion frequency","Intrusion diary","yes","8790","102","116","116","left","0","0.144300541323704","0.0326552533591572","4.418907418559","9.92011286864516e-06"," [0.08, 0.21]"
"Trim and Fill (Averaged Outcome)","All","Intrusion frequency","Intrusion diary","no","8985","104","121","121","left","11","0.0756444454078083","0.0403278751260463","1.87573595611916","0.0606915460028291"," [-0.00, 0.15]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion frequency","Intrusion diary","yes","6260","72","83","83","left","14","0.199980454777507","0.0417704436092625","4.78760667825807","1.68782024725301e-06"," [0.12, 0.28]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion frequency","Intrusion diary","no","6619","76","89","89","left","16","0.174295304301426","0.0474591269410676","3.67253499032667","0.000240156255564828"," [0.08, 0.27]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion frequency","Intrusion diary","yes","3352","38","44","44","right","8","-0.0620005096240999","0.0624454104961303","-0.992875363161269","0.320770697377346"," [-0.18, 0.06]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion frequency","Intrusion diary","no","3611","41","47","47","right","8","-0.0270850567160429","0.075967246462275","-0.35653598066758","0.721439211398417"," [-0.18, 0.12]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion frequency","Intrusion diary","yes","2356","27","28","28","left","0","0.133555715136851","0.049582159005347","2.69362443701671","0.00706797562541093"," [0.04, 0.23]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion frequency","Intrusion diary","no","2356","27","28","28","left","0","0.116317529911036","0.0494373438002569","2.3528272550604","0.0186312872412801"," [0.02, 0.21]"
"Trim and Fill (Averaged Outcome)","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2805","33","38","38","left","6","0.252120835049119","0.0650926121097598","3.87326344538133","0.000107387636693017"," [0.12, 0.38]"
"Trim and Fill (Averaged Outcome)","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2859","34","39","39","left","6","0.206412931619129","0.071560160358192","2.88446714744539","0.00392076665004126"," [0.07, 0.35]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes","2052","24","28","28","left","3","0.404217907069788","0.0788784679464506","5.12456589983727","2.98224032449994e-07"," [0.25, 0.56]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no","2052","24","28","28","left","3","0.404217907069788","0.0788784679464506","5.12456589983727","2.98224032449994e-07"," [0.25, 0.56]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1214","11","14","14","left","0","0.0653952323930993","0.0900193481119212","0.726457520129931","0.467558340193583"," [-0.11, 0.24]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1357","13","16","16","left","0","0.0542498432915837","0.110805489028546","0.489595269757868","0.624420324360427"," [-0.16, 0.27]"
