"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
22,1,1,104,"MMV & SZ",17,1,"Pharmacological","Alcohol",104,2010,"Published","Journal Article","Biological Psychiatry","Acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model","Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie","j.bisby@ucl.ac.uk.","10.1016/j.biopsych.2010.01.010","Web of Science","England","Europe",3,48,"24","0.5","22.80667","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284","Low dose alcohol","Low dose alcohol","Increase","Placebo","Experimental task","Placebo","Low dose alcohol","Pharmacological",NA,NA,NA,16,16,32,"Pre","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Online diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Negative","Low-dose alcohol increased intrusion than placebo.",NA,NA,"Yes","Negative",3.43,0.84,3.37,1.16,0.42,1.69,"2.27",NA,NA,NA,"Not Reported","Not Reported","Intrusions of imagery and thought",NA,NA,NA,"Film","No","Bisby et al., 2010","Bisby et al., 2010","Bisby et al., 2010","Low dose alcohol",NA,NA,NA,NA,1,NA,NA,NA,NA,0.83003,0.13576,-0.83003,0.368462766,-1.552215841,-0.107841797,-2.252680312,0.024279313,-1.90551343644792,0,0.00147249699781114,0,-0.0386462354024659,0
22,NA,NA,105,"MMV & SZ",17,1,"Pharmacological","Alcohol",105,2010,"Published","Journal Article","Biological Psychiatry","Acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model","Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie","j.bisby@ucl.ac.uk.","10.1016/j.biopsych.2010.01.010","Web of Science","England","Europe",3,48,"24","0.5","22.80667","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284","High dose alcohol","High dose alcohol","Decrease","Placebo","Experimental task","Placebo","High dose alcohol","Pharmacological",NA,NA,NA,16,16,32,"Pre","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Online diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of diary intrusions.",NA,NA,"Yes","Negative",1.88,0.41,1.64,1.16,0.42,1.69,"0.72",NA,NA,NA,"Not Reported","Not Reported","Intrusions of imagery and thought",NA,NA,NA,"Film","No","Bisby et al., 2010","Bisby et al., 2010","Bisby et al., 2010","High dose alcohol",NA,NA,NA,NA,1,NA,NA,NA,NA,0.42147,0.12778,-0.42147,0.35745706,-1.122083737,0.279147939,-1.179072807,0.238369186,-1.11446537831097,0,0.00000639478025087849,0,-0.00252911896637008,0
22,NA,NA,106,"MMV & SZ",17,1,"Pharmacological","Alcohol",106,2010,"Published","Journal Article","Biological Psychiatry","Acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model","Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie","j.bisby@ucl.ac.uk.","10.1016/j.biopsych.2010.01.010","Web of Science","England","Europe",3,48,"24","0.5","22.80667","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284","Low dose alcohol","Low dose alcohol","Increase","High dose alcohol","Experimental task","High dose alcohol","Low vs. High alcohol","Pharmacological",NA,NA,NA,16,16,32,"Pre","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Online diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Negative","Low-dose alcohol increased intrusion than high-dose alcohol.",NA,NA,"Yes","Null",3.43,0.84,3.37,1.88,0.41,1.64,"1.55",NA,NA,NA,"Not Reported","Not Reported","Intrusions of imagery and thought",NA,NA,NA,"Film","No","Bisby et al., 2010","Bisby et al., 2010","Bisby et al., 2010","Low vs. High alcohol",NA,NA,NA,NA,1,NA,NA,NA,NA,0.57011,0.13008,-0.57011,0.360663975,-1.277010301,0.13679248,-1.580720422,0.113941977,-1.40600359097803,0,0.000247658495529422,0,-0.0157848426921808,0
38,1,1,166,"MMV & SZ",31,1,"Pharmacological","Nitrous Oxide",166,2016,"Published","Journal Article","Psychological Medicine","Nitrous oxide speeds the reduction of distressing intrusive memories in an experimental model of psychological trauma","Das, R. K.; Tamman, A.; Nikolova, V.; Freeman, T. P.; Bisby, J. A.; Lazzarino, A. I.; Kamboj, S. K.","ravi.das@ucl.ac.uk ","10.1017/S003329171600026X","Web of Science","England","Europe",2,50,"27","0.54","24.4","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Page 1752","Nitrous oxide","Nitrous oxide","Decrease","Placebo (Medical air)","Experimental task","Placebo","Nitrous oxide","Pharmacological",NA,NA,NA,25,25,50,"Immediate post","Trauma film","Trauma film","2","19 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Retrospective","Not provided","Null","Both conditions did not significantly in terms of diary intrusions.","HR",NA,"Yes","Null",1.155,NA,1.068,1.068,NA,0.858,"0.087","t(48)=0.458",NA,"0.649","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Das et al., 2016","Das et al., 2016","Das et al., 2016","Nitrous oxide",NA,NA,NA,NA,1,NA,NA,0.458,NA,0.0884,0.08008,-0.0884,0.282980817,-0.643040933,0.466243871,-0.312383475,0.754749107,-0.506464497350201,0,0.00189559785731348,0,-0.0434026149554711,0
43,1,1,181,"MMV",36,1,"Pharmacological","Yohimbine",181,2016,"Published","Journal Article","Psychological Medicine","Influence of the noradrenergic system on the formation of intrusive memories in women: an experimental approach with a trauma film paradigm","Rombold, F.; Wingenfeld, K.; Renneberg, B.; Hellmann-Regen, J.; Otte, C.; Roepke, S.","felicitas.rombold@charite.de","10.1017/S0033291716001379","Web of Science","Germany","Europe",3,114,"114","1","23.27","Between-subject",1,1,1,1,1,1,0,1,1,1,0,9,"Figure 5, page 9","Yohimbine (noradregenic stimulator)","Yohimbine","Increase","Placebo","Experimental task","Placebo","Yohimbine","Pharmacological",NA,NA,NA,38,38,76,"Pre","Trauma film","Trauma film","1","14.67 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","4 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of diary intrusions.","Blood pressure, salivary corisol and alpha amylase","trait anxiety","No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Rombold et al., 2016a","Rombold et al., 2016","Rombold et al., 2016a","Yohimbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,184,"MMV",36,1,"Pharmacological","Clonidine",184,2016,"Published","Journal Article","Psychological Medicine","Influence of the noradrenergic system on the formation of intrusive memories in women: an experimental approach with a trauma film paradigm","Rombold, F.; Wingenfeld, K.; Renneberg, B.; Hellmann-Regen, J.; Otte, C.; Roepke, S.","felicitas.rombold@charite.de","10.1017/S0033291716001379","Web of Science","Germany","Europe",3,114,"114","1","23.27","Between-subject",1,1,1,1,1,1,0,1,1,1,0,9,"Figure 5, page 9","Clonidine (noradregenic inhibitor)","Clonidine","Decrease","Placebo","Experimental task","Placebo","Clonidine","Pharmacological",NA,NA,NA,38,38,76,"Pre","Trauma film","Trauma film","1","14.67 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","4 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of diary intrusions.","Blood pressure, salivary corisol and alpha amylase","trait anxiety","No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Rombold et al., 2016a","Rombold et al., 2016","Rombold et al., 2016a","Clonidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,1,187,"MMV",37,1,"Pharmacological","Hydrocortisone",187,2016,"Published","Journal Article","Journal Of Psychiatric Research","Impact of exogenous cortisol on the formation of intrusive memories in healthy women","Rombold, Felicitas; Wingenfeld, Katja; Renneberg, Babette; Schwarzkopf, Friederike; Hellmann-Regen, Julian; Otte, Christian; Roepke, Stefan","felicitas.rombold@charite.de","10.1016/j.jpsychires.2016.08.005","Web of Science","Germany","Europe",2,60,"60","1","22.85","Between-subject",1,1,1,1,1,1,0,0,1,1,0,8,"Figure 3a, page 76","Hydrocortisone (exogenous cortisol)","Hydrocortisone","Increase","Placebo","Experimental task","Placebo","Hydrocortisone","Pharmacological",NA,NA,NA,30,30,60,"Pre","Trauma film","Trauma film","1","14.67 minutes","Intrusion Frequency","Intrusion frequency","Involuntary intrusions diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of diary intrusions.","Blood pressure, salivary corisol and alpha amylase","trait anxiety","No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,"Not reported","0.99","<0.01","eta squared",NA,"p value come from F test",NA,NA,"Film","Yes","Rombold et al., 2016b","Rombold et al., 2016","Rombold et al., 2016b","Hydrocortisone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,1,229,"MMV & SZ",45,1,"Pharmacological","Hydrocortisone",229,2017,"Published","Journal Article","European Neuropsychopharmacology","Repeated cortisol administration does not reduce intrusive memories - a double blind placebo controlled experimental study","Graebener, Alexandra Heike; Michael, Tanja; Holz, Elena; Lass-Hennemann, Johanna","t.michael@mx.uni-saarland.de","10.1016/j.euroneuro.2017.09.001","Web of Science","Germany","Europe",2,65,"65","1","21.95","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Figure 4, page 8","Hydrocortisone (exogenous cortisol)","Hydrocortisone","Decrease","Placebo","Experimental task","Placebo","Hydrocortisone","Pharmacological",NA,NA,NA,32,33,65,"Delayed post","Trauma film","Trauma film","3","11 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","2nd day post trauma film","3 days","Real Time","Image/thought/sound/emotion combined","Null","Both conditions did not significantly in terms of intrusion frequency","ECG, EDA, Cortisol","STAI-S","Yes","Null",3.31,0.595,3.385,2.38,0.58,3.355,"0.93",NA,NA,"0.829","Not provided","Not provided","Is the manipulation delayed or immediate post","Statistics extracted from Figure 4, error bar assumed to be se; Final result averaged from Mo and Shengzi's calculation
",NA,NA,"Film","Yes","Graebener et al., 2017","Graebener et al., 2017","Graebener et al., 2017","Hydrocortisone",NA,NA,NA,"24 hours, 2 days, 3 days",1,"F(1,59) = .047 (interaction effect, time and group)",NA,NA,NA,0.27268,0.06212,-0.27268,0.249248849,-0.761208123,0.215847365,-1.09400858,0.273951215,-0.958390984931531,0,0.00697455152286003,0,-0.0834641709202738,0
56,1,1,258,"SZ",48,1,"Pharmacological","Nicotine",258,2013,"Published","Journal Article","Experimental And Clinical Psychopharmacology","The effects of nicotine on intrusive memories in nonsmokers","Hawkins, Kirsten A.; Cougle, Jesse R.","cougle@psy.fsu.edu","10.1037/a0033966","Web of Science","USA","North america",2,54,"26","0.481481481","18.72","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 439, Table 3","Nicotine","Nicotine","Increase","Placebo (lozenge)","Experimental task","Placebo","Nicotine","Pharmacological",NA,NA,NA,27,27,54,"Pre","Trauma film","Trauma film","20","10min","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not provided","Null","No group difference on diary intrusion between nicotine and placebo group",NA,NA,"Yes","Null",6.26,NA,6,4.67,NA,3.55,"1.59",NA,NA,"0.42","Not provided","Not provided",NA,NA,NA,NA,"Film","No","Hawkins & Cougle, 2013","Hawkins & Cougle, 2013","Hawkins & Cougle, 2013","Nicotine",NA,NA,NA,NA,1,"F(1, 53) = .670",NA,NA,NA,0.31786,0.07501,-0.31786,0.273878787,-0.854663591,0.218941254,-1.160590683,0.245808396,-1.02859788991092,0,0.00745654147507002,0,-0.086350567296136,0
72,1,1,303,"MMV & SZ",63,1,"Pharmacological","Alcohol",303,2018,"Unpublished","Dissertation",NA,"Effects of peritraumatic alcohol intoxication on intrusive memories following exposure to an analog trauma","Jaffe, Anna E.","anna.e.jaffe@gmail.com",NA,"PsycInfo & ProQuest","USA","North america",3,98,"98","1","23.03","Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"Page 52","High dose alcohol","High dose alcohol","Decrease","Placebo","Experimental task","Placebo","High dose alcohol","Pharmacological",NA,NA,NA,32,34,66,"Pre","Trauma film","Trauma film","1","10.5 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","8 days","Real Time","Image/thought combined","Negative","High dose alcohol had more intrusions than placebo","HR",NA,"No",NA,7.42,0.89,5.034600282,5.28,0.56,3.265333061,"2.14","t(94)=-2.04",NA,"0.044","Not provided","Not provided","Adjusted mean controlling for number of diaries completed reported",NA,NA,NA,"Film","Yes","Jaffe, 2018","Jaffe, 2018","Jaffe, 2018","High dose alcohol",NA,NA,NA,NA,1,NA,NA,2.04,NA,0.5016,0.06257,-0.5016,0.250135725,-0.991870796,-0.011338754,-2.005330406,0.044927736,-1.48833054616228,0,0.00374529711611929,0,-0.0614661554844722,0
