"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
2,1,1,7,"MMV & SZ",2,1,"Behavioural",NA,7,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",3,51,"48","0.941176471","20.2","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 8","Visuospatial tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",17,17,34,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",2.23,NA,2.92,4.94,NA,4.29,"-2.71","t(48)=2.18",NA,"0.04","0.63","Cohen's d","Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info?",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 1","Homes et al., 2004","Homes et al., 2004, Exp. 1","Finger tapping",NA,NA,NA,NA,-1,NA,NA,-2.18,-0.63,-0.72105,0.12529,0.72105,0.353967325,0.027275352,1.414827267,2.037056128,0.041644418,1.16063510888096,0,0.0047261910544397,0,0.0686278246983788,0
3,NA,1,11,"MMV & SZ",2,2,"Behavioural",NA,11,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Single tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Not Reported","Not Reported","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",5.5,NA,5.11,6.65,NA,8.36,"-1.15",NA,NA,NA,"Not Reported","Not Reported","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (single tapping)","Single tapping",NA,NA,NA,-1,NA,NA,NA,NA,-0.16269,0.10033,0.16269,0.316750425,-0.458145509,0.783516155,0.513607278,0.60752659,0.0442434129480522,0,0.000328171379148466,0,-0.0180789035172957,0
3,NA,NA,12,"MMV & SZ",2,2,"Behavioural",NA,12,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Minimally practiced tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Overpracticed visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",3.7,NA,3.28,6.65,NA,8.36,"-2.95","t(76)=1.71",NA,"0.092","0.4","Cohen's d","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (minimally practiced tapping)","Minimally practiced tapping",NA,NA,NA,-1,NA,NA,-1.71,-0.4,-0.45532,0.10259,0.45532,0.320298979,-0.172467587,1.083104409,1.421541876,0.155159289,0.657690669468435,0,0.000271760342366998,0,0.0164913155014117,0
3,NA,NA,13,"MMV & SZ",2,2,"Behavioural",NA,13,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Overpracticed tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",3.25,NA,3.55,6.65,NA,8.36,"-3.4","t(76)=1.97",NA,"0.06","0.35","Cohen's d","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (overpracticed tapping)","Overpracticed tapping",NA,NA,NA,-1,NA,NA,-1.97,-0.35,-0.51887,0.10337,0.51887,0.321504884,-0.111274589,1.149024558,1.613894563,0.106550298,0.789819411792175,0,0.00053405644579123,0,0.0231260984104997,0
5,1,1,21,"SZ",3,1,"Behavioural",NA,21,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reduced intrusion development after post-trauma imagery rescripting; An experimental study","Hagenaars, M. A., & Arntz, A.","mhagenaars@fsw.leidenuniv.nl ","10.1016/j.jbtep.2011.09.005","Others","Netherlands","Europe",3,76,"47","0.618421053","21.4","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1","Imagery rescripting","Imagery rescripting","Decrease","Imagery reexperiencing","Experimental task","Imagery re-experience","Imagery rescripting vs. Imagery re-experience","Behavioural","Imagery","Direct","Task",24,25,49,"Immediate post","Trauma film","Trauma film","4","10min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","IRS condition experienced fewer intrusive memories of the film than those in the PI and IRE",NA,"Structured Clinical Interview for
DSM-IV (SCID-I; Posttraumatic Cognitions Inventory","Yes","Null",1.96,NA,2.14,6.2,NA,5.84,"-4.24",NA,NA,"0.004","0.87","Cohen's d",NA,NA,NA,NA,"Film","No","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Imagery rescripting vs. Imagery re-experience",NA,NA,NA,NA,-1,NA,NA,NA,-0.87,-0.94098,0.0907,0.94098,0.301167398,0.350691824,1.531268024,3.124441526,0.001781429,1.72777604059758,0,0.00323486894039478,0,0.0570145603103266,0
5,NA,NA,22,"SZ",3,1,"Behavioural",NA,22,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reduced intrusion development after post-trauma imagery rescripting; An experimental study","Hagenaars, M. A., & Arntz, A.","mhagenaars@fsw.leidenuniv.nl ","10.1016/j.jbtep.2011.09.005","Others","Netherlands","Europe",3,76,"47","0.618421053","21.4","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1","Imagery rescripting","Imagery rescripting","Decrease","Positive imagery","Experimental task","Positive imagery","Imagery rescripting vs. Positive imagery","Behavioural","Imagery","Direct vs. Indirect","Task",24,27,51,"Immediate post","Trauma film","Trauma film","4","10min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","IRS condition experienced fewer intrusive memories of the film than those in the PI and IRE",NA,"Structured Clinical Interview for
DSM-IV (SCID-I; Posttraumatic Cognitions Inventory","Yes","Positive",1.96,NA,2.14,4.74,NA,5.54,"-2.78",NA,NA,"0.047","0.57","Cohen's d",NA,NA,NA,NA,"Film","No","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Imagery rescripting vs. Positive imagery",NA,NA,NA,NA,-1,NA,NA,NA,-0.57,-0.63751,0.08269,0.63751,0.287555491,0.073897774,1.201115298,2.216986133,0.026624039,1.0893930649313,0,0.0011470526905572,0,0.0339241932917639,0
5,NA,NA,23,"SZ",3,1,"Behavioural",NA,23,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reduced intrusion development after post-trauma imagery rescripting; An experimental study","Hagenaars, M. A., & Arntz, A.","mhagenaars@fsw.leidenuniv.nl ","10.1016/j.jbtep.2011.09.005","Others","Netherlands","Europe",3,76,"47","0.618421053","21.4","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1","Imagery reexperiencing","Imagery re-experience","Unspecified","Positive imagery","Experimental task","Positive imagery","Imagery re-experience vs. Positive imagery","Behavioural","Imagery","Direct vs. Indirect","Task",25,27,52,"Immediate post","Trauma film","Trauma film","4","10min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","No group difference",NA,"Structured Clinical Interview for
DSM-IV (SCID-I; Posttraumatic Cognitions Inventory","Yes","Positive",6.2,NA,5.84,4.74,NA,5.54,"1.46",NA,NA,"0.29","0.3","Cohen's d",NA,NA,NA,NA,"Film","No","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Imagery re-experience vs. Positive imagery",NA,NA,NA,NA,1,NA,NA,NA,0.3,0.2529,0.07765,-0.2529,0.278661105,-0.799073687,0.293277846,-0.907546533,0.364117854,-0.876686405779571,0,0.00927193581242187,0,-0.0952505871673986,0
6,NA,NA,26,"SZ",4,1,"Behavioural",NA,26,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,60,"30","0.5","27","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 4, Figure 2","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","15","21min","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","participants in the visuospatial condition experienced significantly fewer flashbacks over the week than both the no-task ",NA,NA,"Yes","Null",2.96,0.32,1.41,5.22,0.87,3.88,"-2.26",NA,NA,"<0.03","0.7","Cohen's d","Stats extracted from figure 2",NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 1","Holmes et al., 2010","Holmes et al., 2010, Exp. 1","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,-0.7,-0.75881,0.1072,0.75881,0.327410088,0.117084023,1.400531569,2.317606644,0.020470709,1.28073433828347,0,0.00877277630489089,0,0.0926951889685478,0
7,NA,NA,30,"SZ",4,2,"Behavioural",NA,30,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,75,"42","0.56","22.9","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 8, Figure 4","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Immediate post","Trauma film","Trauma film","11","12min","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","those in the Tetris condition experienced significantly fewer flashbacks over the week than the no-task control condition",NA,NA,"Yes","Null",3.56,0.54,2.77,6.71,1.22,6.22,"-3.15",NA,NA,NA,"0.62","Cohen's d","Stats extracted from figure 4",NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 2","Holmes et al., 2010","Holmes et al., 2010, Exp. 2","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,-0.62,-0.64438,0.08092,0.64438,0.284456829,0.086849214,1.201919984,2.265315976,0.023493296,1.11128523479809,0,0.00491885226705339,0,0.0699798343095792,0
10,1,1,37,"MMV & SZ",7,1,"Behavioural",NA,37,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",2,52,"31","0.596153846","24.47","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Page 1206; figure 1, page 1207","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Delayed post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","2nd day post trauma film","7 days","Real Time","Image","Positive","Reactivation + tetris condition had lower diary intrusions than no-task.",NA,NA,"Yes","Null",2.695,0.43,2.21,5.545,0.51,2.605,"-2.85","t(50)=4.11",NA,"< .001","1.14","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Stats extracted from figure 1",NA,NA,"Film","No","James et al., 2015, Exp. 1","James et al., 2015","James et al., 2015, Exp. 1","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-4.11,-1.14,-1.16204,0.08991,1.16204,0.299844947,0.574339702,1.749731894,3.875455663,0.000106425,2.23621484544791,1,0.0340902682994378,0,0.187524644620819,0
