"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
1,1,1,1,"SZ",1,1,"Behavioural",NA,1,2009,"Published","Journal Article","Behaviour Research And Therapy","The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance","Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.","barney.dunn@mrc-cbu.cam.ac.uk","10.1016/J.BRAT.2009.05.007","Others","England","Europe",3,89,"49","0.550561798","35.36","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4","Emotional suppression","Emotional suppression","Decrease","No-regulation","No-task","No-Task","Emotional suppression","Behavioural","Emotion","Direct","Instruction",26,29,55,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","No group difference","SCR, HR","Depression, Trait anxiety","Yes","Negative",4.5,NA,4.81,8.17,NA,10.9,"-3.67",NA,NA,"0.12","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Dunn et al., 2009","Dunn et al., 2009","Dunn et al., 2009","Emotional suppression",NA,NA,NA,NA,-1,"F(1, 82) = 2.15",NA,NA,NA,-0.42147,0.07456,0.42147,0.273055241,-0.113720081,0.956656464,1.5435272,0.122702913,0.308532584568027,0,0.000665470337102903,0,0.025664274724428,0
9,1,1,34,"MMV & SZ",6,1,"Behavioural",NA,34,2012,"Published","Journal Article","Emotion","Ameliorating intrusive memories of distressing experiences using computerized reappraisal training","Woud, M. L., Holmes, E., A., Postma, P., Dalgleish, T., & Mackintosh, B.","emily.holmes@psych.ox.ac.uk","10.1037/a0024992","Others","England","Europe",2,74,"37","0.5","22.47","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Table 1, page 14","Positive Cognitive Bias Modification-Appraisal (CBM-app)","Positive cbm training","Decrease","Negative Cognitive Bias Modification-Appraisal (CBM-app)","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",37,37,74,"Immediate post","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Positive CBM-App condition had lower diary intrusions than Negative CBM-App condition",NA,"Posttraumatic Cognitions Inventory (PTCI)","No",NA,4.32,NA,3.6,6.43,NA,5.1,"-2.11","t(72)=2.06",NA,"< .05","0.49","Cohen's d",NA,NA,NA,NA,"Film","No","Woud et al., 2012","Woud et al., 2012","Woud et al., 2012","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,NA,-2.06,-0.49,-0.47301,0.05557,0.47301,0.235723928,0.010986415,0.935024215,2.006607128,0.044791512,0.454597574821537,0,0.00191555468192818,0,0.0435535734777892,0
32,1,1,131,"MMV & SZ",25,1,"Behavioural",NA,131,2013,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reducing analogue trauma symptoms by computerized reappraisal training - considering a cognitive prophylaxis?","Woud, Marcella L.; Postma, Peggy; Holmes, Emily A.; Mackintosh, Bundy","M.Woud@psych.ru.nl","10.1016/j.jbtep.2013.01.003","Web of Science","Netherlands","Europe",2,47,"31","0.659574468","29.06","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Page 314","Positive Cognitive Bias Modification-Appraisal (CBM-app)","Positive cbm training","Decrease","Negative Cognitive Bias Modification-Appraisal (CBM-app)","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",22,25,47,"Pre","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of intrusions.",NA,NA,"No",NA,7.14,NA,8.08,6.56,NA,6.95,"0.58","t(45)=.26",NA,"0.79","Not Reported","Not Reported","image or thought or both recorded",NA,NA,NA,"Film","No","Woud et al., 2013","Woud et al., 2013","Woud et al., 2013","Positive vs. Negative cbm training",NA,NA,NA,NA,1,NA,NA,0.26,NA,0.07605,0.08552,-0.07605,0.292431315,-0.649216067,0.49711469,-0.260063422,0.794814852,-0.839345004891163,0,0.00742396225525897,0,-0.0859638089077046,0
58,1,1,265,"MMV & SZ",50,1,"Behavioural",NA,265,2017,"Unpublished","Dissertation",NA,"Compassion-facilitation after trauma","Shepstone, Laura Louise","A.Karl@exeter.ac.uk ",NA,"PsycInfo & ProQuest","England","Europe",2,72,"59","0.819444444","20.44","Between-subject",1,1,1,1,1,1,0,0,1,0,1,8,"page 89","Compassion-facilitating meditation (CFM)","Compassion induction","Decrease","Neutral emotional meditation (NEM) ","Experimental task","Control (neutral emotional meditation)","Compassion induction","Behavioural","Emotion","Indirect","Task",35,35,70,"Immediate post","Trauma film","Trauma film","Not Reported","5.3 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Retrospective","Image/thought/sound combined","Null","Both conditions did not significantly in terms of intrusion frequency","HR, HRV, SCL",NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,"0.99","< .01","Pearson r","Did not report mean but instead reported median","Mann-Whitney U",1,-1,"Film","Yes","Shepstone, 2017","Shepstone, 2017","Shepstone, 2017","Compassion induction",NA,NA,NA,NA,1,NA,"U = 647.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,275,"MMV",53,1,"Behavioural",NA,275,2017,"Published","Journal Article","Psychological Trauma: Theory, Research, Practice, And Policy","Using the trauma film paradigm to explore interpersonal processes after trauma exposure","Woodward, Matthew J.; Beck, J. Gayle","mjwdward@memphis.edu","10.1037/tra0000169","Web of Science","USA","North america",2,67,"67","1","19","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 449","Presence of romantic partner","Social support","Decrease","Absence of romantic partner","No-task","No-Task","Social support","Behavioural","Emotion","Indirect","Task",32,35,67,"Peri + immediate post","Trauma film","Trauma film","1","11 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","3 days","Real Time","Thought","Negative","Partner present condition had more intrusions than partner absent condition",NA,"state anxiety","No",NA,3.89,NA,3.88,2.26,NA,2.28,"1.63",NA,NA,"0.04","-0.3","Beta","Is manipulation peri or immediate post/check with dr. hu",NA,NA,NA,"Film","No","Woodward & Beck, 2017","Woodward & Beck, 2017","Woodward & Beck, 2017","Social support",NA,NA,NA,NA,1,"F(1,63.7) = 4.363 (group main effect)",NA,NA,NA,0.51207,0.06178,-0.51207,0.248552342,-0.999233223,-0.024908042,-2.06021246,0.039378234,-1.99905643973563,1,0.0354802521141199,0,-0.191601918637482,0
87,NA,NA,352,"SZ",75,1,"Behavioural",NA,352,2021,"Published","Journal Article","Behaviour Research And Therapy","The effect of attachment security priming and oxytocin on physiological responses to trauma films and subsequent intrusions","Karl, Anke; Carnelley, Katherine B.; Arikan, Gizem; Baldwin, David S.; Heinrichs, Markus; Stopa, Lusia","a.karl@exeter.ac.uk","10.1016/j.brat.2021.103845","PsycInfo & ProQuest","England","Europe",4,99,"70","0.707070707","21.21","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Not provided","Placebo + Secure priming (think and write about an attachment figure)","Placebo + attachment priming","Decrease","Placebo + Neutral priming (Irrelevant writing task)","Experimental task","Placebo + Control (Irrelevant writing task)","Attachment priming","Behavioural","Emotion","Indirect","Task",25,25,50,"Pre","Trauma film","Trauma film","3","4min","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","No group difference on diary intruision  between PL secure priming and Pl neutral group","Heart rate response; Skin conductance level",NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not provided","Not provided","Contact author; in their Table 1, they provided median and Interquartile ranges",NA,NA,NA,"Film","Yes","Karl et al., 2021","Karl et al., 2021","Karl et al., 2021","Attachment priming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,1,405,"SZ",89,1,"Behavioural",NA,405,2009,"Published","Journal Article","Behaviour Research And Therapy","Reducing depressive intrusions via a computerized cognitive bias modification of appraisals task: developing a cognitive vaccine","Lang, Tamara J.; Moulds, Michelle L.; Holmes, Emily A.","tamara.lang@psych.ox.ac.uk","10.1016/j.brat.2008.11.002","Web of Science","England","Europe",2,48,"24","0.5","29.52","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"page 143","Positive CBM training","Positive cbm training","Decrease","Negative CBM training","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",24,24,48,"Pre","Depressing film","Trauma film","5","13 min35s","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Participants in the negative condition reported significantly more intrusions compared to the positive condition",NA,NA,"No",NA,3.08,NA,1.91,5.75,NA,4.19,"-2.67","t(46)=2.83",NA,"0.008","0.82","Cohen's d",NA,NA,NA,NA,"Film","No","Lang et al., 2009","Lang et al., 2009","Lang et al., 2009","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,NA,-2.83,-0.82,-0.80655,0.09011,0.80655,0.300182572,0.218189949,1.394905631,2.686857486,0.007212772,1.166926706701,0,0.00117540414716648,0,0.0344039657699722,0
103,NA,NA,411,"SZ",89,1,"Behavioural",NA,411,2009,"Published","Journal Article","Behaviour Research And Therapy","Reducing depressive intrusions via a computerized cognitive bias modification of appraisals task: developing a cognitive vaccine","Lang, Tamara J.; Moulds, Michelle L.; Holmes, Emily A.","tamara.lang@psych.ox.ac.uk","10.1016/j.brat.2008.11.002","Web of Science","England","Europe",2,48,"24","0.5","29.52","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"page 143","Positive CBM training","Positive cbm training","Decrease","Negative CBM training","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",24,24,48,"Pre","Depressing film","Trauma film","5","13 min35s","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Thought","Positive","Participants in the negative condition reported significantly more thought intrusions compared to the positive condition",NA,NA,"No",NA,0.42,NA,0.58,2.54,NA,3.37,"-2.12","t(46)=3.04",NA,"0.006","0.88","Cohen's d",NA,NA,NA,NA,"Film","No","Lang et al., 2009","Lang et al., 2009","Lang et al., 2009","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,NA,-3.04,-0.88,-0.86238,0.09108,0.86238,0.301794872,0.270858932,1.45389483,2.857493488,0.004270014,1.29274766487512,0,0.00231635378705159,0,0.0483815954238687,0
118,1,1,492,"SZ",101,1,"Behavioural",NA,492,2007,"Unpublished","Dissertation",NA,"The effects of training an interpretation bias on later intrusive recollection in an analogue study of post traumatic stress disorder","Postma, Peggy","Not provided",NA,"PsycInfo & ProQuest","England","Europe",2,52,"35","0.673076923","29.3","Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"page 92, Table 6","Positive CBM training","Positive cbm training","Decrease","Negative CBM training","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",25,27,52,"Pre","Trauma film","Trauma film","11","~17.51min","Intrusion Frequency","Intrusion frequency","Seven Day Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not provided","Null","No group difference on diary intruision  between positive CBM and negative CBM group",NA,NA,"No",NA,8.2,NA,10.24,8.81,NA,11.76,"-0.61","t(50)=0.01",NA,"0.99","Not provided","Not provided",NA,NA,NA,NA,"Film","No","Postma, 2007","Postma, 2007","Postma, 2007","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,NA,-0.01,NA,-0.05434,0.07707,0.05434,0.277606607,-0.489770256,0.598447644,0.195739917,0.844813739,-0.552182332658932,0,0.00378558626047352,0,-0.0612501087698763,0
133,NA,NA,573,"SZ",115,1,"Behavioural",NA,573,1997,"Unpublished","Dissertation",NA,"The role of dissociation in the development and maintenance of post-traumatic stress disorder (bl)","Murray, J.","Not provided",NA,"PsycInfo & ProQuest","England","Europe",3,56,"29","0.517857143","20.1","Between-subject",1,1,0,0,1,1,0,0,1,0,1,6,"page 85, Table 5","Exposure group","Emotional acceptance","Decrease","Neutral group (attend to the film)","No-task","No-Task","Emotional acceptance","Behavioural","Emotion","Direct","Instruction",19,19,38,"Peri","Trauma film","Trauma film","6","10min","Intrusion Frequency","Intrusion frequency","Seven-day diary ","Intrusion diary","Same day post trauma film","7 days","Real Time","Not provided","Null","There were no significant differences between the three groups in terms of number of intrusions ",NA,NA,"No",NA,8.12,NA,6.61,10.05,NA,8.66,"-1.93",NA,NA,"0.93","Not provided","Not provided","df is incosistent with sample sizes",NA,NA,NA,"Film","No","Murray, 1997","Murray, 1997","Murray, 1997","Emotional acceptance",NA,NA,NA,NA,-1,"F(2,49) = 0.07",NA,NA,NA,-0.24527,0.10605,0.24527,0.325660444,-0.39302102,0.88356792,0.753157022,0.451355562,-0.0980669761521282,0,0.000230279193693762,0,-0.0150976743032778,0
