"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
9,NA,NA,35,"MMV & SZ",6,1,"Behavioural",NA,35,2012,"Published","Journal Article","Emotion","Ameliorating intrusive memories of distressing experiences using computerized reappraisal training","Woud, M. L., Holmes, E., A., Postma, P., Dalgleish, T., & Mackintosh, B.","emily.holmes@psych.ox.ac.uk","10.1037/a0024992","Others","England","Europe",2,74,37,0.5,"22.47","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Table 1, page 14","Positive Cognitive Bias Modification-Appraisal (CBM-app)","Positive cbm training","Decrease","Negative Cognitive Bias Modification-Appraisal (CBM-app)","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",37,37,74,"Immediate post","Trauma film","Trauma film","Not Reported","20min","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Positive CBM-App condition had lower IES-R scores than Negative CBM-App condition",NA,"Posttraumatic Cognitions Inventory (PTCI)","No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported","Provided combined score for IES-R so how to categorize it as a DV?",NA,NA,NA,"Film","No","Woud et al., 2012","Woud et al., 2012","Woud et al., 2012","Positive vs. Negative cbm training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,133,"MMV & SZ",26,1,"Behavioural",NA,133,2013,"Published","Journal Article","Plos One","The roles of noradrenergic and glucocorticoid activation in the development of intrusive memories","Bryant, Richard A.; McGrath, Chloe; Felmingham, Kim L.","r.bryant@unsw.edu.au","10.1371/journal.pone.0062675","Web of Science","Australia","Australia",2,78,41,0.525641026,"19.78","Between-subject",1,0,1,1,1,1,0,NA,1,1,1,8,"Table 2, page 4","High stress (cold water) condition","Cold water stress induction","Increase","Low stress (warm water) condition","Experimental task","Control (Warm water)","Cold vs. Warm water stress","Behavioural","Emotion","Indirect","Task",39,39,NA,"Immediate post","Negative + Neutral pictures","Viewing pictures","20 negative + 20 neutral","~3.3min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","2nd day post trauma film",NA,"Retrospective",NA,"Negative","High stress had more intrusion score than low stress for negative images.","saliva sample","DASS-21","Yes","Positive (ONLY FOR WOMEN)",2.53,NA,2.4,2.16,NA,2.5,"0.37",NA,NA,"< .005","Not Reported","Not Reported","Intrusion content info Not Reported",NA,NA,NA,"Picture","Yes","Bryant et al., 2013","Bryant et al., 2013","Bryant et al., 2013","Cold vs. Warm water stress",NA,NA,NA,NA,1,NA,NA,NA,NA,0.14949,0.05143,-0.14949,0.226771491,-0.593965326,0.294978919,-0.659223974,0.509751954,-0.623571927717344,0,0.00567243071058378,0,-0.0749518221719343,0
45,1,1,191,"SZ",38,1,"Behavioural",NA,191,2015,"Published","Journal Article","Neurobiology Of Learning And Memory","The role of stress during memory reactivation on intrusive memories","Cheung, Jessica; Garber, Benjamin; Bryant, Richard A.","r.bryant@unsw.edu.au","10.1016/j.nlm.2015.04.004","Web of Science","Australia","Australia",3,63,34,0.53968254,"19.89","Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"page 31, Table 1","Socially evaluated cold pressor test (SECPT) + reactivation","Cold water stress induction + trauma reminder","Increase","Warm water condition + Reactivation","Experimental task","Control (Warm water) + Trauma reminder","Cold vs. Warm water stress + trauma reminder","Behavioural","Emotion","Indirect","Task",21,21,42,"Delayed post","Trauma film","Trauma film","1","10min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","5th day post trauma film",NA,"Retrospective",NA,"Negative","Stress/Reactivation condition had significantly more intrusive memories than the Reactivation","Saliva (sAA, cortisol)",NA,"Yes","Null",7,NA,2.9,4.86,NA,2.56,"2.14","t(1,40)=2.54",NA,"<.01","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Cheung et al., 2015","Cheung et al., 2015","Cheung et al., 2015","Cold vs. Warm water stress + trauma reminder",NA,NA,NA,"2 days ",1,NA,NA,2.54,NA,0.76759,0.10225,-0.76759,0.319769163,-1.39433772,-0.140842603,-2.400450861,0.016374889,-2.00556229750168,1,0.0163105177055363,0,-0.131213840812134,0
50,1,1,226,"MMV",43,1,"Behavioural",NA,226,2016,"Published","Journal Article","Plos One","Activating attachments reduces memories of traumatic images","Bryant, Richard A.; Foord, Rachael","r.bryant@.unsw.edu.au","10.1371/journal.pone.0162550","Web of Science","Australia","Australia",2,63,23,0.343283582,"19.78","Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Supplementary data","View attachment-related images","Attachment priming","Decrease","View non-attachment images","Experimental task","Control (positive mood induction)","Attachment priming","Behavioural","Emotion","Indirect","Task",30,30,60,"Peri","Negative + Neutral Pictures","Picture Viewing","40","200 seconds","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","2nd day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale.",NA,NA,"Yes","Null",0.8,0.28,1.52,1.47,0.38,2.1,"-0.67",NA,NA,NA,"Not provided","Not provided","Is the manipulation peri or pre?","Stats calculated from raw datset",NA,NA,"Picture","No","Bryant & Foord, 2016","Bryant & Foord, 2016","Bryant & Foord, 2016","Attachment priming",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.36075,0.06775,0.36075,0.260290596,-0.149415725,0.870923412,1.385965721,0.165757371,0.750936473069039,0,0.00785827194376754,0,0.0883656751493899,0
61,NA,NA,276,"MMV",53,1,"Behavioural",NA,276,2017,"Published","Journal Article","Psychological Trauma: Theory, Research, Practice, And Policy","Using the trauma film paradigm to explore interpersonal processes after trauma exposure","Woodward, Matthew J.; Beck, J. Gayle","mjwdward@memphis.edu","10.1037/tra0000169","Web of Science","USA","North america",2,67,67,1,"19","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 449","Presence of romantic partner","Social support","Decrease","Absence of romantic partner","No-task","No-Task","Social support","Behavioural","Emotion","Indirect","Task",32,35,67,"Peri + immediate post","Trauma film","Trauma film","1","11 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","3rd day post trauma film",NA,"Retrospective",NA,"Negative","Partner present condition had higher IES-R intrusion subscale score than partner absent condition",NA,"state anxiety","No",NA,0.9,NA,0.76,0.5,NA,0.48,"0.4",NA,NA,"0.04","Not provided","Not provided","Is manipulation peri or immediate post/check with dr. hu",NA,NA,NA,"Film","No","Woodward & Beck, 2017","Woodward & Beck, 2017","Woodward & Beck, 2017","Social support",NA,NA,NA,NA,1,"F(1,56) = 4.55 (group main effect)",NA,NA,NA,0.62828,0.06277,-0.62828,0.250533942,-1.119330617,-0.137237563,-2.507780322,0.012149217,-1.92145371897489,0,0.0532695978753045,0,-0.23528575281544,0
62,1,1,277,"MMV",54,1,"Behavioural",NA,277,2017,"Published","Journal Article","Consciousness And Cognition","Activating attachment representations during memory retrieval modulates intrusive traumatic memories","Bryant, Richard A.; Chan, Iris","r.bryant@unsw.edu.au","10.1016/j.concog.2017.08.010","Web of Science","Australia","Australia",2,69,56,0.746666667,"19.25","Between-subject",1,1,0,0,1,1,0,NA,1,1,1,7,"Table 4, page 202","Think about an attachment figure","Attachment priming","Unspecified","Think about if they had a million","Experimental task","Control (positive mood induction)","Attachment priming","Behavioural","Emotion","Indirect","Instruction",35,34,69,"Delayed post","Negative + Neutral Pictures","Picture Viewing","40","6 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","4th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R INTRUSION SUBSCALE",NA,NA,"Yes","Null",10.22,NA,7.01,11.66,NA,7.77,"-1.44",NA,NA,NA,"Not provided","Not provided",NA,"Stats estimated from the average of high/low group",NA,NA,"Picture","No","Bryant & Chan, 2017","Bryant & Chan, 2017","Bryant & Chan, 2017","Attachment priming",NA,NA,NA,"2 days",-1,NA,NA,NA,NA,-0.19256,0.05825,0.19256,0.241354273,-0.280494006,0.665614746,0.79783286,0.424967489,0.319174435792986,0,0.00170585305465004,0,0.0410203698079991,0
64,1,1,280,"SZ",56,1,"Behavioural",NA,280,2013,"Published","Journal Article","Neurobiology Of Learning And Memory","The role of estrogen in intrusive memories","Cheung, Jessica; Chervonsky, Liza; Felmingham, Kim L.; Bryant, Richard A.","r.bryant@unsw.edu.au","10.1016/j.nlm.2013.07.005","Web of Science","Australia","Australia",2,55,29,0.527272727,"19.89","Between-subject",1,1,0,0,1,1,0,NA,1,1,1,7,"page 90, Table 1","High stress (cold water) condition","Cold water stress induction","Increase","Low stress (warm water) condition","Experimental task","Control (Warm water)","Cold vs. Warm water stress","Behavioural","Emotion","Indirect","Task",25,30,55,"Peri","Negative + Neutral pictures","Viewing pictures","18 negative + 18 neutral","3min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","3rd day post trauma film",NA,"Retrospective",NA,"Null","No group difference on IES   intruision subscale between high stress (cold water) and low stress (warm water) group","Saliva (sAA, cortisol)",NA,"Yes","Null",2.84,NA,2.7005,2.802666667,NA,2.9863,"0.037333333",NA,NA,NA,"Not provided","Not provided","Pooled SD from female and male",NA,NA,NA,"Picture","Yes","Cheung et al., 2013","Cheung et al., 2013","Cheung et al., 2013","Cold vs. Warm water stress",NA,NA,NA,NA,1,NA,NA,NA,NA,0.01287,0.07333,-0.01287,0.270804059,-0.54364193,0.51790998,-0.047510275,0.962106541,-0.224665810911818,0,0.000537381573751645,0,-0.0230314628734166,0
118,NA,NA,494,"SZ",101,1,"Behavioural",NA,494,2007,"Unpublished","Dissertation",NA,"The effects of training an interpretation bias on later intrusive recollection in an analogue study of post traumatic stress disorder","Postma, Peggy","Not provided",NA,"PsycInfo & ProQuest","England","Europe",2,52,35,0.673076923,"29.3","Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"page 96, Table 8","Positive CBM training","Positive cbm training","Decrease","Negative CBM training","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",25,27,52,"Pre","Trauma film","Trauma film","11","~17.51min","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","No group difference on IES-R intrusion subscale  between positive CBM and negative CBM group",NA,NA,"No",NA,4,NA,3.88,4.93,NA,4.1,"-0.93",NA,"-1.09","0.27","Not provided","Not provided","Mann Whitney U Test",NA,NA,NA,"Film","No","Postma, 2007","Postma, 2007","Postma, 2007","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,"U = -1.09",NA,NA,-0.22923,0.07754,0.22923,0.278464135,-0.316563404,0.775016006,0.823180698,0.410405244,0.391989902040105,0,0.00216707962103099,0,0.0462884404879631,0
138,NA,NA,594,"MMV",120,1,"Behavioural",NA,594,2018,"Published","Journal Article","Plos One","Does napping enhance the effects of cognitive bias modification-appraisal training? an experimental study","Woud, Marcella L.; Cwik, Jan C.; Blackwell, Simon E.; Kleim, Birgit; Holmes, Emily A.; Adolph, Dirk; Zhang, Hui; Margraf, Juergen","marcella.woud@rub.de","10.1371/journal.pone.0192837","Web of Science","Germany","Europe",2,94,72,0.765957447,"23.08","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 10","Positive CBM","Positive cbm training","Decrease","Negative CBM","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",46,48,94,"Immediate post","Trauma film","Trauma film","Not Reported","20 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective","Image/thought combined","Null","Both conditions did not significantly in terms of IES-R INTRUSION SUBSCALE","EEG","PTCI","No",NA,9.28,NA,6.76,9.54,NA,5.91,"-0.26",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Woud et al., 2018","Woud et al., 2018","Woud et al., 2018","Positive vs. Negative cbm training",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.04067,0.04258,0.04067,0.20635228,-0.363776482,0.445124457,0.197109465,0.843741877,-0.103841166911015,0,0.00353306858329225,0,-0.0588116590277465,0
141,NA,NA,603,"MMV & SZ",122,1,"Behavioural",NA,603,2019,"Published","Journal Article","Journal Of Abnormal Psychology","Heightened biological stress response during exposure to a trauma film predicts an increase in intrusive memories","Schultebraucks, Katharina; Rombold-Bruehl, Felicitas; Wingenfeld, Katja; Hellmann-Regen, Julian; Otte, Christian; Roepke, Stefan","katharina.schultebraucks@charite.de","10.1037/abn0000440","Web of Science","Germany","Europe",2,122,122,1,"23.39327","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Supplemental Material","Trier Social Stress Test (TSST)","Trier social stress test","Increase","Placebo TSST","Experimental task","Placebo","Trier social stress test","Behavioural","Emotion","Indirect","Task",60,62,122,"Pre","Trauma film","Trauma film","1","14min 40s","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Not provided","Not provided","HRV, HR, BP, Cortisol",NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not provided","Not provided","Need to contact author for intrusion subscale stats",NA,NA,NA,"Film","Yes","Schultebraucks et al., 2019","Schultebraucks et al., 2019","Schultebraucks et al., 2019","Trier social stress test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
