"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
10,NA,NA,39,"MMV & SZ",7,1,"Behavioural",NA,39,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",2,52,31,0.596153846,"24.47","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS3, SOM General","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Reactivation + tetris condition had lower IES-R intrusion subscale score than no-task.",NA,NA,"Yes","Null",0.68,NA,0.53,1.01,NA,0.41,"-0.33","t(50)=2.50",NA,"0.016","0.69","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 1","James et al., 2015","James et al., 2015, Exp. 1","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-2.5,-0.69,-0.68597,0.08145,0.68597,0.285390263,0.126602002,1.245331831,2.403610095,0.016234078,1.54858970109244,0,0.0276569822289643,0,0.167746928549634,0
11,NA,NA,42,"MMV & SZ",7,2,"Behavioural",NA,42,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,47,0.652777778,"25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS5, SOM General","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale scores",NA,NA,"Yes","Null",0.61,NA,0.38,0.81,NA,0.58,"-0.2",NA,NA,"0.54","Not provided","Not provided","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,"F(3, 68) = 0.73",NA,NA,NA,-0.39883,0.11332,0.39883,0.336630927,-0.260964,1.058629235,1.18477711,0.236105585,0.740783936698838,0,0.00293747587639925,0,0.0541245379570176,0
11,NA,NA,45,"MMV & SZ",7,2,"Behavioural",NA,45,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,47,0.652777778,"25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS5, SOM General","Reactivation","Trauma reminder","Unspecified","No-Task","No-task","No-Task","Trauma reminder","Behavioural","Imagery","Direct","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale scores",NA,NA,"Yes","Null",0.81,NA,0.38,0.81,NA,0.58,"0",NA,NA,"0.54","Not provided","Not provided","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Trauma reminder",NA,NA,NA,"24 hours",0,"F(3, 68) = 0.73",NA,NA,NA,0,0.11111,0,0.333333333,-0.653333333,0.653333333,0,1,-0.17221540345264,0,0.000421441445020072,0,-0.0204460496839124,0
11,NA,NA,48,"MMV & SZ",7,2,"Behavioural",NA,48,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,47,0.652777778,"25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"DS5, SOM General","Tetris","Tetris only","Unspecified","No-Task","No-task","No-Task","Tetris","Behavioural","Imagery","Indirect","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale scores",NA,NA,"Yes","Null",0.74,NA,0.5,0.81,NA,0.58,"-0.07",NA,NA,"0.54","Not provided","Not provided","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Extracted from supplementary materials",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Tetris",NA,NA,NA,"24 hours",-1,"F(3, 68) = 0.73",NA,NA,NA,-0.1264,0.11133,0.1264,0.333666016,-0.527586297,0.780384485,0.378819203,0.704822126,0.118192646759395,0,0.0000290430031677886,0,0.00537273759006902,0
19,NA,NA,74,"MMV & SZ",14,1,"Behavioural",NA,74,2009,"Published","Journal Article","Plos One","Can playing the computer game ""tetris'' reduce the build-up of flashbacks for trauma? a proposal from cognitive science","Holmes, Emily A.; James, Ella L.; Coode-Bate, Thomas; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0004153","Web of Science","England","Europe",2,40,18,0.45,"23.4","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Figure 3, page 4","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","11","12min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Positive","Tetris condition had lower IES-R scores than control condition",NA,NA,"Yes","Null",7.25,NA,5.01,11.65,NA,6.8,"-4.4","t(38)=2.47",NA,"< .02","Not Reported","Not Reported","image-based intrusions; Got stat info from the author via email",NA,NA,NA,"Film","No","Holmes et al., 2009","Holmes et al., 2009","Holmes et al., 2009","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,-2.47,NA,-0.72206,0.10652,0.72206,0.326369743,0.082379509,1.3617489,2.2124116,0.026938238,1.52032037317732,0,0.0231788049221642,0,0.153309891631525,0
37,NA,NA,163,"MMV & SZ",30,1,"Behavioural",NA,163,2015,"Published","Journal Article","Plos One","Updating versus exposure to prevent consolidation of conditioned fear","Pile, Victoria; Barnhofer, Thorsten; Wild, Jennifer","jennifer.wild@psy.ox.ac.uk","10.1371/journal.pone.0122971","Web of Science","England","Europe",3,115,87,0.756521739,"26.72","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 14, Table 7","Exposure group","Trauma re-exposure","Unspecified","Control group","Experimental task","Control (view non-traumatic films)","Trauma re-exposure","Behavioural","Imagery","Direct","Task",40,36,76,"Immediate post","Trauma film","Trauma film + CS+","6","10.85min","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","A week post trauma film",NA,"Retrospective",NA,"Not Reported","Not Reported","SCR",NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported","Contact author for intrusion subscale score",NA,NA,NA,"Film","Yes","Pile et al., 2015","Pile et al., 2015","Pile et al., 2015","Trauma re-exposure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,192,"SZ",38,1,"Behavioural",NA,192,2015,"Published","Journal Article","Neurobiology Of Learning And Memory","The role of stress during memory reactivation on intrusive memories","Cheung, Jessica; Garber, Benjamin; Bryant, Richard A.","r.bryant@unsw.edu.au","10.1016/j.nlm.2015.04.004","Web of Science","Australia","Australia",3,63,34,0.53968254,"19.89","Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"page 31, Table 1","Socially evaluated cold pressor test (SECPT) + reactivation","Cold water stress induction + trauma reminder","Increase","Socially evaluated cold pressor test (SECPT) ","Experimental task","Cold water stress induction","Cold water stress induction + trauma reminder vs. Cold water stress induction","Behavioural","Imagery","Direct","Task",21,21,42,"Delayed post","Trauma film","Trauma film","1","10min","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","5th day post trauma film",NA,"Retrospective",NA,"Negative","Stress/Reactivation condition had significantly more intrusive memories than the Stress condition","Saliva (sAA, cortisol)",NA,"Yes","Null",7,NA,2.9,5.24,NA,2.28,"1.76","t(1,40)=2.19",NA,"< .05","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Cheung et al., 2015","Cheung et al., 2015","Cheung et al., 2015","Cold water stress induction + trauma reminder vs. Cold water stress induction",NA,NA,NA,"2 days ",1,NA,NA,2.19,NA,0.66198,0.10045,-0.66198,0.316946243,-1.283191493,-0.04076222,-2.088609255,0.036742911,-1.75514995298384,0,0.0104463902394589,0,-0.104493744179452,0
46,NA,NA,198,"MMV",39,1,"Behavioural",NA,198,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Encoding disorganized memories for an analogue trauma does not increase memory distortion or analogue symptoms of ptsd","Segovia, D. A.; Strange, D.; Takarangi, M. K.","dstrange@jjay.cuny.edu","10.1016/j.jbtep.2015.07.003","PubMed","USA","North america",6,211,114,0.539906103,"Not provided","Between-subject",0.5,1,1,1,1,1,0,0,1,1,1,8.5,"Table 4, page 133","Data-driven processing","Data-driven processing","Unspecified","No-Task","No-task","No-Task","Data-driven processing","Behavioural","Imagery","Direct","Instruction",35.16666667,35.16666667,NA,"Peri","Trauma film","Trauma film","1","3.82 minutes","IES Intrusion subscale score","Intrusion symptoms","IES (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES intrusion subscale.",NA,NA,"Yes","Null",7.23,NA,6.56,7.37,NA,8.18,"-0.14",NA,NA,NA,"Not provided","Not provided","Study in total had 6 groups but we only code for 3 groups, so should we report 3 or 6 in the sample size column, the study doesn't provide info on number of participants within each condition.",NA,NA,NA,"Film","No","Segovia et al., 2016","Segovia et al., 2016","Segovia et al., 2016","Data-driven processing",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.01867,0.05687,0.01867,0.238483788,-0.448754125,0.486102323,0.078303431,0.937586689,-0.150847599888958,0,0.0000315561615627715,0,-0.0055908722489504,0
47,NA,NA,202,"MMV & SZ",40,1,"Behavioural",NA,202,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reducing involuntary memory by interfering consolidation of stressful auditory information: a pilot study","Tabrizi, Fara; Jansson, Billy","billy.jansson@miun.se ","10.1016/j.jbtep.2015.09.003","Web of Science","Sweden","Europe",4,41,26,0.634146341,"24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 242","Visuospatial task (model clay)","Clay modeling","Unspecified","No-Task","No-task","No-Task","Clay modeling","Behavioural","Imagery","Indirect","Task",10,10,20,"Immediate post","Aversive audio clips","Aversive audio clips","6","10 minutes","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of IES-R intrusion subscale.",NA,NA,"Yes","Null",11.6,NA,7.69,8.1,NA,3.9,"3.5",NA,NA,"0.282","Not provided","Not provided",NA,"Contact author for their distress level. They didn’t report distress level but did record this data",NA,NA,"Audio","No","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Tabrizi & Jansson, 2016","Clay modeling",NA,NA,NA,NA,1,"F(3, 37) = 1.32",NA,NA,NA,0.54974,0.20756,-0.54974,0.4555825,-1.44268398,0.34319942,-1.206679975,0.227555414,-1.17064122440267,0,0.00534371549844312,0,-0.073224186011748,0
48,1,1,214,"SZ",41,1,"Behavioural",NA,214,2015,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","How does immediate recall of a stressful event affect psychological response to it?","Gittins, Catherine B.; Paterson, Helen M.; Sharpe, Louise","helen.paterson@sydney.edu.au","10.1016/j.jbtep.2014.07.006","Web of Science","Australia","Australia",4,85,52,0.611764706,"19.56","Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"page 23","Self-Administered Interview (SAI)","Writing-based imagery re-experience","Increase","Irrelevant writing task","Experimental task","Control (Irrelevant writing task)","Imagery re-experience","Behavioural","Imagery","Direct","Task",43,42,85,"Immediate post","Trauma film","Trauma film","1","10min","IES-R Intrusion subscale score","Intrusion symptoms","IES-R (Intrusion subscale)","Self-report questionnaire","Same day post trauma film",NA,"Retrospective",NA,"Negative","SAI participants had significantly higher IES-Intrusion scores than controls",NA,"DASS21; STAI","Yes","Positive",8.4,NA,4.95,5,NA,4.22,"3.4",NA,NA,"< .001","0.73","Hedges's g","This article is also a 2*2 design, while there is no interactive effects, should we just report the significant main effect? If so, should we also ask for non-significant main effect？",NA,NA,NA,"Film","No","Gittins et al., 2015","Gittins et al., 2015","Gittins et al., 2015, Immediate post","Imagery re-experience",NA,"Immediate post",NA,NA,1,"F(1,80) = 12.62",NA,NA,NA,0.73181,0.05022,-0.73181,0.224088385,-1.171022833,-0.292596365,-3.265718568,0.001091867,-2.29107341796155,1,0.0103425863387624,0,-0.104776500056017,0
