"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
1,NA,NA,5,"SZ",1,1,"Behavioural",NA,5,2009,"Published","Journal Article","Behaviour Research And Therapy","The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance","Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.","barney.dunn@mrc-cbu.cam.ac.uk","10.1016/J.BRAT.2009.05.007","Others","England","Europe",3,89,49,0.550561798,"35.36","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4","Emotional acceptance","Emotional acceptance","Increase","No-regulation","No-task","No-Task","Emotional acceptance","Behavioural","Emotion","Direct","Instruction",28,27,55,"Peri","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","No group difference","SCR, HR","Depression, Trait anxiety","Yes","Null",23.74,NA,20.61,24.33,NA,20.37,"-0.59",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Dunn et al., 2009","Dunn et al., 2009","Dunn et al., 2009","Emotional acceptance",NA,NA,NA,NA,-1,"F < 1",NA,NA,NA,-0.02838,0.07276,0.02838,0.269738105,-0.500305501,0.557067872,0.105217561,0.916203176,0.532248405746767,0,0.0140542260458075,0,0.116146819874249,0
36,NA,NA,156,"MMV & SZ",29,1,"Behavioural",NA,156,2015,"Published","Journal Article","Australian Journal Of Psychology","Trauma-related rumination mediates the effect of naturally occurring depressive symptoms but not momentary low mood on trauma intrusions","Kubota, Rie; Nixon, Reginald D. V.; Chen, Junwen","reg.nixon@flinders.edu.au","10.1111/ajpy.12074","Web of Science","Australia","Australia",3,81,53,0.654320988,"23.806","Between-subject",1,1,1,1,1,1,1,NA,0,1,1,9,"Table 4, page 81","Sad induction before film","Sad induction","Increase","Neutral induction after film","Experimental task","Control (neutral mood induction)","Sad induction","Behavioural","Emotion","Indirect","Task",26,29,55,"Pre","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusion distress.",NA,NA,"No",NA,2.89,NA,1.73,3.38,NA,2.29,"-0.49",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Kubota et al., 2015","Kubota et al., 2015","Kubota et al., 2015, Immediate post","Sad induction (before film)","Before film","Immediate post",NA,NA,-1,NA,NA,NA,NA,-0.23619,0.07345,0.23619,0.271019293,-0.29500379,0.767391839,0.871502623,0.383479774,1.18349521386479,0,0.00195804457686308,0,0.0453590908394784,0
36,NA,NA,157,"MMV & SZ",29,1,"Behavioural",NA,157,2015,"Published","Journal Article","Australian Journal Of Psychology","Trauma-related rumination mediates the effect of naturally occurring depressive symptoms but not momentary low mood on trauma intrusions","Kubota, Rie; Nixon, Reginald D. V.; Chen, Junwen","reg.nixon@flinders.edu.au","10.1111/ajpy.12074","Web of Science","Australia","Australia",3,81,53,0.654320988,"23.806","Between-subject",1,1,1,1,1,1,1,NA,0,1,1,9,"Table 4, page 81","Sad induction after film","Sad induction","Increase","Neutral induction after film","Experimental task","Control (neutral mood induction)","Sad induction","Behavioural","Emotion","Indirect","Task",26,29,55,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusion distress.",NA,NA,"No",NA,3.69,NA,2.49,3.38,NA,2.29,"0.31",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Kubota et al., 2015","Kubota et al., 2015","Kubota et al., 2015, Immediate post","Sad induction (after film)","After film","Immediate post",NA,NA,1,NA,NA,NA,NA,0.12805,0.07309,-0.12805,0.270357847,-0.657954182,0.401848578,-0.473641892,0.635755297,0.0331104991182373,0,0.000438468247264979,0,-0.0203113407630303,0
36,NA,NA,158,"MMV & SZ",29,1,"Behavioural",NA,158,2015,"Published","Journal Article","Australian Journal Of Psychology","Trauma-related rumination mediates the effect of naturally occurring depressive symptoms but not momentary low mood on trauma intrusions","Kubota, Rie; Nixon, Reginald D. V.; Chen, Junwen","reg.nixon@flinders.edu.au","10.1111/ajpy.12074","Web of Science","Australia","Australia",3,81,53,0.654320988,"23.806","Between-subject",1,1,1,1,1,1,1,NA,0,1,1,9,"Table 4, page 81","Sad induction before film","Sad induction","Increase","Neutral induction after film","Experimental task","Control (neutral mood induction)","Sad induction","Behavioural","Emotion","Indirect","Task",26,29,55,"Pre","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusion distress.",NA,NA,"No",NA,1.96,NA,1.18,2.38,NA,2.03,"-0.42",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Kubota et al., 2015","Kubota et al., 2015","Kubota et al., 2015, Delayed post","Sad induction (before film)","Before film","Delayed post",NA,NA,-1,NA,NA,NA,NA,-0.24594,0.07349,0.24594,0.271098117,-0.285408946,0.777295675,0.907211628,0.364294896,1.215064855343,0,0.00213437451907914,0,0.0474187288919631,0
36,NA,NA,159,"MMV & SZ",29,1,"Behavioural",NA,159,2015,"Published","Journal Article","Australian Journal Of Psychology","Trauma-related rumination mediates the effect of naturally occurring depressive symptoms but not momentary low mood on trauma intrusions","Kubota, Rie; Nixon, Reginald D. V.; Chen, Junwen","reg.nixon@flinders.edu.au","10.1111/ajpy.12074","Web of Science","Australia","Australia",3,81,53,0.654320988,"23.806","Between-subject",1,1,1,1,1,1,1,NA,0,1,1,9,"Table 4, page 81","Sad induction after film","Sad induction","Increase","Neutral induction after film","Experimental task","Control (neutral mood induction)","Sad induction","Behavioural","Emotion","Indirect","Task",26,29,55,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","8th day post trauma film",NA,"Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusion distress.",NA,NA,"No",NA,2.04,NA,1.34,2.38,NA,2.03,"-0.34",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Kubota et al., 2015","Kubota et al., 2015","Kubota et al., 2015, Delayed post","Sad induction (after film)","After film","Delayed post",NA,NA,-1,NA,NA,NA,NA,-0.19273,0.07328,0.19273,0.270706471,-0.337850122,0.723319245,0.711968799,0.476484097,1.04311262892534,0,0.00127430943732628,0,0.0363766005749566,0
51,NA,NA,228,"MMV",44,1,"Behavioural",NA,228,2017,"Published","Journal Article","European Journal Of Psychotraumatology","The role of guilt in posttraumatic stress disorder","Bub, Konstantin; Lommen, Miriam J. J.","M.J.J.Lommen@rug.nl","10.1080/20008198.2017.1407202","Web of Science","Netherlands","Europe",2,39,21,0.583333333,"Not reported","Between-subject",0.5,1,0,1,1,1,0,0,0,1,1,6.5,"Figure 2, page 6","Blame","Guilt induction","Increase","No-Blame","No-task","No-Task","Guilt induction","Behavioural","Emotion","Direct","Task",19,20,39,"Immediate post","Computer crash + researcher despair","Computer crash + researcher despair","Computer crash","Not Reported","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","1 day","Real Time","Image/thought combined","Negative","Blame had more distress than control",NA,NA,"No",NA,5.91,NA,3.36,0.65,NA,2.06,"5.26","t(29.55)=-5.85","Not reported","<0,001","Not reported",NA,"Is the trauma induction valid for our meta? Df inconsistent between intrusion and emotional distress",NA,NA,NA,"Computer crash","No","Bub & Lommen, 2017","Bub & Lommen, 2017","Bub & Lommen, 2017","Guilt induction",NA,NA,NA,NA,1,NA,NA,5.85,NA,1.8603,0.147,-1.8603,0.383405642,-2.611778249,-1.108828133,-4.8520496,0.00000122,-4.39841249832763,1,0.426998710969811,0,-0.780762517195661,0
133,NA,NA,574,"SZ",115,1,"Behavioural",NA,574,1997,"Unpublished","Dissertation",NA,"The role of dissociation in the development and maintenance of post-traumatic stress disorder (bl)","Murray, J.","Not provided",NA,"PsycInfo & ProQuest","England","Europe",3,56,29,0.517857143,"20.1","Between-subject",1,1,0,0,1,1,0,0,1,0,1,6,"page 85, Table 5","Dissociation group","Emotional numbing","Increase","Neutral group (attend to the film)","No-task","No-Task","Emotional numbing","Behavioural","Emotion","Direct","Instruction",18,19,37,"Peri","Trauma film","Trauma film","6","10min","Mean Emotional Distress","Intrusion-related distress","Seven-day diary ","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","There were no significant differences between the three groups in terms of distress at intrusions",NA,NA,"No",NA,110,NA,84.1,93.2,NA,94.9,"16.8",NA,NA,"0.541","Not provided","Not provided","df is incosistent with sample sizes",NA,NA,NA,"Film","No","Murray, 1997","Murray, 1997","Murray, 1997","Emotional numbing",NA,NA,NA,NA,1,"F(2,49) = 0.62",NA,NA,NA,0.18301,0.10864,-0.18301,0.329605397,-0.829032472,0.463020684,-0.555227237,0.578739241,-0.113722434213772,0,0.00000188589899531939,0,-0.00135982869505427,0
133,NA,NA,578,"SZ",115,1,"Behavioural",NA,578,1997,"Unpublished","Dissertation",NA,"The role of dissociation in the development and maintenance of post-traumatic stress disorder (bl)","Murray, J.","Not provided",NA,"PsycInfo & ProQuest","England","Europe",3,56,29,0.517857143,"20.1","Between-subject",1,1,0,0,1,1,0,0,1,0,1,6,"page 85, Table 5","Dissociation group","Emotional numbing","Increase","Neutral group (attend to the film)","No-task","No-Task","Emotional numbing","Behavioural","Emotion","Direct","Instruction",18,19,37,"Peri","Trauma film","Trauma film","6","10min","Mean Emotional Distress","Intrusion-related distress","6-month follow-up questionnaire ","Self-report questionnaire","6 months post trauma film",NA,"Retrospective",NA,"Null","There were no significant differences between the three groups in terms of distress at intrusions at 6 months follow-up",NA,NA,"No",NA,25.5,NA,21.3,22.4,NA,17.1,"3.1",NA,NA,"0.587","Not provided","Not provided","df is incosistent with sample sizes",NA,NA,NA,"Film","No","Murray, 1997","Murray, 1997","Murray, 1997","Emotional numbing",NA,NA,NA,NA,1,"F(2,50) = 0.54",NA,NA,NA,0.15752,0.10852,-0.15752,0.329427442,-0.803197899,0.488157675,-0.478163297,0.632533984,-0.0445848492182226,0,0.000093379297021516,0,0.00956290060962281,0
148,NA,NA,647,"SZ",129,1,"Behavioural",NA,647,2022,"Published","Journal Article","Psychoneuroendocrinology","Acute stress reactivity and intrusive memory development: a randomized trial using an adjusted trauma film paradigm","Hilberdink, C. E., de Rooij, S. R., Olff, M., Bosch, J. A., & van Zuiden, M. ","m.vanzuiden@amsterdamumc.nl","10.1016/j.psyneuen.2022.105686","PUBMED","Netherlands","Europe",2,63,0,0,"22.3","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Provided by the author","Socially-evaluated cold pressor test (seCPT)","Cold water stress induction","Increase","Control condition (warm water)","Experimental task","Control (Warm water)","Cold vs. Warm water stress","Behavioural","Emotion","Indirect","Task",29,34,63,"Pre","Trauma film","Trauma film","1","15min","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Negative","The seCPT participants reported more distressing intrusions","Salivary alpha amylase (sAA); Salivary cortisol; Blood pressure (BP); Pre-ejection period; Heart rate (variability); ","adjusted PTSD Checklist for DSM-5 (PCL5)","Yes","Mixed",0.74,NA,1.48,0.35,NA,1.03,"0.39",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Hilberdink et al., 2022","Hilberdink et al., 2022","Hilberdink et al., 2022, Mean","Cold vs. Warm water stress",NA,NA,"Mean",NA,1,NA,NA,NA,NA,0.3065,0.06464,-0.3065,0.254244133,-0.804814921,0.191822081,-1.205520127,0.228002573,-0.541573883582221,0,0.00194957850650587,0,-0.0441349484442913,0
148,NA,NA,648,"SZ",129,1,"Behavioural",NA,648,2022,"Published","Journal Article","Psychoneuroendocrinology","Acute stress reactivity and intrusive memory development: a randomized trial using an adjusted trauma film paradigm","Hilberdink, C. E., de Rooij, S. R., Olff, M., Bosch, J. A., & van Zuiden, M. ","m.vanzuiden@amsterdamumc.nl","10.1016/j.psyneuen.2022.105686","PUBMED","Netherlands","Europe",2,63,0,0,"22.3","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Provided by the author","Socially-evaluated cold pressor test (seCPT)","Cold water stress induction","Increase","Control condition (warm water)","Experimental task","Control (Warm water)","Cold vs. Warm water stress","Behavioural","Emotion","Indirect","Task",29,34,63,"Pre","Trauma film","Trauma film","1","15min","Sum Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","No group differences were found","Salivary alpha amylase (sAA); Salivary cortisol; Blood pressure (BP); Pre-ejection period; Heart rate (variability); ","adjusted PTSD Checklist for DSM-5 (PCL5)","Yes","Mixed",14.62,NA,24.62,7.94,NA,11.02,"6.68","t(61)=1.54",NA,"0.13","0.3","Cohen's d",NA,NA,NA,NA,"Film","Yes","Hilberdink et al., 2022","Hilberdink et al., 2022","Hilberdink et al., 2022, Sum","Cold vs. Warm water stress",NA,NA,"Sum",NA,1,NA,NA,1.54,0.3,0.35575,0.0649,-0.35575,0.254752722,-0.855064798,0.143565872,-1.396450097,0.162578998,-0.708459467661352,0,0.00658380722749398,0,-0.081630199347631,0
