"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
4,NA,NA,19,"MMV & SZ",2,3,"Behavioural",NA,19,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",3,60,33,0.55,"26.5","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Not Reported","Verbal interference task","Number counting","Increase","No-task","No-task","No-Task","Number counting","Behavioural","Verbal","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Not Reported","Not Reported","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported","Sample size for each condition Not Reported. Nor descriptives for intrusion distress Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 3","Homes et al., 2004","Homes et al., 2004, Exp. 3","Number counting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,33,"MMV",5,1,"Behavioural",NA,33,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Contextual representations increase analogue traumatic intrusions: Evidence against a dual-representation account of peri-traumatic processing","Pearson, D. G.","d.g.pearson@abdn.ac.uk","10.1016/j.jbtep.2012.04.002","Others","Scotland","Europe",2,38,30,0.789473684,"22.55","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 2, page 1029","Contextual","Contextual information","Increase","Context-free","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Task",19,19,38,"Peri","Trauma film","Trauma film","5","13 min 40 s","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not reported","Null","Contextual information and context-free conditions did not signficiantly differ on emotionality of diary intrusions.",NA,NA,"Yes","Null",4.62,NA,1.81,4.34,NA,2.22,"0.28","t(32)=0.41",NA,"0.69","Not Reported","Not Reported","Did not use any trauma history questionnaire but inclusion criteria included no exposure to road accidents~ does that count as similar baseline trauma history? Different df for t test compared to intrusion freqeuncy~ why?",NA,NA,NA,"Film","No","Pearson, 2012","Pearson, 2012","Pearson, 2012","Contextual information",NA,NA,NA,NA,1,NA,NA,0.41,NA,0.13534,0.1055,-0.13534,0.324814058,-0.771976141,0.501294965,-0.416670969,0.676919092,0.0162714313076494,0,0.000540338136901189,0,0.0228320866638505,0
13,NA,NA,55,"MMV & SZ",9,1,"Behavioural",NA,55,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Contextual representations of negative images modulate intrusion frequency in an intrusion provocation paradigm ","Krans, J., Pearson, D., G., Maier, B., & Moulds, M., L.","david.pearson@anglia.ac.uk ","10.1016/j.jbtep.2015.09.004","Others","Australia","Australia",3,110,64,0.581818182,"24.43","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 1, page 5","Severe Outcome Contextual Information","Severe outcome contextual information","Increase","Context-Free","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Task",38,35,73,"Peri","Negative Pictures","Picture Viewing","18",NA,"Mean Emotional Distress","Intrusion-related distress","Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion distress",NA,NA,"Yes","Null",3.61,NA,2.82,4.42,NA,2.81,"-0.81",NA,NA,"0.202","Not provided","Not provided",NA,NA,NA,NA,"Picture","No","Krans et al., 2016","Krans et al., 2016","Krans et al., 2016","Contextual information",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.28467,0.05544,0.28467,0.235461817,-0.176834841,0.746175482,1.208987188,0.226667768,1.50451341058103,0,0.065567542419893,0,0.261356095946993,0
25,NA,NA,112,"MMV & SZ",19,1,"Behavioural",NA,112,2012,"Published","Journal Article","Journal Of Experimental Psychopathology","The effect of rumination on intrusive images and mood: an experimental investigation using the trauma film paradigm","Ball, Sarah C.;Brewin, Chris R.","sarah.ball@eastlondon.nhs.uk","10.5127/jep.019511","PsycInfo & ProQuest","England","Europe",3,57,42,0.7,"22.61316","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 303","Film-related rumination (fR)","Film-related rumination","Increase","No-task","No-task","No-Task","Film-related rumination","Behavioural","Verbal","Direct","Instruction",20,19,39,"Immediate + delayed post","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion distress",NA,"DASS-21","No",NA,36.53,NA,21.81,31.5,NA,24.61,"5.03",NA,NA,NA,"Not Reported","Not Reported","image-based intrusions",NA,NA,NA,"Film","No","Ball & Brewin, 2012","Ball & Brewin, 2012","Ball & Brewin, 2012","Film-related rumination",NA,NA,NA,NA,1,NA,NA,NA,NA,0.21225,0.10321,-0.21225,0.321261791,-0.841922107,0.417424114,-0.660673016,0.508822032,-0.189976101990059,0,0.000837976538618454,0,0.028519917146944,0
25,NA,NA,113,"MMV & SZ",19,1,"Behavioural",NA,113,2012,"Published","Journal Article","Journal Of Experimental Psychopathology","The effect of rumination on intrusive images and mood: an experimental investigation using the trauma film paradigm","Ball, Sarah C.;Brewin, Chris R.","sarah.ball@eastlondon.nhs.uk","10.5127/jep.019511","PsycInfo & ProQuest","England","Europe",3,57,42,0.7,"22.61316","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 303","Non-film related rumination (NfR)","Non-film related rumination","Increase","No-task","No-task","No-Task","Non-film related rumination","Behavioural","Verbal","Indirect","Instruction",18,19,37,"Immediate + delayed post","Trauma film","Trauma film","5","12.5min","Mean Emotional Distress","Intrusion-related distress","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion distress",NA,"DASS-21","No",NA,45.93,NA,20.34,31.5,NA,24.61,"14.43",NA,NA,NA,"Not Reported","Not Reported","image-based intrusions",NA,NA,NA,"Film","No","Ball & Brewin, 2012","Ball & Brewin, 2012","Ball & Brewin, 2012","Non-film related rumination",NA,NA,NA,NA,1,NA,NA,NA,NA,0.62368,0.11344,-0.62368,0.336813918,-1.283837539,0.036473018,-1.851711667,0.064067238,-1.30291734318369,0,0.0291740545627532,0,-0.174242496932125,0
46,NA,NA,194,"MMV",39,1,"Behavioural",NA,194,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Encoding disorganized memories for an analogue trauma does not increase memory distortion or analogue symptoms of ptsd","Segovia, D. A.; Strange, D.; Takarangi, M. K.","dstrange@jjay.cuny.edu","10.1016/j.jbtep.2015.07.003","PubMed","USA","North america",6,211,114,0.539906103,"Not provided","Between-subject",0.5,1,1,1,1,1,0,0,1,1,1,8.5,"Table 4, page 133","Conceptual processing","Conceptual processing","Increase","No-Task","No-task","No-Task","Conceptual processing","Behavioural","Verbal","Direct","Instruction",35.16666667,35.16666667,NA,"Peri","Trauma film","Trauma film","1","3.82 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time",NA,"Null","Both conditions did not significantly in terms of diary intrusions distress.",NA,NA,"Yes","Null",4.65,NA,2.04,4.06,NA,2.1,"0.59",NA,NA,NA,"Not provided","Not provided","Study in total had 6 groups but we only code for 3 groups, so should we report 3 or 6 in the sample size column, the study doesn't provide info on number of participants within each condition.",NA,NA,NA,"Film","No","Segovia et al., 2016","Segovia et al., 2016","Segovia et al., 2016","Conceptual processing",NA,NA,NA,NA,1,NA,NA,NA,NA,0.28185,0.05744,-0.28185,0.239659726,-0.751585891,0.187880237,-1.176054197,0.239573219,-0.479062725202322,0,0.0051952452012843,0,-0.0708265422077632,0
53,NA,NA,234,"MMV & SZ",46,1,"Behavioural",NA,234,2017,"Published","Journal Article","Journal Of Experimental Psychopathology","An analogue investigation into the effect of trauma-related rumination on trauma intrusions and the moderating role of trait rumination and depression","Kubota, Rie; Nixon, Reginald D. V.","reg.nixon@flinders.edu.au ","10.5127/jep.058516","Web of Science","Australia","Australia",2,57,57,1,"20.74","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 422","Rumination","Film-related rumination","Increase","Control group (irrelevant quiz questions)","Experimental task","Control (irrelevant quiz question)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,29,57,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion questionnaire + Mood ratings","Self-report questionnaire","Same day post trauma film (after manipulation)",NA,"Retrospective","Not provided","Null","Both conditions did not significantly in terms of emotional distress (AFTER MANIPULATION)","HR",NA,"No",NA,4.21,NA,3.16,3.52,NA,2.77,"0.69",NA,NA,"> .10","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Kubota & Nixon, 2017, Exp. 1","Kubota & Nixon, 2017","Kubota & Nixon, 2017, Exp. 1, Post-manipulation","Film-related rumination",NA,"Post-manipulation",NA,NA,1,NA,NA,NA,NA,0.2293,0.07066,-0.2293,0.265816237,-0.750302913,0.291696734,-0.862637636,0.388336731,-0.280282928941391,0,0.000840487336859158,0,-0.0286374265430237,0
53,NA,NA,236,"MMV & SZ",46,1,"Behavioural",NA,236,2017,"Published","Journal Article","Journal Of Experimental Psychopathology","An analogue investigation into the effect of trauma-related rumination on trauma intrusions and the moderating role of trait rumination and depression","Kubota, Rie; Nixon, Reginald D. V.","reg.nixon@flinders.edu.au ","10.5127/jep.058516","Web of Science","Australia","Australia",2,57,57,1,"20.74","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 422","Rumination","Film-related rumination","Increase","Control group (irrelevant quiz questions)","Experimental task","Control (irrelevant quiz question)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,29,57,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion questionnaire + Mood ratings","Self-report questionnaire","Same day post trauma film (after reminder)",NA,"Retrospective","Not provided","Null","Both conditions did not significantly in terms of emotional distress (AFTER REMINDER)","HR",NA,"No",NA,3.96,NA,2.98,3.69,NA,2.92,"0.27",NA,NA,"> .10","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Kubota & Nixon, 2017, Exp. 1","Kubota & Nixon, 2017","Kubota & Nixon, 2017, Exp. 1, Post-reminder","Film-related rumination",NA,"Post-reminder",NA,NA,1,NA,NA,NA,NA,0.09028,0.07027,-0.09028,0.265082146,-0.609843724,0.429278288,-0.340583928,0.733416831,0.15467293801774,0,0.0000123479635271621,0,-0.00349841259955906,0
53,NA,NA,238,"MMV & SZ",46,1,"Behavioural",NA,238,2017,"Published","Journal Article","Journal Of Experimental Psychopathology","An analogue investigation into the effect of trauma-related rumination on trauma intrusions and the moderating role of trait rumination and depression","Kubota, Rie; Nixon, Reginald D. V.","reg.nixon@flinders.edu.au ","10.5127/jep.058516","Web of Science","Australia","Australia",2,57,57,1,"20.74","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 422","Rumination","Film-related rumination","Increase","Control group (irrelevant quiz questions)","Experimental task","Control (irrelevant quiz question)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,29,57,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film (after manipulation)","5 minutes","Retrospective","Not provided","Null","Both conditions did not significantly in terms of emotional distress (AFTER MANIPULATION)","HR",NA,"No",NA,3.39,NA,2.67,2.93,NA,2.31,"0.46",NA,NA,"> .10","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Kubota & Nixon, 2017, Exp. 1","Kubota & Nixon, 2017","Kubota & Nixon, 2017, Exp. 1, Post-manipulation","Film-related rumination",NA,"Post-manipulation",NA,NA,1,NA,NA,NA,NA,0.18197,0.07049,-0.18197,0.265494841,-0.702340103,0.338399674,-0.685400188,0.493091425,-0.132992056224549,0,0.000423938033525363,0,-0.0203954205530364,0
53,NA,NA,240,"MMV & SZ",46,1,"Behavioural",NA,240,2017,"Published","Journal Article","Journal Of Experimental Psychopathology","An analogue investigation into the effect of trauma-related rumination on trauma intrusions and the moderating role of trait rumination and depression","Kubota, Rie; Nixon, Reginald D. V.","reg.nixon@flinders.edu.au ","10.5127/jep.058516","Web of Science","Australia","Australia",2,57,57,1,"20.74","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2, page 422","Rumination","Film-related rumination","Increase","Control group (irrelevant quiz questions)","Experimental task","Control (irrelevant quiz question)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,29,57,"Immediate post","Trauma film","Trauma film","1","8 minutes","Mean Emotional Distress","Intrusion-related distress","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film (after reminder)","5 minutes","Retrospective","Not provided","Null","Both conditions did not significantly in terms of emotional distress (AFTER REMINDER)","HR",NA,"No",NA,3.11,NA,2.85,3.1,NA,2.41,"0.01",NA,NA,"> .10","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Kubota & Nixon, 2017, Exp. 1","Kubota & Nixon, 2017","Kubota & Nixon, 2017, Exp. 1, Post-reminder","Film-related rumination",NA,"Post-reminder",NA,NA,1,NA,NA,NA,NA,0.00374,0.0702,-0.00374,0.26494748,-0.523039822,0.5155543,-0.014126424,0.988729119,0.428297992278297,0,0.00018278371827072,0,0.0135171914523371,0
