"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
22,NA,NA,105,"MMV & SZ",17,1,"Pharmacological","Alcohol",105,2010,"Published","Journal Article","Biological Psychiatry","Acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model","Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie","j.bisby@ucl.ac.uk.","10.1016/j.biopsych.2010.01.010","Web of Science","England","Europe",3,48,"24","0.5","22.80667","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284","High dose alcohol","High dose alcohol","Decrease","Placebo","Experimental task","Placebo","High dose alcohol","Pharmacological",NA,NA,NA,16,16,32,"Pre","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Online diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of diary intrusions.",NA,NA,"Yes","Negative",1.88,0.41,1.64,1.16,0.42,1.69,"0.72",NA,NA,NA,"Not Reported","Not Reported","Intrusions of imagery and thought",NA,NA,NA,"Film","No","Bisby et al., 2010","Bisby et al., 2010","Bisby et al., 2010","High dose alcohol",NA,NA,NA,NA,1,NA,NA,NA,NA,0.42147,0.12778,-0.42147,0.35745706,-1.122083737,0.279147939,-1.179072807,0.238369186,-1.48134014208579,0,0.0161640586524181,0,-0.127690448820479,0
31,NA,NA,129,"MMV & SZ",24,1,"Behavioural",NA,129,2013,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Can concreteness training buffer against the negative effects of rumination on ptsd? an experimental analogue study","Schaich, Anja; Watkins, Edward R.; Ehring, Thomas","thomas.ehring@uni-muenster.de","10.1016/j.jbtep.2013.03.006","Web of Science","Germany","Europe",2,66,"66","1","20.05","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Not Reported","Concrete processing style","Concrete processing","Decrease","Abstract processing style","Experimental task","Film-related rumination","Concrete processing vs. Film-related rumination","Behavioural","Imagery vs. Verbal","Direct","Instruction",34,32,66,"Pre","Trauma film","Trauma film","1","14min","Intrusion Frequency","Intrusion frequency","Dialy intrusion questionnaire","Intrusion diary","Same day post trauma film","7 days","Retrospective","Not reported","Null","No group difference on the  intrusion frequency measured by daily intrusion questionnaire between Abstract and Concrete processing style group","_Heart rate (HR) and skin conductance (SCL)",NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported","Contact author for mean/SD.  only have the regression parameters with the consideration of other covariates and interaction effects.","regression t = -0.3, p = 0.73",NA,NA,"Film","Yes","Schaich et al., 2013","Schaich et al., 2013","Schaich et al., 2013","Concrete processing vs. Film-related rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,131,"MMV & SZ",25,1,"Behavioural",NA,131,2013,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reducing analogue trauma symptoms by computerized reappraisal training - considering a cognitive prophylaxis?","Woud, Marcella L.; Postma, Peggy; Holmes, Emily A.; Mackintosh, Bundy","M.Woud@psych.ru.nl","10.1016/j.jbtep.2013.01.003","Web of Science","Netherlands","Europe",2,47,"31","0.659574468","29.06","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Page 314","Positive Cognitive Bias Modification-Appraisal (CBM-app)","Positive cbm training","Decrease","Negative Cognitive Bias Modification-Appraisal (CBM-app)","Experimental task","Negative CBM training","Positive vs. Negative cbm training","Behavioural","Emotion","Indirect","Task",22,25,47,"Pre","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of intrusions.",NA,NA,"No",NA,7.14,NA,8.08,6.56,NA,6.95,"0.58","t(45)=.26",NA,"0.79","Not Reported","Not Reported","image or thought or both recorded",NA,NA,NA,"Film","No","Woud et al., 2013","Woud et al., 2013","Woud et al., 2013","Positive vs. Negative cbm training",NA,NA,NA,NA,1,NA,NA,0.26,NA,0.07605,0.08552,-0.07605,0.292431315,-0.649216067,0.49711469,-0.260063422,0.794814852,-0.839345004891163,0,0.00742396225525897,0,-0.0859638089077046,0
41,1,1,177,"MMV & SZ",34,1,"Behavioural",NA,177,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Playing the computer game tetris prior to viewing traumatic film material and subsequent intrusive memories: examining proactive interference","James, Ella L.; Lau-Zhu, Alex; Tickle, Hannah; Horsch, Antje; Holmes, Emily A.","emily.holmes@mrc-cbu.cam.ac.uk","10.1016/j.jbtep.2015.11.004","Web of Science","England","Europe",2,56,"32","0.571428571","20.59","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 3, page 31","Tetris","Tetris only","Decrease","No-Task","No-task","No-Task","Tetris","Behavioural","Imagery","Indirect","Task",28,28,56,"Pre","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","Both conditions did not significantly in terms of diary intrusions.",NA,NA,"Yes","Null",4.86,NA,3.7,6,NA,4.91,"-1.14","t(54)=0.98",NA,"0.33","0.26","Cohen's d",NA,NA,NA,NA,"Film","No","James et al., 2016","James et al., 2016","James et al., 2016","Tetris",NA,NA,NA,NA,-1,NA,NA,-0.98,-0.26,-0.25857,0.07203,0.25857,0.268375707,-0.267446775,0.784585996,0.963461313,0.33531607,-0.0755476249152414,0,0.000219144570996109,0,-0.014713993564263,0
43,NA,NA,184,"MMV",36,1,"Pharmacological","Clonidine",184,2016,"Published","Journal Article","Psychological Medicine","Influence of the noradrenergic system on the formation of intrusive memories in women: an experimental approach with a trauma film paradigm","Rombold, F.; Wingenfeld, K.; Renneberg, B.; Hellmann-Regen, J.; Otte, C.; Roepke, S.","felicitas.rombold@charite.de","10.1017/S0033291716001379","Web of Science","Germany","Europe",3,114,"114","1","23.27","Between-subject",1,1,1,1,1,1,0,1,1,1,0,9,"Figure 5, page 9","Clonidine (noradregenic inhibitor)","Clonidine","Decrease","Placebo","Experimental task","Placebo","Clonidine","Pharmacological",NA,NA,NA,38,38,76,"Pre","Trauma film","Trauma film","1","14.67 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","4 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of diary intrusions.","Blood pressure, salivary corisol and alpha amylase","trait anxiety","No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Rombold et al., 2016a","Rombold et al., 2016","Rombold et al., 2016a","Clonidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,1,303,"MMV & SZ",63,1,"Pharmacological","Alcohol",303,2018,"Unpublished","Dissertation",NA,"Effects of peritraumatic alcohol intoxication on intrusive memories following exposure to an analog trauma","Jaffe, Anna E.","anna.e.jaffe@gmail.com",NA,"PsycInfo & ProQuest","USA","North america",3,98,"98","1","23.03","Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"Page 52","High dose alcohol","High dose alcohol","Decrease","Placebo","Experimental task","Placebo","High dose alcohol","Pharmacological",NA,NA,NA,32,34,66,"Pre","Trauma film","Trauma film","1","10.5 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","8 days","Real Time","Image/thought combined","Negative","High dose alcohol had more intrusions than placebo","HR",NA,"No",NA,7.42,0.89,5.034600282,5.28,0.56,3.265333061,"2.14","t(94)=-2.04",NA,"0.044","Not provided","Not provided","Adjusted mean controlling for number of diaries completed reported",NA,NA,NA,"Film","Yes","Jaffe, 2018","Jaffe, 2018","Jaffe, 2018","High dose alcohol",NA,NA,NA,NA,1,NA,NA,2.04,NA,0.5016,0.06257,-0.5016,0.250135725,-0.991870796,-0.011338754,-2.005330406,0.044927736,-1.96664302359501,1,0.0344706197633986,0,-0.188696819268051,0
74,1,1,307,"MMV & SZ",65,1,"Behavioural",NA,307,2018,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Can an experimental self-efficacy induction through autobiographical recall modulate analogue posttraumatic intrusions?","Krans, Julie; Brown, Adam D.; Moulds, Michelle L.","julie.krans@kuleuven.be ","10.1016/j.jbtep.2017.07.001","Web of Science","Australia","Australia",3,113,"66","0.584070796","23.84","Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 1, page 5","High self efficacy","High self efficacy","Decrease","No self efficacy (recall important memory)","Experimental task","Control (recall important memory)","Self efficacy","Behavioural","Other","Indirect","Task",37,37,74,"Pre","Trauma film","Trauma film","1","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Negative","High self efficacy had more intrusions than control condition",NA,NA,"Yes","Null",3.76,NA,3.22,2.92,NA,2.51,"0.84",NA,NA,"0.04","0.29","Cohen's d","Is the control task a no-task control or experimental task",NA,NA,NA,"Film","No","Krans et al., 2018, Exp. 1","Krans et al., 2018","Krans et al., 2018, Exp. 1","Self efficacy",NA,NA,NA,NA,1,NA,NA,NA,0.29,0.28793,0.05461,-0.28793,0.233696803,-0.745971012,0.170120456,-1.232046286,0.217931795,-1.45874876446937,0,0.0224962134898558,0,-0.150923973403112,0
77,1,1,327,"SZ",67,1,"Behavioural",NA,327,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","The importance of context: evidence that contextual representations increase intrusive memories","Pearson, David G.; Ross, Fiona D. C.; Webster, Victoria L.","d.g.pearson@abdn.ac.uk","10.1016/j.jbtep.2011.07.009","Web of Science","England","Europe",1,40,"26","0.65","25.6","Within-subject",1,1,0,0,1,1,0,0,0,1,1,6,"page 576, Figure 1","Contextual introduction","Contextual information","Decrease","Neutral introduction","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Instruction",40,40,40,"Pre","Negative Pitures","Viewing pictures","40","~1min20s","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Negative","There was a main effect of condition with significantly higher numbers of intrusions reported with contextual than neutral condition",NA,NA,"Yes","Null",0.94,NA,2.242424,0.4,NA,1.337185,"0.54",NA,NA,"<0.02","0.12","partial eta squared","Stats extracted from the figure 1, error bar assumed to be se",NA,NA,NA,"Picture","No","Pearson et al., 2012, Exp. 1","Pearson et al., 2012","Pearson et al., 2012, Exp. 1","Contextual information",NA,NA,NA,NA,1,"F (1, 78) = 5.12",NA,NA,NA,0.28968,0.05052,-0.28968,0.224776461,-0.730239631,0.150884097,-1.28873711,0.197489496,-1.48353184498892,0,0.0236903297124826,0,-0.154979279310397,0
78,NA,1,328,"SZ",67,2,"Behavioural",NA,328,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","The importance of context: evidence that contextual representations increase intrusive memories","Pearson, David G.; Ross, Fiona D. C.; Webster, Victoria L.","d.g.pearson@abdn.ac.uk","10.1016/j.jbtep.2011.07.009","Web of Science","England","Europe",1,40,"21","0.525","29.1","Within-subject",1,1,0,0,1,1,0,0,0,1,1,6,"page 577, Figure 2","Contextual introduction","Contextual information","Decrease","Neutral introduction","No-task","No-Task","Contextual information","Behavioural","Verbal","Direct","Instruction",40,40,40,"Pre","Negative Pitures","Viewing pictures","40","~1min20s","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Negative","There was a main effect of condition with significantly higher numbers of intrusions reported with contextual than neutral condition",NA,NA,"Yes","Null",6.26,NA,10.76625,2.092593,NA,3.446634,"4.167407",NA,NA,"< 0.001","0.27","partial eta squared","Stats extracted from the figure 1, error bar assumed to be se",NA,NA,NA,"Picture","No","Pearson et al., 2012, Exp. 2","Pearson et al., 2012","Pearson et al., 2012, Exp. 2","Contextual information",NA,NA,NA,NA,1,"F (1, 78) = 14.27",NA,NA,NA,0.51632,0.05167,-0.51632,0.22730191,-0.961830749,-0.070807263,-2.271511957,0.023116004,-2.08263151869501,1,0.0398138354333615,0,-0.203645631288032,0
82,1,1,338,"MMV",71,1,"Behavioural",NA,338,2019,"Published","Journal Article","Anxiety Stress And Coping","Increasing self-efficacy reduces visual intrusions to a trauma-film paradigm","Rahman, Nadia; Horesh, Danny; Kouri, Nicole A.; Lev-Ari, Rony Kapel; Titcombe-Parekh, Roseann; Bryant, Richard A.; Marmar, Charles R.; Brown, Adam D.","brownad@newschool.edu, ","10.1080/10615806.2019.1566532","Web of Science","USA","North america",3,62,"49","0.79032258","33.79","Between-subject",1,1,0,1,1,1,0,0,0,1,0,6,"Table 3, page 207","High self efficacy","High self efficacy","Decrease","No self efficacy (puzzles and verbal tests)","Experimental task","Control (puzzles and verbal tests)","Self efficacy","Behavioural","Other","Indirect","Task",18,23,41,"Pre","Trauma film","Trauma film","1","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusions diary","Intrusion diary","Same day post trauma film","6 days","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion frequency",NA,NA,"No",NA,2.75,NA,7.05,6.75,NA,8.22,"-4",NA,"Not reported",NA,"Not reported",NA,"Control group completed an experimental task unrelated to induction",NA,NA,NA,"Film","No","Rahman et al., 2019","Rahman et al., 2019","Rahman et al., 2019","Self efficacy",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.50732,0.10217,0.50732,0.319644366,-0.119182801,1.133823113,1.587139365,0.112481084,0.47626118114775,0,0.00170599987829201,0,0.0411530841323336,0
