"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
6,1,1,24,"SZ",4,1,"Behavioural",NA,24,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,60,30,0.5,27,"Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 3, Table 3","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","15","21min","Intrusion Frequency","Intrusion frequency","(No name) Recoded during manipulation","Lab-based intrusion monitoring task","Same day post trauma film","10min","Real Time","Image","Positive","Participants had significantly fewer intrusions whilst playing Tetris compared to the no-task condition",NA,NA,"Yes","Null",4.3,1.1,4.91934955,12.35,3.4,15.20526225,"-8.05",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 1","Holmes et al., 2010","Holmes et al., 2010, Exp. 1","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.69819,0.10609,0.69819,0.325719844,0.05978201,1.336603797,2.143538126,0.032069913,0.496179999466096,0,0.00642508064007709,0,0.0793387089466069,0
7,NA,1,28,"SZ",4,2,"Behavioural",NA,28,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,75,42,0.56,22.9,"Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 7, Table 8","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Immediate post","Trauma film","Trauma film","11","12min","Intrusion Frequency","Intrusion frequency","(No name) Recoded during manipulation","Lab-based intrusion monitoring task","Same day post trauma film","10min","Real Time","Image","Positive","The frequency of initial intrusions participants experienced during the 10-min experimental interven- tion was reduced in both the Tetris and Pub Quiz conditions relative to the no-task condition",NA,NA,"Yes","Null",5.65,0.94,4.793078343,9.84,1.31,6.679715563,"-4.19",NA,NA,"<0.05","Not provided","Not provided",NA,NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 2","Holmes et al., 2010","Holmes et al., 2010, Exp. 2","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.70987,0.08177,0.70987,0.285951748,0.149403447,1.270334299,2.482477824,0.013047219,0.554900090423302,0,0.00933204052228813,0,0.095604016822226,0
19,NA,NA,75,"MMV & SZ",14,1,"Behavioural",NA,75,2009,"Published","Journal Article","Plos One","Can playing the computer game ""tetris'' reduce the build-up of flashbacks for trauma? a proposal from cognitive science","Holmes, Emily A.; James, Ella L.; Coode-Bate, Thomas; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0004153","Web of Science","England","Europe",2,40,18,0.45,23.4,"Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Table 3, page 3","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Initial flashbacks (inside laboratory during manipulation task)","Lab-based intrusion monitoring task","Same day post trauma film","10 minutes","Real Time",NA,"Positive","Tetris condition had  fewer lab intrusions than control condition",NA,"depression, trait anxiety","Yes","Null",4.6,1.1,4.91934955,12.8,3.1,13.86362146,"-8.2","t(38)=2.50",NA,"< .05","Not Reported","Not Reported","image-based intrusions",NA,NA,NA,"Film","No","Holmes et al., 2009","Holmes et al., 2009","Holmes et al., 2009","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,-2.5,NA,-0.77264,0.10746,0.77264,0.327814108,0.130120848,1.415152152,2.356934861,0.018426479,0.658863658352565,0,0.0121116086845756,0,0.109279519481559,0
29,1,1,120,"MMV & SZ",22,1,"Behavioural",NA,120,2012,"Published","Journal Article","Journal Of Experimental Psychopathology","To think or not to think about trauma? an experimental investigation into unconscious thought and intrusion development","Krans, Julie;Bos, Maarten W.","j.krans@unsw.edu.au","10.5127/jep.020011","PsycInfo & ProQuest","Netherlands","Europe",3,149,111,0.744966443,21.53,"Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Page 317","Unconscious thought (2-back working memory task + being told need film information)","Unconscious imagery re-experience","Decrease","Conscious thought (trauma recall + being told need film information)","Experimental task","Imagery re-experience","Unconscious vs. Conscious imagery re-experience","Behavioural","Imagery","Direct","Task vs. Instruction",46,24,70,"Immediate post","Trauma film","Trauma film","1","8.42 minutes","Intrusion Frequency","Intrusion frequency","Intrusion provocation task","Lab-based intrusion monitoring task","Same day post trauma film","2 minutes","Real Time",NA,"Positive","Unconscious thought significantly reduced lab intrusions compared to conscious thought",NA,"trait anxiety","Yes","Null",6,NA,4.41,9.13,NA,6.23,"-3.13",NA,NA,NA,"Not Reported","Not Reported","Intrusion content info Not Reported; Sample size info provided by author via email",NA,NA,NA,"Film","No","Krans & Bos, 2012","Krans & Bos, 2012","Krans & Bos, 2012","Unconscious vs. Conscious imagery re-experience",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.60707,0.06604,0.60707,0.256978917,0.103389147,1.110746502,2.362325405,0.018160694,0.327821953575993,0,0.00289850156567565,0,0.0530047477713233,0
75,NA,NA,317,"MMV & SZ",65,2,"Behavioural",NA,317,2018,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Can an experimental self-efficacy induction through autobiographical recall modulate analogue posttraumatic intrusions?","Krans, Julie; Brown, Adam D.; Moulds, Michelle L.","julie.krans@kuleuven.be ","10.1016/j.jbtep.2017.07.001","Web of Science","Belgium/Australia","Australia/europe",3,74,54,0.72972973,20.66,"Between-subject",1,1,1,1,1,1,0,0,1,1,1,9,"Table 2, page 8","High self efficacy","High self efficacy","Decrease","No self efficacy (recall important memory)","Experimental task","Control (recall important memory)","Self efficacy","Behavioural","Other","Indirect","Task",25,24,49,"Immediate post","Trauma film","Trauma film","1","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusion provocation task","Lab-based intrusion monitoring task","8th day post trauma film","2 minutes","Real Time","Image","Null","Both conditions did not significantly in terms of intrusion frequency",NA,NA,"Yes","Null",10.24,NA,5.75,9.13,NA,4.61,"1.11",NA,NA,NA,"Not provided","Not provided","Is the control task a no-task control or experimental task",NA,NA,NA,"Film","No","Krans et al., 2018, Exp. 2","Krans et al., 2018","Krans et al., 2018, Exp. 2","Self efficacy",NA,NA,NA,NA,1,NA,NA,NA,NA,0.2091,0.08211,-0.2091,0.286553318,-0.770741237,0.352547768,-0.729695739,0.465576186,-1.62326963801346,0,0.076644875283845,0,-0.283011781993759,0
80,1,1,331,"SZ",69,1,"Behavioural",NA,331,2012,"Published","Journal Article","Cognition And Emotion","Fewer intrusions after an attentional bias modification training for perceptual reminders of analogue trauma","Verwoerd, Johan; Wessel, Ineke; de Jong, Peter J.","j.r.l.verwoerd@rug.nl","10.1080/02699931.2011.563521","Web of Science","Netherlands","Europe",2,45,38,0.844444444,20.1,"Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"page 158","Exogenous cuing task (ECT) training","Attentional bias modification","Decrease","Filler task with no attentional modification","Experimental task","Control (filler task with no attentional modification)","Attentional bias modification","Behavioural","Other","Direct","Task",22,23,45,"Immediate post","Trauma film","Trauma film","5","5min","Intrusion Frequency","Intrusion frequency","Intrusion-monitoring task","Lab-based intrusion monitoring task","Same day post trauma film","3min","Real Time","Not provided","Positive","Training group has lower lab intrusion than control group",NA,NA,"No",NA,1.95,NA,1.98,3.54,NA,1.82,"-1.59","t(43)=2.77",NA,"<0.01","0.84","Cohen's d",NA,NA,NA,NA,"Film","No","Verwoerd et al., 2012","Verwoerd et al., 2012","Verwoerd et al., 2012","Attentional bias modification",NA,NA,NA,NA,-1,NA,NA,-2.77,-0.84,-0.82222,0.09644,0.82222,0.310555104,0.213534559,1.430910565,2.647589922,0.00810678,0.790443326122471,0,0.0191084869970921,0,0.137656567252566,0
90,NA,NA,362,"MMV & SZ",77,2,"Behavioural",NA,362,2019,"Published","Journal Article","Journal Of Experimental Psychology: General","Intrusive memories and voluntary memory of a trauma film: differential effects of a cognitive interference task after encoding","Lau-Zhu, Alex; Henson, Richard N.; Holmes, Emily A.","alexlauzhu@gmail.com ","10.1037/xge0000598","Web of Science","England","Europe",2,36,19,0.527777778,25.67,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Table 2, page 2167","Reminder plus tetris","Trauma reminder + tetris","Decrease","Reminder only","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion vigilance task","Lab-based intrusion monitoring task","Same day post trauma film",NA,"Real Time","Image","Positive","Reminder + Tetris group show low lab intrusion frequency than reminder only group on Day 1 ",NA,NA,"Yes","Null",7.22,NA,4.56,13.28,NA,7.7,"-6.06","t(34)=2.87",NA,"0.007","0.96","Cohen's d",NA,NA,NA,NA,"Film","No","Lau-Zhu et al., 2019, Exp. 2","Lau-Zhu et al., 2019","Lau-Zhu et al., 2019, Exp. 2, Immediate post","Trauma reminder + tetris vs. Trauma reminder",NA,"Immediate post",NA,NA,-1,NA,NA,-2.87,-0.96,-0.93636,0.12329,0.93636,0.351124653,0.248157576,1.624566218,2.666750648,0.007658847,0.978043879614711,0,0.00636902736454541,0,0.0804021709320322,0
90,NA,NA,363,"MMV & SZ",77,2,"Behavioural",NA,363,2019,"Published","Journal Article","Journal Of Experimental Psychology: General","Intrusive memories and voluntary memory of a trauma film: differential effects of a cognitive interference task after encoding","Lau-Zhu, Alex; Henson, Richard N.; Holmes, Emily A.","alexlauzhu@gmail.com ","10.1037/xge0000598","Web of Science","England","Europe",2,36,19,0.527777778,25.67,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Table 2, page 2167","Reminder plus tetris","Trauma reminder + tetris","Decrease","Reminder only","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion vigilance task","Lab-based intrusion monitoring task","8th day post trauma film",NA,"Real Time","Image","Positive","Reminder + Tetris group show low lab intrusion frequency than reminder only group on Day 8",NA,NA,"Yes","Null",5,NA,6.36,9.28,NA,3.95,"-4.28","t(34)=2.42",NA,"0.021","0.81","Cohen's d",NA,NA,NA,NA,"Film","No","Lau-Zhu et al., 2019, Exp. 2","Lau-Zhu et al., 2019","Lau-Zhu et al., 2019, Exp. 2, Delayed post","Trauma reminder + tetris vs. Trauma reminder",NA,"Delayed post",NA,NA,-1,NA,NA,-2.42,-0.81,-0.79048,0.11979,0.79048,0.346106482,0.112111006,1.468848416,2.283920562,0.0223762,0.667969958371976,0,0.000631129513999636,0,0.0251162136066185,0
91,NA,1,364,"MMV & SZ",77,3,"Behavioural",NA,364,2019,"Published","Journal Article","Journal Of Experimental Psychology: General","Intrusive memories and voluntary memory of a trauma film: differential effects of a cognitive interference task after encoding","Lau-Zhu, Alex; Henson, Richard N.; Holmes, Emily A.","alexlauzhu@gmail.com ","10.1037/xge0000598","Web of Science","England","Europe",3,57,34,0.596491228,26.29,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Page 2171","Reminder plus tetris","Trauma reminder + tetris","Decrease","Reminder only","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",19,19,38,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion vigilance task (key press)","Lab-based intrusion monitoring task","Same day post trauma film","9 minutes","Real Time","Image","Positive","Reminder + Tetris group show low lab intrusion frequency than reminder only group on Day 1 ",NA,NA,"No",NA,9.37,NA,8.48,21.11,NA,10.98,"-11.74","t(36)=3.69",NA,"0.001","1.2","Cohen's d","How to code experiment 3, it has three between group conditions (tetris only, tetris + reminder, reminder only; and 3 within-group condition for a specific intrusion monitoring task: vigilance with estimates? Do we create separate rows for each type of vigilance intrusion task or combine vigilance intrusion task factors with between-group conditions (e.g. tetris only no load vs. reminder only no load). doesn't report the three group comparison for intrusion vigilance estimate task with visuospatial or verbal load)",NA,NA,NA,"Film","No","Lau-Zhu et al., 2019, Exp. 3","Lau-Zhu et al., 2019","Lau-Zhu et al., 2019, Exp. 3, Key press","Trauma reminder + tetris vs. Trauma reminder",NA,NA,"Key press",NA,-1,NA,NA,-3.69,-1.2,-1.17161,0.12332,1.17161,0.351175876,0.483301746,1.859911181,3.336238457,0.000849203,1.4884066857423,0,0.012702731444159,0,0.115385440669736,0
91,NA,NA,365,"MMV & SZ",77,3,"Behavioural",NA,365,2019,"Published","Journal Article","Journal Of Experimental Psychology: General","Intrusive memories and voluntary memory of a trauma film: differential effects of a cognitive interference task after encoding","Lau-Zhu, Alex; Henson, Richard N.; Holmes, Emily A.","alexlauzhu@gmail.com ","10.1037/xge0000598","Web of Science","England","Europe",3,57,34,0.596491228,26.29,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Page 2171","Reminder plus tetris","Trauma reminder + tetris","Decrease","Reminder only","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",19,19,38,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion vigilance task (retrospective estimate)","Lab-based intrusion monitoring task","Same day post trauma film","9 minutes","Retrospective","Image","Positive","Reminder + Tetris group show low lab intrusion frequency than reminder only group on Day 1 ",NA,NA,"No",NA,4.25,1.6,6.97423831,12.32,1.6,6.97423831,"-8.07",NA,NA,"0.001","0.257","partial eta sqaured","How to code experiment 3, it has three between group conditions (tetris only, tetris + reminder, reminder only; and 3 within-group condition for a specific intrusion monitoring task: vigilance with estimates? Do we create separate rows for each type of vigilance intrusion task or combine vigilance intrusion task factors with between-group conditions (e.g. tetris only no load vs. reminder only no load). doesn't report the three group comparison for intrusion vigilance estimate task with visuospatial or verbal load)",NA,NA,NA,"Film","No","Lau-Zhu et al., 2019, Exp. 3","Lau-Zhu et al., 2019","Lau-Zhu et al., 2019, Exp. 3, Retrospective estimate","Trauma reminder + tetris vs. Trauma reminder",NA,NA,"Retrospective estimate",NA,-1,"F(1,36) = 12.46",NA,NA,NA,-1.13281,0.12215,1.13281,0.349497064,0.447797756,1.817826247,3.241263284,0.001190012,1.40473235838992,0,0.00955774385171096,0,0.0997543743968719,0
105,1,1,424,"MMV & SZ",91,1,"Behavioural",NA,424,2019,"Published","Journal Article","European Journal Of Psychotraumatology","Differential effects of sleep on explicit and implicit memory for potential trauma reminders: findings from an analogue study","Sopp, M. Roxanne; Brueckner, Alexandra H.; Schaefer, Sarah K.; Lass-Hennemann, Johanna; Michael, Tanja","roxanne.sopp@uni-saarland.de ","10.1080/20008198.2019.1644128","Web of Science","Germany","Europe",2,41,27,0.658536585,22.44,"Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"Table 3, page 11","Sleep","Sleep","Decrease","Partial sleep deprivation (REM-deprivation)","Experimental task","No REM sleep","Rem sleep","Behavioural","Other","Indirect","Task",20,21,41,"Immediate post","Picture + Audio","Picture + Audio","7","20-30 minutes","Intrusion Frequency","Intrusion frequency","Intrusion triggering task","Lab-based intrusion monitoring task","12 hour post trauma film","15-20 minutes","Real Time","Not provided","Positive","Sleep had lower intrusions than sleep deprivation","PSG",NA,"Yes","Positive",1.29,NA,1.52,2.75,NA,3.63,"-1.46","t(39)=1.82",NA,"0.038","0.57","Cohen's d",NA,NA,NA,NA,"Picture + audio","Yes","Sopp et al., 2019a","Sopp et al., 2019a","Sopp et al., 2019a","Rem sleep",NA,NA,NA,NA,-1,NA,NA,-1.82,-0.57,-0.50993,0.10079,0.50993,0.317474614,-0.112320076,1.132180409,1.606207694,0.108228283,0.0847169480973902,0,0.0000245119201376014,0,0.00487666518791867,0
128,1,1,551,"MMV",110,1,"Behavioural",NA,551,2020,"Published","Journal Article","Australian Psychologist","The effect of mindfulness training on rumination and intrusions after analogue trauma","Kubota, Rie; Nixon, Reginald D., V","reg.nixon@flinders.edu.au","10.1111/ap.12410","Web of Science","Australia","Australia",2,60,60,1,22.63,"Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Table 2, page 115","Mindfulness","Mindfulness","Decrease","Muscle relaxation","Experimental task","Muscle relaxation","Mindfulness vs. Muscle relaxation","Behavioural","Other","Indirect","Task",26,27,53,"Immediate post","Trauma film","Trauma film","Not Reported","8 minutes","Intrusion Frequency","Intrusion frequency","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film","5 minutes","Real Time","Not provided","Null","Both conditions did not significantly in terms of lab intrusions.",NA,NA,"No",NA,3.89,NA,2.65,3.75,NA,2.07,"0.14",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Kubota & Nixon, 2019","Kubota & Nixon, 2019","Kubota & Nixon, 2019, Immediate post","Mindfulness vs. Muscle relaxation",NA,"Immediate post",NA,NA,1,NA,NA,NA,NA,0.05815,0.07553,-0.05815,0.274828077,-0.596809525,0.480516536,-0.211574069,0.832439341,-1.24163262571841,0,0.00232014489845146,0,-0.0486691963603602,0
128,NA,NA,556,"MMV",110,1,"Behavioural",NA,556,2020,"Published","Journal Article","Australian Psychologist","The effect of mindfulness training on rumination and intrusions after analogue trauma","Kubota, Rie; Nixon, Reginald D., V","reg.nixon@flinders.edu.au","10.1111/ap.12410","Web of Science","Australia","Australia",2,60,60,1,22.63,"Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"Table 2, page 115","Mindfulness","Mindfulness","Decrease","Muscle relaxation","Experimental task","Muscle relaxation","Mindfulness vs. Muscle relaxation","Behavioural","Other","Indirect","Task",26,27,53,"Immediate post","Trauma film","Trauma film","Not Reported","8 minutes","Intrusion Frequency","Intrusion frequency","Intrusion monitoring task","Lab-based intrusion monitoring task","8th day post trauma film","5 minutes","Real Time","Not provided","Null","Both conditions did not significantly in terms of lab intrusions.",NA,NA,"No",NA,3.65,NA,2.97,3.38,NA,2.23,"0.27","t(49)=0.36",NA,NA,"0.1","Cohen's d",NA,NA,NA,NA,"Film","No","Kubota & Nixon, 2019","Kubota & Nixon, 2019","Kubota & Nixon, 2019, Delayed post","Mindfulness vs. Muscle relaxation",NA,"Delayed post",NA,NA,1,NA,NA,0.36,0.1,0.10157,0.0756,-0.10157,0.27494708,-0.640464165,0.437328387,-0.369408865,0.711822991,-1.35131906681379,0,0.00415611202927697,0,-0.0654371142982704,0
136,NA,NA,587,"MMV",118,1,"Behavioural",NA,587,2021,"Published","Journal Article","Journal Of Sleep Research","Sleep differentially impacts involuntary intrusions and voluntary recognitions of lab-analogue traumatic memories","Zeng, Shengzi; Lau, Esther Yuet Ying; Li, Shirley Xin; Hu, Xiaoqing","xiaoqinghu@hku.hk","10.1111/jsr.13208","Web of Science","Hong Kong SAR","Asia",2,60,41,0.683333333,20.5,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Table 3, page 7","Sleep","Sleep","Decrease","Sleep Deprivation (one night)","Experimental task","No sleep","Sleep","Behavioural","Other","Indirect","Task",28,30,58,"Immediate post","Trauma film","Trauma film","9","14 minutes","Intrusion Frequency","Intrusion frequency","Intrusion monitoring task","Lab-based intrusion monitoring task","2nd day post trauma film","5 minutes","Real Time","Image","Null","Both conditions did not significantly in terms of lab intrusions.",NA,NA,"Yes","Positive",3.82,NA,3.97,4.47,NA,3.69,"-0.65",NA,NA,"0.096","-0.17","Cohen's d",NA,NA,NA,NA,"Film","No","Zeng et al., 2020","Zeng et al., 2020","Zeng et al., 2020","Sleep",NA,NA,NA,NA,-1,NA,NA,NA,-0.17,-0.16753,0.06929,0.16753,0.263229147,-0.348394358,0.683463898,0.6364598,0.524476775,-0.731760989268744,0,0.0219968297157517,0,-0.146829180852948,0
143,NA,NA,627,"SZ",124,1,"Behavioural",NA,627,2022,"Published","Journal Article","Cognitive Therapy And Research","How expectations shape the formation of intrusive memories: An experimental study using the trauma film paradigm","Herzog, Philipp;Barth, Charlotte;Rief, Winfried;Brakemeier, Eva-Lotta;Kube, Tobias","philipp.herzog@staff.uni-marburg.de","10.1007/s10608-022-10290-4","PROQUEST","Germany","Europe",3,89,42,0.471910112,24,"Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 2","Positive expectation group (intrusion-inhibiting)","Positive expectation towards intrusion","Decrease","No-expectation control group","No-task","No-Task","Positive expectation towards intrusion","Behavioural","Verbal","Direct","Instruction",24,33,57,"Immediate post","Trauma film","Trauma film","4","12.65min","Intrusion Frequency","Intrusion frequency","Intrusion Provocation Task (IPT)","Lab-based intrusion monitoring task","8th day post trauma film","2 min","Real Time","Image/thought combined","Null","No group differences were found",NA,NA,"No",NA,3.75,NA,3.22,4.41,NA,2.71,"-0.66",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Herzog et al., 2022","Herzog et al., 2022","Herzog et al., 2022","Positive expectation towards intrusion",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.22186,0.0724,0.22186,0.269075203,-0.305528183,0.749246611,0.824524936,0.409641353,-0.594301004382541,0,0.015102717886488,0,-0.121327437895397,0
150,NA,NA,655,"MMV",130,2,"Behavioural",NA,655,2022,"Published","Journal Article","Behaviour Research And Therapy","Prosocial behaviour reduces unwanted intrusions of experimental traumatic memories","Varma, Mohith M.;Hu, Xiaoqing","xiaoqinghu@hku.hk","10.1016/j.brat.2021.103998","PROQUEST","Hong Kong SAR","Asia",2,90,72,0.8,20.15,"Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"OSF","Prosocial","Prosocial","Decrease","Proself","Experimental task","Control (Proself)","Prosocial behavior","Behavioural","Other","Indirect","Task",43,41,84,"Immediate post","Trauma film","Trauma film","6","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusion monitoring task","Lab-based intrusion monitoring task","Same day post trauma film","5 minutes","Real Time","Image + sensory","Positive","Fewer lab intrusions in prosocial group than proself group",NA,NA,"No",NA,3.23,NA,2.81,4.83,NA,3.24,"-1.6",NA,"Not provided","0.008","0.53","Cohen's d",NA,NA,NA,NA,"Film","No","Varma & Hu, 2022, Exp. 2","Varma & Hu, 2022","Varma & Hu, 2022, Exp. 2","Prosocial behavior",NA,NA,NA,NA,-1,NA,NA,NA,-0.53,-0.52366,0.04928,0.52366,0.221987146,0.088561096,0.958750709,2.358946956,0.018326875,0.131627851526901,0,0.000200654470140739,0,0.0138908519131873,0
153,1,1,660,"MMV",133,1,"Behavioural",NA,660,2021,"Published","Journal Article","Clinical Psychological Science","Selectively interfering with intrusive but not voluntary memories of a trauma film: Accounting for the role of associative memory","Lau-Zhu, Alex;Henson, Richard N.;Holmes, Emily A.","alex.lauzhu@hmc.ox.uk","10.1177/2167702621998315","PROQUEST","England","Europe",2,36,27,0.75,24.33,"Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Table 2, page 1136","Reminder plus tetris","Trauma reminder + tetris","Decrease","Reminder only","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion vigilance task (key press; trauma film cue)","Lab-based intrusion monitoring task","Same day post trauma film","9 minutes","Real Time","Image","Positive","Reminder + Tetris group show low lab intrusion frequency than reminder only group on Day 1 ",NA,NA,"Yes","Null",7.56,NA,6.87,17.94,NA,13.69,"-10.38",NA,"Not provided",NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Lau-Zhu et al., 2021","Lau-Zhu et al., 2021","Lau-Zhu et al., 2021, Film cue","Trauma reminder + tetris vs. Trauma reminder",NA,NA,"Film cue",NA,-1,NA,NA,NA,NA,-0.93705,0.12331,0.93705,0.351150264,0.24879862,1.625307657,2.668524657,0.007618519,0.980742729667659,0,0.00864144752799916,0,0.0935462162751786,0
