"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
21,NA,NA,94,"MMV & SZ",16,1,"Behavioural",NA,94,2009,"Published","Journal Article","Behaviour Research And Therapy","An experimental analogue study into the role of abstract thinking in trauma-related rumination","Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina","t.w.a.ehring@uva.nl","10.1016/j.brat.2008.12.011","Web of Science","Netherlands","Europe",3,83,56,0.674698795,24.08,"Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291","Abstract ruminative thinking","Film-related rumination","Unspecified","Distraction","Experimental task","Control (irrelevant word and reading task)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,27,55,"Immediate post","Trauma film","Trauma film","8","17 minutes","Intrusion Frequency","Intrusion frequency","Intrusions questionnaire (NO REMINDER)","Self-report questionnaire","Same day post trauma film","2 minutes","Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusions.","HR",NA,"No",NA,3.68,NA,3.66,4.11,NA,6.96,"-0.43",NA,NA,NA,"Not Reported","Not Reported","Intrusion content info Not Reported",NA,NA,NA,"Film","Yes","Ehring et al., 2009","Ehring et al., 2009","Ehring et al., 2009, No reminder","Film-related rumination",NA,NA,"No reminder",NA,-1,NA,NA,NA,NA,-0.07664,0.0728,0.07664,0.269823504,-0.452211687,0.605496448,0.284046348,0.776374862,0.172857829754516,0,0.00589161138633534,0,-0.0724490354443409,0
21,NA,NA,97,"MMV & SZ",16,1,"Behavioural",NA,97,2009,"Published","Journal Article","Behaviour Research And Therapy","An experimental analogue study into the role of abstract thinking in trauma-related rumination","Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina","t.w.a.ehring@uva.nl","10.1016/j.brat.2008.12.011","Web of Science","Netherlands","Europe",3,83,56,0.674698795,24.08,"Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291","Abstract ruminative thinking","Film-related rumination","Unspecified","Distraction","Experimental task","Control (irrelevant word and reading task)","Film-related rumination","Behavioural","Verbal","Direct","Task",28,27,55,"Immediate post","Trauma film","Trauma film","8","17 minutes","Intrusion Frequency","Intrusion frequency","Intrusions questionnaire (REMINDER)","Self-report questionnaire","Same day post trauma film","2 minutes","Retrospective",NA,"Null","Both conditions did not significantly in terms of lab intrusions.","HR",NA,"No",NA,9.29,NA,6.61,12.31,NA,14.48,"-3.02",NA,NA,0.09,"Not Reported","Not Reported","Intrusion content info Not Reported",NA,NA,NA,"Film","Yes","Ehring et al., 2009","Ehring et al., 2009","Ehring et al., 2009, Reminder","Film-related rumination",NA,NA,"Reminder",NA,-1,NA,NA,NA,NA,-0.26615,0.0734,0.26615,0.270915647,-0.264844073,0.797145262,0.982411307,0.325897258,0.766359596661591,0,0.0435904725699025,0,0.217248270129353,0
34,NA,NA,143,"MMV & SZ",27,1,"Behavioural",NA,143,2014,"Unpublished","Dissertation",NA,"The effect of viewpoint dependence in spatial memory tasks on intrusive memories in analogue trauma","Polack, R. E. L. R.","sunjeev.kamboj@ucl.ac.uk","Not Reported","PsycInfo & ProQuest","England","Europe",3,45,28,0.622222222,23.87,"Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"page 91, Table 2","Virtual environment (shifted-viewpoint ((allocentric memory))","Ve allocentric recognition memory task","Unspecified","Control group (music)","Experimental task","Control (music)","Ve allocentric recognition memory task","Behavioural","Imagery","Indirect","Task",15,15,30,"Immediate post","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Initial Intrusive Memory frequency","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Image","Null","No group difference on initial intrusion (Image) between shifted-view and control group",NA,NA,"Yes","Null",NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Polack, 2014","Polack, 2014","Polack, 2014","Ve allocentric recognition memory task",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,145,"MMV & SZ",27,1,"Behavioural",NA,145,2014,"Unpublished","Dissertation",NA,"The effect of viewpoint dependence in spatial memory tasks on intrusive memories in analogue trauma","Polack, R. E. L. R.","sunjeev.kamboj@ucl.ac.uk","Not Reported","PsycInfo & ProQuest","England","Europe",3,45,28,0.622222222,23.87,"Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"page 91, Table 2","Virtual environment (shifted-viewpoint ((allocentric memory))","Ve allocentric recognition memory task","Unspecified","Control group (music)","Experimental task","Control (music)","Ve allocentric recognition memory task","Behavioural","Imagery","Indirect","Task",15,15,30,"Immediate post","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Initial Intrusive Memory frequency","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Thought","Null","No group difference on initial intrusion (Thought) between shifted-view and control group",NA,NA,"Yes","Null",NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Polack, 2014","Polack, 2014","Polack, 2014","Ve allocentric recognition memory task",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,147,"MMV & SZ",27,1,"Behavioural",NA,147,2014,"Unpublished","Dissertation",NA,"The effect of viewpoint dependence in spatial memory tasks on intrusive memories in analogue trauma","Polack, R. E. L. R.","sunjeev.kamboj@ucl.ac.uk","Not Reported","PsycInfo & ProQuest","England","Europe",3,45,28,0.622222222,23.87,"Between-subject",1,1,1,1,1,1,1,0,1,0,1,9,"page 91, Table 2","Virtual environment (shifted-viewpoint ((allocentric memory))","Ve allocentric recognition memory task","Unspecified","Control group (music)","Experimental task","Control (music)","Ve allocentric recognition memory task","Behavioural","Imagery","Indirect","Task",15,15,30,"Immediate post","Trauma film","Trauma film","Not Reported","20min","Intrusion Frequency","Intrusion frequency","Initial Intrusive Memory frequency","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Image & thought","Null","No group difference on initial intrusion (Image & Thought) between shifted-view and control group",NA,NA,"Yes","Null",NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported",NA,NA,NA,NA,"Film","No","Polack, 2014","Polack, 2014","Polack, 2014","Ve allocentric recognition memory task",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,256,"SZ",47,1,"Behavioural",NA,256,2014,"Published","Journal Article","Psychological Reports","Refraining from intrusive thoughts is strategy dependent: a comment on sugiura, et al. and a preliminary informal test of detached mindfulness, acceptance, and other strategies","Wells, Adrian; Roussis, Panagiotis","adrian.wells@ manchester.ac.uk","10.2466/02.PR0.115c21z9","Web of Science","England","Europe",4,56,32,0.571428571,21.5,"Between-subject",1,1,1,1,1,1,1,NA,0,1,0,8,"page 3","Acceptance towards intrusions","Acceptance towards intrusions","Unspecified","Control","No-task","No-Task","Emotional acceptance","Behavioural","Emotion","Direct","Instruction",14,14,28,"Immediate post","Trauma film","Trauma film","Not Provided","15min","Intrusion Frequency","Intrusion frequency","6-point Likert scale","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Image","Null","No group difference on intrusion between Acceptance and control group",NA,NA,"No",NA,1.29,NA,0.47,1.64,NA,0.63,"-0.35",NA,NA,NA,"0.61","Hedge’s g",NA,NA,NA,NA,"Film","No","Wells & Roussis, 2014","Wells & Roussis, 2014","Wells & Roussis, 2014","Emotional acceptance",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.61137,0.14953,0.61137,0.386693106,-0.146553404,1.369283572,1.58100849,0.113876097,1.48883457621743,0,0.154772923664679,0,0.465293768006388,0
55,NA,NA,257,"SZ",47,1,"Behavioural",NA,257,2014,"Published","Journal Article","Psychological Reports","Refraining from intrusive thoughts is strategy dependent: a comment on sugiura, et al. and a preliminary informal test of detached mindfulness, acceptance, and other strategies","Wells, Adrian; Roussis, Panagiotis","adrian.wells@ manchester.ac.uk","10.2466/02.PR0.115c21z9","Web of Science","England","Europe",4,56,32,0.571428571,21.5,"Between-subject",1,1,1,1,1,1,1,NA,0,1,0,8,"page 3","Imaginal exposure towards intrusions","Imaginal exposure towards intrusions","Unspecified","Control","No-task","No-Task","Imaginary re-exposure","Behavioural","Imagery","Direct","Instruction",14,14,28,"Immediate post","Trauma film","Trauma film","Not Provided","15min","Intrusion Frequency","Intrusion frequency","6-point Likert scale","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Image","Null","No group difference on intrusion between imaginal exposure and control group",NA,NA,"No",NA,1.46,NA,0.78,1.64,NA,0.63,"-0.18",NA,NA,NA,"0.25","Hedge’s g",NA,NA,NA,NA,"Film","No","Wells & Roussis, 2014","Wells & Roussis, 2014","Wells & Roussis, 2014","Imaginary re-exposure",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.24648,0.14394,0.24648,0.379396896,-0.497138189,0.990097642,0.649661948,0.515910609,0.517188789652995,0,0.000213535551693601,0,0.0142668168820545,0
68,1,1,288,"MMV & SZ",60,1,"Behavioural",NA,288,2017,"Published","Journal Article","Behaviour Research And Therapy","A prospective examination of risk factors in the development of intrusions following a trauma analog","Ripley, Adam J.; Clapp, Joshua D.; Beck, J. Gayle","aripley@uwyo.edu","10.1016/j.brat.2017.05.001","Web of Science","USA","North america",2,184,103,0.559782609,19.9,"Between-subject",1,1,1,1,1,1,1,NA,1,1,1,10,"Page 11","Sad induction after film","Sad induction","Unspecified","Humor induction after film","Experimental task","Humor induction","Sad vs. Humor induction","Behavioural","Emotion","Indirect","Task",90,94,184,"Immediate post","Trauma + Neutral Film","Trauma film","2","2 minutes","Intrusion Frequency","Intrusion frequency","1-item questionnaire","Self-report questionnaire","Same day post trauma film",NA,"Retrospective","Image/thought combined","Negative","Sad induction had higher intrusions than humor induction","SCL, RSA",NA,"No",NA,3.39,NA,2.09,2.65,NA,1.78,"0.74",NA,NA,0.017,"Not provided","Not provided","Used a one-item questionnaire asking to indicate how frequently intrusions happened. Used regression instead of t test. Had priming manipulation did not report data~ consult dr. hu",NA,NA,NA,"Film","Yes","Ripley et al., 2017","Ripley et al., 2017","Ripley et al., 2017","Sad vs. Humor induction",NA,NA,NA,NA,1,NA,NA,NA,NA,0.3803,0.02214,-0.3803,0.148803295,-0.67195474,-0.088645823,-2.555724863,0.010596687,-2.01838427401447,1,0.570528110630384,1,-1.09689022678176,0
110,NA,NA,461,"SZ",94,1,"Behavioural",NA,461,2009,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","The effects of rumination on mood and intrusive memories after exposure to traumatic material: an experimental study","Zetsche, Ulrike; Ehring, Thomas; Ehlers, Anke","zetsche@staff.uni-marburg.de","10.1016/j.jbtep.2009.07.001","Web of Science","Netherlands","Europe",3,101,71,0.702970297,24.38,"Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 507, Table 2","Memory integration","Autobiographical memory elaboration","Unspecified","Control (quiz question)","Experimental task","Control (irrelevant quiz question)","Autobiographical memory elaboration","Behavioural","Verbal","Direct","Task",35,34,69,"Immediate post","Trauma film","Trauma film","8","17min30s","Intrusion Frequency","Intrusion frequency","Intrusive Memory Questionnaire (IMQ), spontaneuous","Self-report questionnaire","Same day post trauma film","2min + 2min","Retrospective","Image, sound or thought","Null","No group difference on spontaneuous lab intruision  between memory integration and distraction group",NA,NA,"No",NA,5.9,NA,5.48,6,NA,6.83,"-0.1",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Zetsche et al., 2009","Zetsche et al., 2009","Zetsche et al., 2009, Spontaneuous","Autobiographical memory elaboration",NA,NA,"Spontaneuous",NA,-1,NA,NA,NA,NA,-0.01599,0.05799,0.01599,0.240800845,-0.455975216,0.487964097,0.066421862,0.947041965,0.10700831684047,0,0.00999749806945924,0,0.0949279969409293,0
110,NA,NA,464,"SZ",94,1,"Behavioural",NA,464,2009,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","The effects of rumination on mood and intrusive memories after exposure to traumatic material: an experimental study","Zetsche, Ulrike; Ehring, Thomas; Ehlers, Anke","zetsche@staff.uni-marburg.de","10.1016/j.jbtep.2009.07.001","Web of Science","Netherlands","Europe",3,101,71,0.702970297,24.38,"Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 507, Table 2","Memory integration","Autobiographical memory elaboration","Unspecified","Control (quiz question)","Experimental task","Control (irrelevant quiz question)","Autobiographical memory elaboration","Behavioural","Verbal","Direct","Task",35,34,69,"Immediate post","Trauma film","Trauma film","8","17min30s","Intrusion Frequency","Intrusion frequency","Intrusive Memory Questionnaire (IMQ), triggered","Self-report questionnaire","Same day post trauma film","3min","Retrospective","Image, sound or thought","Null","No group difference on triggered lab intruision  between memory integration and distraction group",NA,NA,"No",NA,8.6,NA,7.27,7.2,NA,5.94,"1.4",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Zetsche et al., 2009","Zetsche et al., 2009","Zetsche et al., 2009, Triggered","Autobiographical memory elaboration",NA,NA,"Triggered",NA,1,NA,NA,NA,NA,0.20821,0.0583,-0.20821,0.241448432,-0.68145277,0.265025085,-0.862353259,0.388493153,-0.553121439366319,0,0.0372024082425032,0,-0.187825291053238,0
