"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
1,1,1,1,"SZ",1,1,"Behavioural",NA,1,2009,"Published","Journal Article","Behaviour Research And Therapy","The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance","Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.","barney.dunn@mrc-cbu.cam.ac.uk","10.1016/J.BRAT.2009.05.007","Others","England","Europe",3,89,"49","0.550561798","35.36","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4","Emotional suppression","Emotional suppression","Decrease","No-regulation","No-task","No-Task","Emotional suppression","Behavioural","Emotion","Direct","Instruction",26,29,55,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","No group difference","SCR, HR","Depression, Trait anxiety","Yes","Negative",4.5,NA,4.81,8.17,NA,10.9,"-3.67",NA,NA,"0.12","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Dunn et al., 2009","Dunn et al., 2009","Dunn et al., 2009","Emotional suppression",NA,NA,NA,NA,-1,"F(1, 82) = 2.15",NA,NA,NA,-0.42147,0.07456,0.42147,0.273055241,-0.113720081,0.956656464,1.5435272,0.122702913,0.308532584568027,0,0.000665470337102903,0,0.025664274724428,0
2,1,1,7,"MMV & SZ",2,1,"Behavioural",NA,7,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",3,51,"48","0.941176471","20.2","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 8","Visuospatial tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",17,17,34,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",2.23,NA,2.92,4.94,NA,4.29,"-2.71","t(48)=2.18",NA,"0.04","0.63","Cohen's d","Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info?",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 1","Homes et al., 2004","Homes et al., 2004, Exp. 1","Finger tapping",NA,NA,NA,NA,-1,NA,NA,-2.18,-0.63,-0.72105,0.12529,0.72105,0.353967325,0.027275352,1.414827267,2.037056128,0.041644418,0.899202654734782,0,0.00653118209276165,0,0.0807922561554759,0
3,NA,1,11,"MMV & SZ",2,2,"Behavioural",NA,11,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Single tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Not Reported","Not Reported","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",5.5,NA,5.11,6.65,NA,8.36,"-1.15",NA,NA,NA,"Not Reported","Not Reported","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (single tapping)","Single tapping",NA,NA,NA,-1,NA,NA,NA,NA,-0.16269,0.10033,0.16269,0.316750425,-0.458145509,0.783516155,0.513607278,0.60752659,-0.281624672225787,0,0.000893321145714507,0,-0.0298202143631972,0
3,NA,NA,12,"MMV & SZ",2,2,"Behavioural",NA,12,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Minimally practiced tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Overpracticed visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",3.7,NA,3.28,6.65,NA,8.36,"-2.95","t(76)=1.71",NA,"0.092","0.4","Cohen's d","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (minimally practiced tapping)","Minimally practiced tapping",NA,NA,NA,-1,NA,NA,-1.71,-0.4,-0.45532,0.10259,0.45532,0.320298979,-0.172467587,1.083104409,1.421541876,0.155159289,0.361063052107972,0,0.000172783869996448,0,0.0131395803329826,0
3,NA,NA,13,"MMV & SZ",2,2,"Behavioural",NA,13,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",4,80,"39","0.4875","24","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12","Overpracticed tapping","Finger tapping","Decrease","No-task","No-task","No-Task","Finger tapping","Behavioural","Imagery","Indirect","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Visuospatial tapping significantly reduced intrusions compared to control condition","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",3.25,NA,3.55,6.65,NA,8.36,"-3.4","t(76)=1.97",NA,"0.06","0.35","Cohen's d","Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 2","Homes et al., 2004","Homes et al., 2004, Exp. 2","Finger tapping (overpracticed tapping)","Overpracticed tapping",NA,NA,NA,-1,NA,NA,-1.97,-0.35,-0.51887,0.10337,0.51887,0.321504884,-0.111274589,1.149024558,1.613894563,0.106550298,0.499469562117722,0,0.000475381078712355,0,0.0217982380769038,0
4,NA,NA,18,"MMV & SZ",2,3,"Behavioural",NA,18,2004,"Published","Journal Article","Journal Of Experimental Psychology: General","Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.","emily.holmes@mrc-cbu.cam.ac.uk","10.1037/0096-3445.133.1.3","Others","England","Europe",3,60,"33","0.55","26.5","Between-subject",1,1,1,1,1,1,0,0,0,1,1,8,"Table 3, page 16","Verbal enhancement task","Verbalization during encoding","Decrease","No-task","No-task","No-Task","Verbalization during encoding","Behavioural","Verbal","Direct","Task",20,20,40,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","Verbal enhancement and control condition did not significantly differ in terms of intrusion frequency, though the trend was verbal enhancement increased intrusions contrary to what was hypothesized.","Blood-flow optical sensor (Heart rate)","State dissociation","Yes","Null",5.1,NA,3.4,3.1,NA,3.6,"2","t(37.88)=1.81",NA,"0.08","Not Reported","Not Reported","Sample size for each condition Not Reported. Got sample info from the author via email",NA,NA,NA,"Film","Yes","Homes et al., 2004, Exp. 3","Homes et al., 2004","Homes et al., 2004, Exp. 3","Verbalization during encoding",NA,NA,NA,NA,1,NA,NA,1.81,NA,0.55983,0.10392,-0.55983,0.322362661,-1.191665445,0.071996186,-1.736660902,0.082447043,-1.87771571047998,0,0.0263706414322272,0,-0.164218880134958,0
5,1,1,21,"SZ",3,1,"Behavioural",NA,21,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reduced intrusion development after post-trauma imagery rescripting; An experimental study","Hagenaars, M. A., & Arntz, A.","mhagenaars@fsw.leidenuniv.nl ","10.1016/j.jbtep.2011.09.005","Others","Netherlands","Europe",3,76,"47","0.618421053","21.4","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1","Imagery rescripting","Imagery rescripting","Decrease","Imagery reexperiencing","Experimental task","Imagery re-experience","Imagery rescripting vs. Imagery re-experience","Behavioural","Imagery","Direct","Task",24,25,49,"Immediate post","Trauma film","Trauma film","4","10min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","IRS condition experienced fewer intrusive memories of the film than those in the PI and IRE",NA,"Structured Clinical Interview for
DSM-IV (SCID-I; Posttraumatic Cognitions Inventory","Yes","Null",1.96,NA,2.14,6.2,NA,5.84,"-4.24",NA,NA,"0.004","0.87","Cohen's d",NA,NA,NA,NA,"Film","No","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Imagery rescripting vs. Imagery re-experience",NA,NA,NA,NA,-1,NA,NA,NA,-0.87,-0.94098,0.0907,0.94098,0.301167398,0.350691824,1.531268024,3.124441526,0.001781429,1.47567320595452,0,0.00513898566263077,0,0.0722010003363141,0
5,NA,NA,22,"SZ",3,1,"Behavioural",NA,22,2012,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Reduced intrusion development after post-trauma imagery rescripting; An experimental study","Hagenaars, M. A., & Arntz, A.","mhagenaars@fsw.leidenuniv.nl ","10.1016/j.jbtep.2011.09.005","Others","Netherlands","Europe",3,76,"47","0.618421053","21.4","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1","Imagery rescripting","Imagery rescripting","Decrease","Positive imagery","Experimental task","Positive imagery","Imagery rescripting vs. Positive imagery","Behavioural","Imagery","Direct vs. Indirect","Task",24,27,51,"Immediate post","Trauma film","Trauma film","4","10min","Intrusion Frequency","Intrusion frequency","Tabular diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","IRS condition experienced fewer intrusive memories of the film than those in the PI and IRE",NA,"Structured Clinical Interview for
DSM-IV (SCID-I; Posttraumatic Cognitions Inventory","Yes","Positive",1.96,NA,2.14,4.74,NA,5.54,"-2.78",NA,NA,"0.047","0.57","Cohen's d",NA,NA,NA,NA,"Film","No","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Hagenaars & Arntz, 2012","Imagery rescripting vs. Positive imagery",NA,NA,NA,NA,-1,NA,NA,NA,-0.57,-0.63751,0.08269,0.63751,0.287555491,0.073897774,1.201115298,2.216986133,0.026624039,0.793995087923035,0,7.67984608084777e-06,0,-0.00276621969558698,0
6,NA,NA,26,"SZ",4,1,"Behavioural",NA,26,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,60,"30","0.5","27","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 4, Figure 2","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","15","21min","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","participants in the visuospatial condition experienced significantly fewer flashbacks over the week than both the no-task ",NA,NA,"Yes","Null",2.96,0.32,1.41,5.22,0.87,3.88,"-2.26",NA,NA,"<0.03","0.7","Cohen's d","Stats extracted from figure 2",NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 1","Holmes et al., 2010","Holmes et al., 2010, Exp. 1","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,-0.7,-0.75881,0.1072,0.75881,0.327410088,0.117084023,1.400531569,2.317606644,0.020470709,1.02001613723133,0,0.00937368233561414,0,0.0969059604801754,0
7,NA,NA,30,"SZ",4,2,"Behavioural",NA,30,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,75,"42","0.56","22.9","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 8, Figure 4","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Immediate post","Trauma film","Trauma film","11","12min","Intrusion Frequency","Intrusion frequency","Daily diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Positive","those in the Tetris condition experienced significantly fewer flashbacks over the week than the no-task control condition",NA,NA,"Yes","Null",3.56,0.54,2.77,6.71,1.22,6.22,"-3.15",NA,NA,NA,"0.62","Cohen's d","Stats extracted from figure 4",NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 2","Holmes et al., 2010","Holmes et al., 2010, Exp. 2","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,-0.62,-0.64438,0.08092,0.64438,0.284456829,0.086849214,1.201919984,2.265315976,0.023493296,0.822205385332359,0,0.00660591339999307,0,0.0811764370746033,0
