"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
1,NA,NA,3,"SZ",1,1,"Behavioural",NA,3,2009,"Published","Journal Article","Behaviour Research And Therapy","The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance","Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.","barney.dunn@mrc-cbu.cam.ac.uk","10.1016/J.BRAT.2009.05.007","Others","England","Europe",3,89,"49","0.550561798","35.36","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4","Emotional suppression","Emotional suppression","Decrease","No-regulation","No-task","No-Task","Emotional suppression","Behavioural","Emotion","Direct","Instruction",24,27,51,"Peri","Trauma film","Trauma film","5","12.5min","Intrusion Frequency","Intrusion frequency","Auditory stream of consciousness filler task","Lab-based intrusion monitoring task","Same day post trauma film","5min","Real Time","Image/thought combined","Null","No group difference","SCR, HR","Depression, Trait anxiety","Yes","Negative",1.58,NA,1.74,2.22,NA,0.39,"-0.64",NA,NA,"0.17","Not provided","Not provided",NA,NA,NA,NA,"Film","Yes","Dunn et al., 2009","Dunn et al., 2009","Dunn et al., 2009","Emotional suppression",NA,NA,NA,NA,-1,"F (2, 77) = 1.85",NA,NA,NA,-0.5142,0.0813,0.5142,0.285124299,-0.044644689,1.073042564,1.803420259,0.071322238,0.0986424322640138,0,5.49643108280179e-05,0,0.0072920125628967,0
6,1,1,24,"SZ",4,1,"Behavioural",NA,24,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,60,"30","0.5","27","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 3, Table 3","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","15","21min","Intrusion Frequency","Intrusion frequency","(No name) Recoded during manipulation","Lab-based intrusion monitoring task","Same day post trauma film","10min","Real Time","Image","Positive","Participants had significantly fewer intrusions whilst playing Tetris compared to the no-task condition",NA,NA,"Yes","Null",4.3,1.1,4.91934955,12.35,3.4,15.20526225,"-8.05",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 1","Holmes et al., 2010","Holmes et al., 2010, Exp. 1","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.69819,0.10609,0.69819,0.325719844,0.05978201,1.336603797,2.143538126,0.032069913,0.496179999466096,0,0.00642508064007709,0,0.0793387089466069,0
7,NA,1,28,"SZ",4,2,"Behavioural",NA,28,2010,"Published","Journal Article","Plos One","Key steps in developing a cognitive vaccine against traumatic flashbacks: Visuospatial tetris versus verbal pub quiz","Holmes, Emily A.; James, Ella L.; Kilford, Emma J.; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0013706","Web of Science","England","Europe",3,75,"42","0.56","22.9","Between-subject",1,1,1,1,1,1,1,0,0,1,1,9,"page 7, Table 8","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Immediate post","Trauma film","Trauma film","11","12min","Intrusion Frequency","Intrusion frequency","(No name) Recoded during manipulation","Lab-based intrusion monitoring task","Same day post trauma film","10min","Real Time","Image","Positive","The frequency of initial intrusions participants experienced during the 10-min experimental interven- tion was reduced in both the Tetris and Pub Quiz conditions relative to the no-task condition",NA,NA,"Yes","Null",5.65,0.94,4.793078343,9.84,1.31,6.679715563,"-4.19",NA,NA,"<0.05","Not provided","Not provided",NA,NA,NA,NA,"Film","No","Holmes et al., 2010, Exp. 2","Holmes et al., 2010","Holmes et al., 2010, Exp. 2","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.70987,0.08177,0.70987,0.285951748,0.149403447,1.270334299,2.482477824,0.013047219,0.554900090423302,0,0.00933204052228813,0,0.095604016822226,0
10,NA,NA,38,"MMV & SZ",7,1,"Behavioural",NA,38,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",2,52,"31","0.596153846","24.47","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Page 1206; figure 1, page 1207","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",26,26,52,"Delayed post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion-provocation task (IPT)","Lab-based intrusion monitoring task","8th day post trauma film","2 minutes","Real Time","Image","Positive","Reactivation + tetris condition had lower lab intrusions than no-task.",NA,NA,"Yes","Null",1.03,0.335,1.7,3.5,0.55,2.785,"-2.47","t(50)=3.80",NA,"< .001","1.05","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Stats extracted from figure 1",NA,NA,"Film","No","James et al., 2015, Exp. 1","James et al., 2015","James et al., 2015, Exp. 1","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-3.8,-1.05,-1.05441,0.08761,1.05441,0.295995562,0.474263598,1.634566202,3.562265906,0.000367668,1.37062331623435,0,0.0655929301882625,0,0.260434767817822,0
11,NA,NA,41,"MMV & SZ",7,2,"Behavioural",NA,41,2015,"Published","Journal Article","Psychological Science","Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms ","James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ","emily.holmes@mrc-cbu.cam.ac.uk ","10.1177/0956797615583071 ","Others","England","Europe",4,72,"47","0.652777778","25.72","Between-subject",1,1,1,1,1,1,1,1,1,1,1,11,"Figure 4, page 1210; page 1212","Reactivation + Tetris","Trauma reminder + tetris","Decrease","No-Task","No-task","No-Task","Trauma reminder + tetris","Behavioural","Imagery","Direct + indirect","Task",18,18,36,"Delayed post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion-provocation task (IPT)","Lab-based intrusion monitoring task","8th day post trauma film","2 minutes","Real Time","Image","Positive","Reactivation + tetris condition had lower lab intrusions than no-task.",NA,NA,"Yes","Null",1.095,0.435,1.845,3.425,0.625,2.655,"-2.33","t(68)=2.92",NA,"0.005","0.97","Cohen's d","Sample ethnicity reported but many ethnicities in the sample~ should we switch to binary coding?","Stats extracted from figure 4",NA,NA,"Film","No","James et al., 2015, Exp. 2","James et al., 2015","James et al., 2015, Exp. 2","Trauma reminder + tetris",NA,NA,NA,"24 hours",-1,NA,NA,-2.92,-0.97,-0.9965,0.1249,0.9965,0.353416112,0.303804435,1.689195595,2.819622482,0.004808018,1.11430559377674,0,0.0350961610719326,0,0.188325954027272,0
19,NA,NA,75,"MMV & SZ",14,1,"Behavioural",NA,75,2009,"Published","Journal Article","Plos One","Can playing the computer game ""tetris'' reduce the build-up of flashbacks for trauma? a proposal from cognitive science","Holmes, Emily A.; James, Ella L.; Coode-Bate, Thomas; Deeprose, Catherine","emily.holmes@psych.ox.ac.uk","10.1371/journal.pone.0004153","Web of Science","England","Europe",2,40,"18","0.45","23.4","Between-subject",1,1,0,0,1,1,0,0,0,1,1,6,"Table 3, page 3","Reminder + Tetris","Trauma reminder + tetris","Decrease","Reminder + No-task","Experimental task","Trauma reminder","Trauma reminder + tetris vs. Trauma reminder","Behavioural","Imagery","Direct + indirect","Task",20,20,40,"Immediate post","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Initial flashbacks (inside laboratory during manipulation task)","Lab-based intrusion monitoring task","Same day post trauma film","10 minutes","Real Time",NA,"Positive","Tetris condition had  fewer lab intrusions than control condition",NA,"depression, trait anxiety","Yes","Null",4.6,1.1,4.91934955,12.8,3.1,13.86362146,"-8.2","t(38)=2.50",NA,"< .05","Not Reported","Not Reported","image-based intrusions",NA,NA,NA,"Film","No","Holmes et al., 2009","Holmes et al., 2009","Holmes et al., 2009","Trauma reminder + tetris vs. Trauma reminder",NA,NA,NA,NA,-1,NA,NA,-2.5,NA,-0.77264,0.10746,0.77264,0.327814108,0.130120848,1.415152152,2.356934861,0.018426479,0.658863658352565,0,0.0121116086845756,0,0.109279519481559,0
29,1,1,120,"MMV & SZ",22,1,"Behavioural",NA,120,2012,"Published","Journal Article","Journal Of Experimental Psychopathology","To think or not to think about trauma? an experimental investigation into unconscious thought and intrusion development","Krans, Julie;Bos, Maarten W.","j.krans@unsw.edu.au","10.5127/jep.020011","PsycInfo & ProQuest","Netherlands","Europe",3,149,"111","0.744966443","21.53","Between-subject",1,1,1,1,1,1,0,NA,1,1,1,9,"Page 317","Unconscious thought (2-back working memory task + being told need film information)","Unconscious imagery re-experience","Decrease","Conscious thought (trauma recall + being told need film information)","Experimental task","Imagery re-experience","Unconscious vs. Conscious imagery re-experience","Behavioural","Imagery","Direct","Task vs. Instruction",46,24,70,"Immediate post","Trauma film","Trauma film","1","8.42 minutes","Intrusion Frequency","Intrusion frequency","Intrusion provocation task","Lab-based intrusion monitoring task","Same day post trauma film","2 minutes","Real Time",NA,"Positive","Unconscious thought significantly reduced lab intrusions compared to conscious thought",NA,"trait anxiety","Yes","Null",6,NA,4.41,9.13,NA,6.23,"-3.13",NA,NA,NA,"Not Reported","Not Reported","Intrusion content info Not Reported; Sample size info provided by author via email",NA,NA,NA,"Film","No","Krans & Bos, 2012","Krans & Bos, 2012","Krans & Bos, 2012","Unconscious vs. Conscious imagery re-experience",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.60707,0.06604,0.60707,0.256978917,0.103389147,1.110746502,2.362325405,0.018160694,0.327821953575993,0,0.00289850156567565,0,0.0530047477713233,0
41,NA,NA,178,"MMV & SZ",34,1,"Behavioural",NA,178,2016,"Published","Journal Article","Journal Of Behavior Therapy And Experimental Psychiatry","Playing the computer game tetris prior to viewing traumatic film material and subsequent intrusive memories: examining proactive interference","James, Ella L.; Lau-Zhu, Alex; Tickle, Hannah; Horsch, Antje; Holmes, Emily A.","emily.holmes@mrc-cbu.cam.ac.uk","10.1016/j.jbtep.2015.11.004","Web of Science","England","Europe",2,56,"32","0.571428571","20.59","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Table 3, page 31","Tetris","Tetris only","Decrease","No-Task","No-task","No-Task","Tetris","Behavioural","Imagery","Indirect","Task",28,28,56,"Pre","Trauma film","Trauma film","11","12 minutes","Intrusion Frequency","Intrusion frequency","Intrusion provocation task","Lab-based intrusion monitoring task","7th day post trauma film","2 minutes","Real Time","Image","Null","Both conditions did not significantly in terms of lab intrusions.",NA,NA,"Yes","Null",5,NA,3.68,4.57,NA,2.78,"0.43","t(54)=0.49",NA,"0.63","0.13","Cohen's d",NA,NA,NA,NA,"Film","No","James et al., 2016","James et al., 2016","James et al., 2016","Tetris",NA,NA,NA,NA,1,NA,NA,0.49,0.13,0.13001,0.07158,-0.13001,0.267543441,-0.654397359,0.394372928,-0.485948058,0.627003994,-1.47205579660531,0,0.069568922406607,0,-0.268079751056446,0
52,NA,NA,231,"MMV & SZ",45,1,"Pharmacological","Hydrocortisone",231,2017,"Published","Journal Article","European Neuropsychopharmacology","Repeated cortisol administration does not reduce intrusive memories - a double blind placebo controlled experimental study","Graebener, Alexandra Heike; Michael, Tanja; Holz, Elena; Lass-Hennemann, Johanna","t.michael@mx.uni-saarland.de","10.1016/j.euroneuro.2017.09.001","Web of Science","Germany","Europe",2,65,"65","1","21.95","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"page 8, 3.3.2","Hydrocortisone (exogenous cortisol)","Hydrocortisone","Decrease","Placebo","Experimental task","Placebo","Hydrocortisone","Pharmacological",NA,NA,NA,32,33,65,"Delayed post","Trauma film","Trauma film","3","11 minutes","Intrusion Frequency","Intrusion frequency","Intrusion triggering task","Lab-based intrusion monitoring task","4th day post trauma film","3 minutes","Retrospective","Image/thought/sound/emotion combined","Null","Both conditions did not significantly in terms of intrusion frequency","ECG, EDA, Cortisol","STAI-S","Yes","Null",2.47,NA,1.95,2.22,NA,2.39,"0.25",NA,NA,"0.664","Not provided","Not provided","Is the manipulation delayed or immediate post",NA,NA,NA,"Film","Yes","Graebener et al., 2017","Graebener et al., 2017","Graebener et al., 2017","Hydrocortisone",NA,NA,NA,"24 hours, 2 days, 3 days",1,"F(1,57) = .190 (interaction effect, time and group)",NA,NA,NA,0.11307,0.06165,-0.11307,0.248296946,-0.599731006,0.373593022,-0.455378103,0.648837246,-1.47723361926396,0,0.073947962468881,0,-0.27678934341075,0
73,1,1,305,"SZ",64,1,"Behavioural",NA,305,2012,"Published","Journal Article","Memory","The impact of perceived self-efficacy on memory for aversive experiences","Brown, Adam D.; Joscelyne, Amy; Dorfman, Michelle L.; Marmar, Charles R.; Bryant, Richard A.","adam.brown@nyumc.org","10.1080/09658211.2012.667110","Web of Science","USA","North america",2,33,"23","0.696969697","19.66","Between-subject",1,1,1,1,1,1,0,NA,0,1,1,8,"page 379, Table 4","High self efficacy","High self efficacy","Decrease","Low self-efficacy","Experimental task","Low self efficacy","High vs. Low self efficacy","Behavioural","Other","Indirect","Task",17,16,33,"Pre","Trauma film","Trauma film","1","10min","Intrusion Frequency","Intrusion frequency","Lab intrusion monitorying (Self-report intrusion frequency)","Lab-based intrusion monitoring task","Immediate post trauma film","3min","Retrospective","Not provided","Positive","Individuals in the HSE condition had significantly fewer visual intrusions than individuals in the LSE condition, immediately after the film",NA,NA,"Yes","Mixed",4.41,NA,5.14,17.87,NA,20.23,"-13.46","t(31)=2.66",NA,"<0.05","0.91","Cohen's d","This paper reported film-related distress, does it count as intrusion-related distress?",NA,NA,NA,"Film","No","Brown et al., 2012","Brown et al., 2012","Brown et al., 2012","High vs. Low self efficacy",NA,NA,NA,NA,-1,NA,NA,-2.66,-0.91,-0.90258,0.13367,0.90258,0.365604576,0.185994467,1.619164404,2.468731235,0.013559302,0.893219447583757,0,0.0210035808439921,0,0.144773359903431,0
